.y.,group1,group2,n1,n2,statistic,p,p.adj,p.adj.signif,metric,contrast,wgd_status
log_len,Classic,HM,2259,2294,-25.371690270403473,5.179853588404892e-142,1.5539560765214677e-141,****,seg_length,across_classes,NA
log_len,Classic,WGD,2259,13214,-9.43130259781051,4.050273566048953e-21,4.050273566048953e-21,****,seg_length,across_classes,NA
log_len,HM,WGD,2294,13214,23.755706393960587,9.592342686593526e-125,1.438851402989029e-124,****,seg_length,across_classes,NA
log_snv,Classic,HM,2264,2296,20.833747874829644,2.1403885248241372e-96,6.421165574472412e-96,****,n_snvs,across_classes,NA
log_snv,Classic,WGD,2264,13239,7.114596906657857,1.1224038410994223e-12,1.1224038410994223e-12,****,n_snvs,across_classes,NA
log_snv,HM,WGD,2296,13239,-20.137712672429007,3.4490056245471776e-90,5.173508436820766e-90,****,n_snvs,across_classes,NA
log_len,1,2,1643,502,-4.920850387092275,8.616898415608175e-7,1.2925347623412262e-6,****,seg_length,within_class_clock,Classic
log_len,1,3+,1643,114,-5.5806047445037015,2.396837584230194e-8,7.190512752690582e-8,****,seg_length,within_class_clock,Classic
log_len,2,3+,502,114,-2.7908817599002935,0.005256467085504564,0.005256467085504564,**,seg_length,within_class_clock,Classic
log_len,1,2,1389,676,-0.7075723601728355,0.4792108622349915,0.4792108622349915,ns,seg_length,within_class_clock,HM
log_len,1,3+,1389,229,-7.235729633069329,4.630329488112719e-13,1.3890988464338155e-12,****,seg_length,within_class_clock,HM
log_len,2,3+,676,229,-6.3154842270592875,2.693168557917515e-10,4.0397528368762726e-10,****,seg_length,within_class_clock,HM
log_len,1,2,11036,1876,-12.851642295890562,8.420339762240056e-38,2.5261019286720165e-37,****,seg_length,within_class_clock,WGD
log_len,1,3+,11036,302,-8.656355809538633,4.8708654357034365e-18,7.306298153555154e-18,****,seg_length,within_class_clock,WGD
log_len,2,3+,1876,302,-2.966654559387035,0.0030105900020896553,0.0030105900020896553,**,seg_length,within_class_clock,WGD
log_snv,1,2,1647,503,11.819485597411745,3.0957427063303014e-32,9.287228118990904e-32,****,n_snvs,within_class_clock,Classic
log_snv,1,3+,1647,114,11.52954808398388,9.3633922464569e-31,1.404508836968535e-30,****,n_snvs,within_class_clock,Classic
log_snv,2,3+,503,114,4.959605044554626,7.063664400328356e-7,7.063664400328356e-7,****,n_snvs,within_class_clock,Classic
log_snv,1,2,1390,677,9.03404022417442,1.65447866460276e-19,1.65447866460276e-19,****,n_snvs,within_class_clock,HM
log_snv,1,3+,1390,229,18.814967928984107,5.694290647410188e-79,1.7082871942230565e-78,****,n_snvs,within_class_clock,HM
log_snv,2,3+,677,229,12.014354041291842,2.9869455619086532e-33,4.48041834286298e-33,****,n_snvs,within_class_clock,HM
log_snv,1,2,11056,1881,30.64544098326004,3.0394159863718714e-206,9.118247959115615e-206,****,n_snvs,within_class_clock,WGD
log_snv,1,3+,11056,302,21.499590762469634,1.5706678628994272e-102,2.356001794349141e-102,****,n_snvs,within_class_clock,WGD
log_snv,2,3+,1881,302,7.897926254564116,2.8358183820873535e-15,2.8358183820873535e-15,****,n_snvs,within_class_clock,WGD
