.y.,group1,group2,n1,n2,statistic,p,p.adj,p.adj.signif,metric,contrast,wgd_status
log_len,Classic,HM,150,113,-9.712209121453917,2.6747603742350033e-22,8.02428112270501e-22,****,seg_length,across_classes,NA
log_len,Classic,WGD,150,1205,-4.271157796392554,1.944607469344164e-5,1.944607469344164e-5,****,seg_length,across_classes,NA
log_len,HM,WGD,113,1205,8.537812774069673,1.3678632009675871e-17,2.0517948014513807e-17,****,seg_length,across_classes,NA
log_snv,Classic,HM,150,113,8.703734519056475,3.2113777423538673e-18,4.8170666135308005e-18,****,n_snvs,across_classes,NA
log_snv,Classic,WGD,150,1208,11.151206774991909,7.064174068490233e-29,2.11925222054707e-28,****,n_snvs,across_classes,NA
log_snv,HM,WGD,113,1208,-1.2076987329950442,0.22716316556712327,0.22716316556712327,ns,n_snvs,across_classes,NA
log_len,1,2,117,31,-1.5056914700030521,0.1321463947169254,0.3964391841507762,ns,seg_length,within_class_clock,Classic
log_len,1,3+,117,2,-0.6618189750449415,0.5080872438791653,0.7621308658187479,ns,seg_length,within_class_clock,Classic
log_len,2,3+,31,2,-0.23000962005164047,0.8180842943941493,0.8180842943941493,ns,seg_length,within_class_clock,Classic
log_len,1,2,70,38,0.5827626267686349,0.5600531072579925,0.9260161491791533,ns,seg_length,within_class_clock,HM
log_len,1,3+,70,5,0.15823902845302368,0.8742684508973808,0.9260161491791533,ns,seg_length,within_class_clock,HM
log_len,2,3+,38,5,-0.09285828131385487,0.9260161491791533,0.9260161491791533,ns,seg_length,within_class_clock,HM
log_len,1,2,1000,205,-2.79411921000416,0.005204129046450355,0.005204129046450355,**,seg_length,within_class_clock,WGD
log_snv,1,2,117,31,4.775831514552526,1.7896619123711894e-6,5.3689857371135685e-6,****,n_snvs,within_class_clock,Classic
log_snv,1,3+,117,2,2.346815606934179,0.018934622694053712,0.028401934041080566,*,n_snvs,within_class_clock,Classic
log_snv,2,3+,31,2,0.9716015480039416,0.3312488121284586,0.3312488121284586,ns,n_snvs,within_class_clock,Classic
log_snv,1,2,70,38,1.1127090091139038,0.2658334250245871,0.2658334250245871,ns,n_snvs,within_class_clock,HM
log_snv,1,3+,70,5,-2.9133054249693537,0.0035762462917182077,0.005364369437577312,**,n_snvs,within_class_clock,HM
log_snv,2,3+,38,5,-3.3061157268904493,9.45990080142865e-4,0.002837970240428595,**,n_snvs,within_class_clock,HM
log_snv,1,2,1002,206,11.971961537193527,4.983629839257801e-33,4.983629839257801e-33,****,n_snvs,within_class_clock,WGD
