.y.,group1,group2,n1,n2,statistic,p,p.adj,p.adj.signif,metric,contrast,wgd_status
log_len,Classic,WGD,27,232,1.2119926544162518,0.22551519247800428,0.22551519247800428,ns,seg_length,across_classes,NA
log_snv,Classic,WGD,27,233,6.694830342393155,2.1592199163530114e-11,2.1592199163530114e-11,****,n_snvs,across_classes,NA
log_len,1,2,21,6,0.4082482904638625,0.6830913983096091,0.6830913983096091,ns,seg_length,within_class_clock,Classic
log_len,1,2,168,53,-1.828266792444805,0.06750952106103043,0.20252856318309131,ns,seg_length,within_class_clock,WGD
log_len,1,3+,168,11,0.113854597481672,0.909353057406214,0.909353057406214,ns,seg_length,within_class_clock,WGD
log_len,2,3+,53,11,0.9762829561208664,0.32892426371461647,0.4933863955719247,ns,seg_length,within_class_clock,WGD
log_snv,1,2,21,6,-1.9617796981490034,0.049788138302504795,0.049788138302504795,*,n_snvs,within_class_clock,Classic
log_snv,1,2,169,53,-3.1009363330852393,0.0019290976358745842,0.0028936464538118763,**,n_snvs,within_class_clock,WGD
log_snv,1,3+,169,11,-3.1043766692479053,0.0019068040571642454,0.0028936464538118763,**,n_snvs,within_class_clock,WGD
log_snv,2,3+,53,11,-1.4420752492955904,0.14928114650623264,0.14928114650623264,ns,n_snvs,within_class_clock,WGD
