.y.,group1,group2,n1,n2,statistic,p,p.adj,p.adj.signif,metric,contrast,wgd_status
log_len,Classic,HM,483,230,-2.2173845106001564,0.02659682726576334,0.039895240898645004,*,seg_length,across_classes,NA
log_len,Classic,WGD,483,1418,-2.448033801196559,0.014363817977543743,0.039895240898645004,*,seg_length,across_classes,NA
log_len,HM,WGD,230,1418,0.6846850024627358,0.49354271491847673,0.49354271491847673,ns,seg_length,across_classes,NA
log_snv,Classic,HM,484,230,3.2155600250244514,0.0013019026470351596,0.0039057079411054787,**,n_snvs,across_classes,NA
log_snv,Classic,WGD,484,1420,2.6314137970489355,0.00850304352465214,0.01275456528697821,*,n_snvs,across_classes,NA
log_snv,HM,WGD,230,1420,-1.6745447387568968,0.09402358948814117,0.09402358948814117,ns,n_snvs,across_classes,NA
log_len,1,2,361,110,-1.3371538080886245,0.18117243623675205,0.4547048188771161,ns,seg_length,within_class_clock,Classic
log_len,1,3+,361,12,0.5705716650834468,0.568290030220195,0.568290030220195,ns,seg_length,within_class_clock,Classic
log_len,2,3+,110,12,1.0297304743081332,0.3031365459180774,0.4547048188771161,ns,seg_length,within_class_clock,Classic
log_len,1,2,153,42,3.7295876177750915,1.917934067452192e-4,2.876901101178288e-4,***,seg_length,within_class_clock,HM
log_len,1,3+,153,35,-3.136034766123255,0.0017124890167194702,0.0017124890167194702,**,seg_length,within_class_clock,HM
log_len,2,3+,42,35,-5.406109195874244,6.440853833698218e-8,1.9322561501094654e-7,****,seg_length,within_class_clock,HM
log_len,1,2,1268,149,-0.9302051029172307,0.35226490030797347,0.8012760580358859,ns,seg_length,within_class_clock,WGD
log_len,1,3+,1268,1,0.2516959883441471,0.8012760580358859,0.8012760580358859,ns,seg_length,within_class_clock,WGD
log_len,2,3+,149,1,0.33124392921998347,0.7404602406487832,0.8012760580358859,ns,seg_length,within_class_clock,WGD
log_snv,1,2,361,111,3.2872074548620924,0.001011862615863935,0.0013551578129221925,**,n_snvs,within_class_clock,Classic
log_snv,1,3+,361,12,4.533915381382259,5.790023256734461e-6,1.7370069770203383e-5,****,n_snvs,within_class_clock,Classic
log_snv,2,3+,111,12,3.2040354675520413,0.0013551578129221925,0.0013551578129221925,**,n_snvs,within_class_clock,Classic
log_snv,1,2,153,42,3.7175968075728147,2.0112692518370792e-4,3.016903877755619e-4,***,n_snvs,within_class_clock,HM
log_snv,1,3+,153,35,7.571340486038869,3.693924570306165e-14,1.1081773710918495e-13,****,n_snvs,within_class_clock,HM
log_snv,2,3+,42,35,3.3688972782753295,7.546954923308952e-4,7.546954923308952e-4,***,n_snvs,within_class_clock,HM
log_snv,1,2,1269,150,-0.3713277555392988,0.7103934274683521,0.7103934274683521,ns,n_snvs,within_class_clock,WGD
log_snv,1,3+,1269,1,-1.1032454001911842,0.26992061038374027,0.4282367453795538,ns,n_snvs,within_class_clock,WGD
log_snv,2,3+,150,1,-1.0680650638852975,0.2854911635863692,0.4282367453795538,ns,n_snvs,within_class_clock,WGD
