.y.,group1,group2,n1,n2,statistic,p,p.adj,p.adj.signif,metric,contrast,wgd_status
log_len,Classic,HM,104,99,-3.6878026983313563,2.2619893137246151e-4,6.785967941173845e-4,***,seg_length,across_classes,NA
log_len,Classic,WGD,104,1473,-2.2121242792201423,0.026958078959557975,0.026958078959557975,*,seg_length,across_classes,NA
log_len,HM,WGD,99,1473,2.825676267939669,0.004718092104198719,0.007077138156298079,**,seg_length,across_classes,NA
log_snv,Classic,HM,104,99,0.757029548019386,0.44903216024386544,0.44903216024386544,ns,n_snvs,across_classes,NA
log_snv,Classic,WGD,104,1476,-5.118049517034011,3.0871156269161587e-7,4.630673440374238e-7,****,n_snvs,across_classes,NA
log_snv,HM,WGD,99,1476,-6.025299351334937,1.6879690857090148e-9,5.0639072571270445e-9,****,n_snvs,across_classes,NA
log_len,1,2,63,26,0.009941089799060804,0.9920682885742388,0.9920682885742388,ns,seg_length,within_class_clock,Classic
log_len,1,3+,63,15,-0.49652147086169424,0.6195265427611361,0.9822006269004058,ns,seg_length,within_class_clock,Classic
log_len,2,3+,26,15,-0.4471033810608893,0.6548004179336039,0.9822006269004058,ns,seg_length,within_class_clock,Classic
log_len,1,2,38,45,0.8032590772168701,0.42182500567257797,0.4713222145368691,ns,seg_length,within_class_clock,HM
log_len,1,3+,38,16,1.2973489055621492,0.1945111643060426,0.4713222145368691,ns,seg_length,within_class_clock,HM
log_len,2,3+,45,16,0.7203293880812048,0.4713222145368691,0.4713222145368691,ns,seg_length,within_class_clock,HM
log_len,1,2,971,386,-4.164034435490134,3.12672926084695e-5,4.690093891270425e-5,****,seg_length,within_class_clock,WGD
log_len,1,3+,971,116,-4.893328414138538,9.914475575617264e-7,2.974342672685179e-6,****,seg_length,within_class_clock,WGD
log_len,2,3+,386,116,-2.173641919835298,0.02973203763491475,0.02973203763491475,*,seg_length,within_class_clock,WGD
log_snv,1,2,63,26,3.7860065453324294,1.5308764358114478e-4,2.2963146537171718e-4,***,n_snvs,within_class_clock,Classic
log_snv,1,3+,63,15,4.563765460992733,5.024420784575612e-6,1.5073262353726837e-5,****,n_snvs,within_class_clock,Classic
log_snv,2,3+,26,15,1.3220280420556882,0.18615881327725742,0.18615881327725742,ns,n_snvs,within_class_clock,Classic
log_snv,1,2,38,45,-1.4918765726603616,0.13573150528189662,0.13573150528189662,ns,n_snvs,within_class_clock,HM
log_snv,1,3+,38,16,3.4118826130419952,6.451588953326404e-4,9.677383429989607e-4,***,n_snvs,within_class_clock,HM
log_snv,2,3+,45,16,4.622548445158721,3.7905425021044847e-6,1.1371627506313455e-5,****,n_snvs,within_class_clock,HM
log_snv,1,2,972,388,20.456711918542982,5.235197077909477e-93,1.570559123372843e-92,****,n_snvs,within_class_clock,WGD
log_snv,1,3+,972,116,15.863286821637784,1.1378003537815404e-56,1.7067005306723108e-56,****,n_snvs,within_class_clock,WGD
log_snv,2,3+,388,116,3.1169095756942276,0.0018275761902934338,0.0018275761902934338,**,n_snvs,within_class_clock,WGD
