"IntoGen_cancer_type","gene","test_type","comparison","event","p_value","odds_ratio","ci_low","ci_high","n_WGD","n_HM","n_Classic","p_adj_local","p_adj_global"
"BRCA","ABL2","per_event_pairwise","WGD_vs_Classic","CNA_driver",NA,NA,NA,NA,9,2,14,NA,NA
"BRCA","ABL2","per_event_pairwise","WGD_vs_Classic","CI_M",NA,NA,NA,NA,9,2,14,NA,NA
"BRCA","ABL2","per_event_pairwise","WGD_vs_Classic","M",NA,NA,NA,NA,9,2,14,NA,NA
"BRCA","ABL2","per_event_pairwise","WGD_vs_Classic","WT",NA,NA,NA,NA,9,2,14,NA,NA
"BRCA","ACVR1B","per_event_pairwise","WGD_vs_Classic","CNA_driver",NA,NA,NA,NA,20,0,3,NA,NA
"BRCA","ACVR1B","per_event_pairwise","WGD_vs_Classic","CI_M",NA,NA,NA,NA,20,0,3,NA,NA
"BRCA","ACVR1B","per_event_pairwise","WGD_vs_Classic","M",NA,NA,NA,NA,20,0,3,NA,NA
"BRCA","ACVR1B","per_event_pairwise","WGD_vs_Classic","WT",NA,NA,NA,NA,20,0,3,NA,NA
"BRCA","AKAP9","per_event_pairwise","WGD_vs_Classic","CNA_driver",NA,NA,NA,NA,15,1,6,NA,NA
"BRCA","AKAP9","per_event_pairwise","WGD_vs_Classic","CI_M",NA,NA,NA,NA,15,1,6,NA,NA
"BRCA","AKAP9","per_event_pairwise","WGD_vs_Classic","M",NA,NA,NA,NA,15,1,6,NA,NA
"BRCA","AKAP9","per_event_pairwise","WGD_vs_Classic","WT",NA,NA,NA,NA,15,1,6,NA,NA
"BRCA","ARHGAP35","global","Classic_vs_WGD",NA,0.142857142857143,NA,NA,NA,18,0,3,0.298701298701299,0.233082706766917
"BRCA","ARHGAP35","pairwise_all_events","WGD_vs_Classic",NA,0.142857142857143,NA,NA,NA,18,0,3,0.307692307692308,0.312427409988386
"BRCA","ARHGAP35","per_event_pairwise","WGD_vs_Classic","CNA_driver",NA,NA,NA,NA,18,0,3,NA,NA
"BRCA","ARHGAP35","per_event_pairwise","WGD_vs_Classic","CI_M",NA,NA,NA,NA,18,0,3,NA,NA
"BRCA","ARHGAP35","per_event_pairwise","WGD_vs_Classic","M",0.142857142857143,0,0,6.50000192016658,18,0,3,0.308035714285714,0.352380952380953
"BRCA","ARHGAP35","per_event_pairwise","WGD_vs_Classic","WT",0.142857142857143,Inf,0.153846108398438,Inf,18,0,3,0.308035714285714,0.352380952380953
"BRCA","ARID1A","global","Classic_vs_WGD",NA,0.00249875062468766,NA,NA,NA,21,2,8,0.0114942528735632,0.00880241697333152
"BRCA","ARID1A","pairwise_all_events","WGD_vs_Classic",NA,0.000499750124937531,NA,NA,NA,21,2,8,0.00466433449941696,0.00407372071539988
"BRCA","ARID1A","per_event_pairwise","WGD_vs_Classic","CNA_driver",0.00142236574020682,0.0395451247728252,0.000713649287139776,0.43035362534022,21,2,8,0.0140204622963244,0.0121723544297971
"BRCA","ARID1A","per_event_pairwise","WGD_vs_Classic","CI_M",NA,NA,NA,NA,21,2,8,NA,NA
"BRCA","ARID1A","per_event_pairwise","WGD_vs_Classic","M",1,Inf,0.00978348214285715,Inf,21,2,8,1,1
"BRCA","ARID1A","per_event_pairwise","WGD_vs_Classic","WT",0.00325222004382424,19.6148503499694,1.86196607388919,1062.19984736012,21,2,8,0.0249336870026525,0.0239762526838606
"BRCA","ASXL1","per_event_pairwise","WGD_vs_Classic","CNA_driver",NA,NA,NA,NA,17,0,4,NA,NA
"BRCA","ASXL1","per_event_pairwise","WGD_vs_Classic","CI_M",NA,NA,NA,NA,17,0,4,NA,NA
"BRCA","ASXL1","per_event_pairwise","WGD_vs_Classic","M",NA,NA,NA,NA,17,0,4,NA,NA
"BRCA","ASXL1","per_event_pairwise","WGD_vs_Classic","WT",NA,NA,NA,NA,17,0,4,NA,NA
"BRCA","BRAF","per_event_pairwise","WGD_vs_Classic","CNA_driver",NA,NA,NA,NA,14,0,6,NA,NA
"BRCA","BRAF","per_event_pairwise","WGD_vs_Classic","CI_M",NA,NA,NA,NA,14,0,6,NA,NA
"BRCA","BRAF","per_event_pairwise","WGD_vs_Classic","M",NA,NA,NA,NA,14,0,6,NA,NA
"BRCA","BRAF","per_event_pairwise","WGD_vs_Classic","WT",NA,NA,NA,NA,14,0,6,NA,NA
"BRCA","BRCA1","global","Classic_vs_HM_vs_WGD",NA,0.0689655172413793,NA,NA,NA,12,3,4,0.176245210727969,0.137931034482759
"BRCA","BRCA1","pairwise_all_events","HM_vs_Classic",NA,0.142857142857143,NA,NA,NA,12,3,4,0.307692307692308,0.312427409988386
"BRCA","BRCA1","pairwise_all_events","HM_vs_WGD",NA,0.0813186813186814,NA,NA,NA,12,3,4,0.227692307692308,0.212375973541022
"BRCA","BRCA1","pairwise_all_events","WGD_vs_Classic",NA,1,NA,NA,NA,12,3,4,1,1
"BRCA","BRCA1","per_event_HM_vs_rest","HM_vs_rest","CNA_driver",0.0505675954592363,20.3823742927511,0.646393988682212,1840.77267018959,12,3,4,0.202270381836945,1
"BRCA","BRCA1","per_event_HM_vs_rest","HM_vs_rest","CI_M",NA,NA,NA,NA,12,3,4,NA,NA
"BRCA","BRCA1","per_event_HM_vs_rest","HM_vs_rest","M",NA,NA,NA,NA,12,3,4,NA,NA
"BRCA","BRCA1","per_event_HM_vs_rest","HM_vs_rest","WT",0.0505675954592363,0.0490619976670553,0.000543250134139069,1.54704408999637,12,3,4,0.202270381836945,1
"BRCA","BRCA1","per_event_pairwise","HM_vs_Classic","CNA_driver",0.142857142857143,Inf,0.283457522659101,Inf,12,3,4,0.308035714285714,0.352380952380953
"BRCA","BRCA1","per_event_pairwise","HM_vs_Classic","CI_M",NA,NA,NA,NA,12,3,4,NA,NA
"BRCA","BRCA1","per_event_pairwise","HM_vs_Classic","M",NA,NA,NA,NA,12,3,4,NA,NA
"BRCA","BRCA1","per_event_pairwise","HM_vs_Classic","WT",0.142857142857143,0,0,3.52786544741889,12,3,4,0.308035714285714,0.352380952380953
"BRCA","BRCA1","per_event_pairwise","HM_vs_WGD","CNA_driver",0.0813186813186814,15.07288934159,0.469006633743863,1387.69251544943,12,3,4,0.255044955044955,0.243568812140241
"BRCA","BRCA1","per_event_pairwise","HM_vs_WGD","CI_M",NA,NA,NA,NA,12,3,4,NA,NA
"BRCA","BRCA1","per_event_pairwise","HM_vs_WGD","M",NA,NA,NA,NA,12,3,4,NA,NA
"BRCA","BRCA1","per_event_pairwise","HM_vs_WGD","WT",0.0813186813186813,0.0663442806045647,0.000720620734684981,2.13216600374596,12,3,4,0.255044955044955,0.243568812140241
"BRCA","BRCA1","per_event_pairwise","WGD_vs_Classic","CNA_driver",1,Inf,0.00856250000000001,Inf,12,3,4,1,1
"BRCA","BRCA1","per_event_pairwise","WGD_vs_Classic","CI_M",NA,NA,NA,NA,12,3,4,NA,NA
"BRCA","BRCA1","per_event_pairwise","WGD_vs_Classic","M",NA,NA,NA,NA,12,3,4,NA,NA
"BRCA","BRCA1","per_event_pairwise","WGD_vs_Classic","WT",1,0,0,116.788321167883,12,3,4,1,1
"BRCA","BRCA2","global","Classic_vs_WGD",NA,0.220889555222389,NA,NA,NA,13,0,5,0.317528735632184,0.330800783183288
"BRCA","BRCA2","pairwise_all_events","WGD_vs_Classic",NA,0.233883058470765,NA,NA,NA,13,0,5,0.363818090954523,0.423666954401587
"BRCA","BRCA2","per_event_pairwise","WGD_vs_Classic","CNA_driver",0.0987394957983193,0.141557989875785,0.00679808700789089,2.04110548798444,13,0,5,0.296218487394958,0.274810366624526
"BRCA","BRCA2","per_event_pairwise","WGD_vs_Classic","CI_M",NA,NA,NA,NA,13,0,5,NA,NA
"BRCA","BRCA2","per_event_pairwise","WGD_vs_Classic","M",1,Inf,0.00987740384615386,Inf,13,0,5,1,1
"BRCA","BRCA2","per_event_pairwise","WGD_vs_Classic","WT",0.268207282913165,4.49956740577819,0.344640474448175,80.1585164571928,13,0,5,0.451373232219717,0.496914229609369
"BRCA","CBFB","global","Classic_vs_WGD",NA,0.00020639834881321,NA,NA,NA,16,1,4,0.00383141762452107,0.00281677343146609
"BRCA","CBFB","pairwise_all_events","WGD_vs_Classic",NA,0.00020639834881321,NA,NA,NA,16,1,4,0.00466433449941696,0.00407372071539988
