"IntoGen_cancer_type","gene","test_type","comparison","event","p_value","odds_ratio","ci_low","ci_high","zero_count","n_WGD","n_HM","n_Classic","n_WGDHM","p_adj_local","p_adj_global"
"BRCA","ABL2","per_event_pairwise","WGD_vs_Classic","CNA_driver",NA,NA,NA,NA,TRUE,9,2,14,11,NA,NA
"BRCA","ABL2","per_event_pairwise","WGD_vs_Classic","CI_M",NA,NA,NA,NA,TRUE,9,2,14,11,NA,NA
"BRCA","ABL2","per_event_pairwise","WGD_vs_Classic","M",NA,NA,NA,NA,TRUE,9,2,14,11,NA,NA
"BRCA","ABL2","per_event_pairwise","WGD_vs_Classic","WT",NA,NA,NA,NA,FALSE,9,2,14,11,NA,NA
"BRCA","ABL2","per_event_pairwise","WGDHM_vs_Classic","CNA_driver",NA,NA,NA,NA,TRUE,9,2,14,11,NA,NA
"BRCA","ABL2","per_event_pairwise","WGDHM_vs_Classic","CI_M",NA,NA,NA,NA,TRUE,9,2,14,11,NA,NA
"BRCA","ABL2","per_event_pairwise","WGDHM_vs_Classic","M",NA,NA,NA,NA,TRUE,9,2,14,11,NA,NA
"BRCA","ABL2","per_event_pairwise","WGDHM_vs_Classic","WT",NA,NA,NA,NA,FALSE,9,2,14,11,NA,NA
"BRCA","ACVR1B","per_event_pairwise","WGD_vs_Classic","CNA_driver",NA,NA,NA,NA,TRUE,20,0,3,20,NA,NA
"BRCA","ACVR1B","per_event_pairwise","WGD_vs_Classic","CI_M",NA,NA,NA,NA,TRUE,20,0,3,20,NA,NA
"BRCA","ACVR1B","per_event_pairwise","WGD_vs_Classic","M",NA,NA,NA,NA,TRUE,20,0,3,20,NA,NA
"BRCA","ACVR1B","per_event_pairwise","WGD_vs_Classic","WT",NA,NA,NA,NA,FALSE,20,0,3,20,NA,NA
"BRCA","ACVR1B","per_event_pairwise","WGDHM_vs_Classic","CNA_driver",NA,NA,NA,NA,TRUE,20,0,3,20,NA,NA
"BRCA","ACVR1B","per_event_pairwise","WGDHM_vs_Classic","CI_M",NA,NA,NA,NA,TRUE,20,0,3,20,NA,NA
"BRCA","ACVR1B","per_event_pairwise","WGDHM_vs_Classic","M",NA,NA,NA,NA,TRUE,20,0,3,20,NA,NA
"BRCA","ACVR1B","per_event_pairwise","WGDHM_vs_Classic","WT",NA,NA,NA,NA,FALSE,20,0,3,20,NA,NA
"BRCA","AKAP9","per_event_pairwise","WGD_vs_Classic","CNA_driver",NA,NA,NA,NA,TRUE,15,1,6,16,NA,NA
"BRCA","AKAP9","per_event_pairwise","WGD_vs_Classic","CI_M",NA,NA,NA,NA,TRUE,15,1,6,16,NA,NA
"BRCA","AKAP9","per_event_pairwise","WGD_vs_Classic","M",NA,NA,NA,NA,TRUE,15,1,6,16,NA,NA
"BRCA","AKAP9","per_event_pairwise","WGD_vs_Classic","WT",NA,NA,NA,NA,FALSE,15,1,6,16,NA,NA
"BRCA","AKAP9","per_event_pairwise","WGDHM_vs_Classic","CNA_driver",NA,NA,NA,NA,TRUE,15,1,6,16,NA,NA
"BRCA","AKAP9","per_event_pairwise","WGDHM_vs_Classic","CI_M",NA,NA,NA,NA,TRUE,15,1,6,16,NA,NA
"BRCA","AKAP9","per_event_pairwise","WGDHM_vs_Classic","M",NA,NA,NA,NA,TRUE,15,1,6,16,NA,NA
"BRCA","AKAP9","per_event_pairwise","WGDHM_vs_Classic","WT",NA,NA,NA,NA,FALSE,15,1,6,16,NA,NA
"BRCA","ARHGAP35","global","Classic_vs_WGD",NA,0.142857142857143,NA,NA,NA,FALSE,18,0,3,18,0.294745484400657,0.233199189878745
"BRCA","ARHGAP35","pairwise_all_events","WGD_vs_Classic",NA,0.142857142857143,NA,NA,NA,FALSE,18,0,3,18,0.316770186335404,0.279007377598927
"BRCA","ARHGAP35","per_event_pairwise","WGD_vs_Classic","CNA_driver",NA,NA,NA,NA,TRUE,18,0,3,18,NA,NA
"BRCA","ARHGAP35","per_event_pairwise","WGD_vs_Classic","CI_M",NA,NA,NA,NA,TRUE,18,0,3,18,NA,NA
"BRCA","ARHGAP35","per_event_pairwise","WGD_vs_Classic","M",0.142857142857143,0,0,6.50000192016658,TRUE,18,0,3,18,0.318877551020408,0.309417753738467
"BRCA","ARHGAP35","per_event_pairwise","WGD_vs_Classic","WT",0.142857142857143,Inf,0.153846108398438,Inf,FALSE,18,0,3,18,0.318877551020408,0.309417753738467
"BRCA","ARHGAP35","pairwise_all_events","WGDHM_vs_Classic",NA,0.142857142857143,NA,NA,NA,FALSE,18,0,3,18,0.316770186335404,0.279007377598927
"BRCA","ARHGAP35","per_event_pairwise","WGDHM_vs_Classic","CNA_driver",NA,NA,NA,NA,TRUE,18,0,3,18,NA,NA
"BRCA","ARHGAP35","per_event_pairwise","WGDHM_vs_Classic","CI_M",NA,NA,NA,NA,TRUE,18,0,3,18,NA,NA
"BRCA","ARHGAP35","per_event_pairwise","WGDHM_vs_Classic","M",0.142857142857143,0,0,6.50000192016658,TRUE,18,0,3,18,0.318877551020408,0.309417753738467
"BRCA","ARHGAP35","per_event_pairwise","WGDHM_vs_Classic","WT",0.142857142857143,Inf,0.153846108398438,Inf,FALSE,18,0,3,18,0.318877551020408,0.309417753738467
"BRCA","ARID1A","global","Classic_vs_WGD",NA,0.00149925037481259,NA,NA,NA,FALSE,21,2,8,23,0.00689655172413793,0.00619690154922539
"BRCA","ARID1A","pairwise_all_events","WGD_vs_Classic",NA,0.000499750124937531,NA,NA,NA,FALSE,21,2,8,23,0.00509745127436282,0.00335316212861311
"BRCA","ARID1A","per_event_pairwise","WGD_vs_Classic","CNA_driver",0.00142236574020682,0.0395451247728252,0.000713649287139776,0.43035362534022,FALSE,21,2,8,23,0.0126996941089895,0.00981013682442688
"BRCA","ARID1A","per_event_pairwise","WGD_vs_Classic","CI_M",NA,NA,NA,NA,TRUE,21,2,8,23,NA,NA
"BRCA","ARID1A","per_event_pairwise","WGD_vs_Classic","M",1,Inf,0.00978348214285715,Inf,TRUE,21,2,8,23,1,1
"BRCA","ARID1A","per_event_pairwise","WGD_vs_Classic","WT",0.00325222004382425,19.6148503499694,1.86196607388919,1062.19984736012,FALSE,21,2,8,23,0.0219966417470382,0.0190328537903299
"BRCA","ARID1A","pairwise_all_events","WGDHM_vs_Classic",NA,0.00149925037481259,NA,NA,NA,FALSE,21,2,8,23,0.00764617691154423,0.00784513403675521
"BRCA","ARID1A","per_event_pairwise","WGDHM_vs_Classic","CNA_driver",0.00142236574020682,0.0395451247728252,0.000713649287139776,0.43035362534022,FALSE,21,2,8,23,0.0126996941089895,0.00981013682442688
"BRCA","ARID1A","per_event_pairwise","WGDHM_vs_Classic","CI_M",NA,NA,NA,NA,TRUE,21,2,8,23,NA,NA
"BRCA","ARID1A","per_event_pairwise","WGDHM_vs_Classic","M",1,Inf,0.00978348214285715,Inf,TRUE,21,2,8,23,1,1
"BRCA","ARID1A","per_event_pairwise","WGDHM_vs_Classic","WT",0.00325222004382425,19.6148503499694,1.86196607388919,1062.19984736012,FALSE,21,2,8,23,0.0219966417470382,0.0190328537903299
"BRCA","ASXL1","per_event_pairwise","WGD_vs_Classic","CNA_driver",NA,NA,NA,NA,TRUE,17,0,4,17,NA,NA
"BRCA","ASXL1","per_event_pairwise","WGD_vs_Classic","CI_M",NA,NA,NA,NA,TRUE,17,0,4,17,NA,NA
"BRCA","ASXL1","per_event_pairwise","WGD_vs_Classic","M",NA,NA,NA,NA,TRUE,17,0,4,17,NA,NA
"BRCA","ASXL1","per_event_pairwise","WGD_vs_Classic","WT",NA,NA,NA,NA,FALSE,17,0,4,17,NA,NA
"BRCA","ASXL1","per_event_pairwise","WGDHM_vs_Classic","CNA_driver",NA,NA,NA,NA,TRUE,17,0,4,17,NA,NA
"BRCA","ASXL1","per_event_pairwise","WGDHM_vs_Classic","CI_M",NA,NA,NA,NA,TRUE,17,0,4,17,NA,NA
"BRCA","ASXL1","per_event_pairwise","WGDHM_vs_Classic","M",NA,NA,NA,NA,TRUE,17,0,4,17,NA,NA
"BRCA","ASXL1","per_event_pairwise","WGDHM_vs_Classic","WT",NA,NA,NA,NA,FALSE,17,0,4,17,NA,NA
"BRCA","BRAF","per_event_pairwise","WGD_vs_Classic","CNA_driver",NA,NA,NA,NA,TRUE,14,0,6,14,NA,NA
"BRCA","BRAF","per_event_pairwise","WGD_vs_Classic","CI_M",NA,NA,NA,NA,TRUE,14,0,6,14,NA,NA
"BRCA","BRAF","per_event_pairwise","WGD_vs_Classic","M",NA,NA,NA,NA,TRUE,14,0,6,14,NA,NA
"BRCA","BRAF","per_event_pairwise","WGD_vs_Classic","WT",NA,NA,NA,NA,FALSE,14,0,6,14,NA,NA
"BRCA","BRAF","per_event_pairwise","WGDHM_vs_Classic","CNA_driver",NA,NA,NA,NA,TRUE,14,0,6,14,NA,NA
"BRCA","BRAF","per_event_pairwise","WGDHM_vs_Classic","CI_M",NA,NA,NA,NA,TRUE,14,0,6,14,NA,NA
"BRCA","BRAF","per_event_pairwise","WGDHM_vs_Classic","M",NA,NA,NA,NA,TRUE,14,0,6,14,NA,NA
"BRCA","BRAF","per_event_pairwise","WGDHM_vs_Classic","WT",NA,NA,NA,NA,FALSE,14,0,6,14,NA,NA
"BRCA","BRCA1","global","Classic_vs_HM_vs_WGD",NA,0.0739630184907546,NA,NA,NA,FALSE,12,3,4,15,0.189016602809706,0.144271614192904
