"IntoGen_cancer_type","gene","class","event","n","class_total","prop"
"AML","ASXL1","Classic","M",1,1,1
"AML","DDB2","Classic","WT",1,1,1
"AML","IDH2","Classic","M",1,1,1
"AML","MUC6","Classic","WT",1,1,1
"AML","MYC","Classic","WT",1,1,1
"AML","PCMTD1","Classic","WT",1,1,1
"AML","RAD21","Classic","WT",1,1,1
"AML","UBR5","Classic","WT",1,1,1
"AML","WT1","Classic","WT",1,1,1
"BLCA","AKAP9","WGD","WT",2,2,1
"BLCA","ARHGAP35","WGD","WT",5,5,1
"BLCA","ARHGAP5","WGD","WT",2,2,1
"BLCA","ARID1A","WGD","WT",2,2,1
"BLCA","ARID1B","WGD","WT",1,1,1
"BLCA","ASXL2","WGD","WT",3,3,1
"BLCA","BIRC6","WGD","WT",3,3,1
"BLCA","BRAF","WGD","WT",2,2,1
"BLCA","BRCA1","WGD","WT",2,2,1
"BLCA","BRD4","WGD","WT",3,3,1
"BLCA","BUB1B","WGD","CI_M",1,1,1
"BLCA","CDH1","WGD","WT",1,1,1
"BLCA","CDK12","WGD","WT",2,2,1
"BLCA","CDKN1A","WGD","WT",1,1,1
"BLCA","CDKN2A","WGD","WT",1,1,1
"BLCA","CHD2","WGD","WT",1,1,1
"BLCA","CREBBP","WGD","WT",1,1,1
"BLCA","CSMD3","WGD","WT",1,1,1
"BLCA","CYLD","WGD","WT",1,1,1
"BLCA","ELF3","WGD","WT",3,3,1
"BLCA","ERBB2","WGD","WT",2,2,1
"BLCA","ERBB3","WGD","WT",4,4,1
"BLCA","ERCC2","WGD","WT",5,5,1
"BLCA","ETV6","WGD","WT",2,2,1
"BLCA","FANCD2","WGD","CI_M",2,2,1
"BLCA","FAT1","WGD","WT",1,1,1
"BLCA","FBLN2","WGD","WT",1,1,1
"BLCA","FBXW7","WGD","WT",1,1,1
"BLCA","FGFR1","WGD","WT",1,1,1
"BLCA","FGFR3","WGD","WT",1,1,1
"BLCA","FLT4","WGD","WT",1,1,1
"BLCA","GNA13","WGD","WT",2,2,1
"BLCA","GPAA1","WGD","WT",1,1,1
"BLCA","GRIN2A","WGD","WT",1,1,1
"BLCA","HLA-A","WGD","WT",1,1,1
"BLCA","HSPG2","WGD","WT",2,2,1
"BLCA","IDH2","WGD","WT",1,1,1
"BLCA","KAT7","WGD","WT",2,2,1
"BLCA","KIF2A","WGD","CI_M",1,1,1
