Mutation Types	1e2dcbcc-771c-43c5-8c8d-e0eb77cb3494	4ef20a13-f107-4654-adca-fc60b8f5be47	50e3a421-9741-4cd8-911b-0f47ca518b6a	56cc8740-b132-4cbc-b513-f0b5b2305ca6	5c9b8a2c-c623-11e3-bf01-24c6515278c0	760881cc-c623-11e3-bf01-24c6515278c0	796a8782-6d7e-47c8-b322-fcfe1dd240c8	79b23f34-c623-11e3-bf01-24c6515278c0	983c14b8-f35b-497b-9fd4-5e5f5f0a7aa7	bb65d670-0411-4fc5-a6cb-019caec1ab36	da5b9926-c622-11e3-bf01-24c6515278c0	e7c90af0-4b03-453e-b44f-e07248415088	f0e0d978-3e32-4444-a07a-26049b2594e6	f2b2111c-c622-11e3-bf01-24c6515278c0
0:homdel:0-100kb	2	0	0	1	0	1	1	0	1	1	0	0	1	0
0:homdel:100kb-1Mb	0	1	3	0	0	1	0	0	0	0	2	1	3	0
0:homdel:>1Mb	0	0	1	0	0	0	0	0	0	0	1	1	0	0
1:LOH:0-100kb	1	10	0	2	2	24	1	0	1	3	1	0	1	1
1:LOH:100kb-1Mb	2	16	7	4	0	31	0	1	2	9	8	0	0	2
1:LOH:1Mb-10Mb	4	4	10	6	4	6	1	3	2	3	22	1	1	2
1:LOH:10Mb-40Mb	6	8	13	2	6	2	3	5	7	1	36	1	1	1
1:LOH:>40Mb	0	0	5	1	5	2	4	4	4	0	9	0	0	0
2:LOH:0-100kb	1	0	2	4	0	1	0	0	1	2	3	0	6	0
2:LOH:100kb-1Mb	6	0	1	8	0	1	0	0	0	8	13	2	7	2
2:LOH:1Mb-10Mb	9	0	6	10	0	0	0	0	2	3	6	2	12	0
2:LOH:10Mb-40Mb	12	0	0	6	0	0	1	0	1	6	3	6	10	3
2:LOH:>40Mb	5	0	0	3	0	0	0	0	1	3	1	1	1	2
3-4:LOH:0-100kb	1	0	2	5	0	0	1	0	0	1	0	1	3	0
3-4:LOH:100kb-1Mb	4	0	8	15	0	0	0	0	0	2	2	0	0	0
3-4:LOH:1Mb-10Mb	1	0	7	2	0	0	0	0	0	0	0	0	0	0
3-4:LOH:10Mb-40Mb	1	0	0	3	0	0	0	0	0	0	0	0	0	0
3-4:LOH:>40Mb	1	0	0	1	0	0	0	0	0	0	0	0	2	0
5-8:LOH:0-100kb	0	0	0	8	0	0	0	0	0	4	0	0	0	0
5-8:LOH:100kb-1Mb	3	0	6	3	0	0	0	0	0	7	1	0	0	1
5-8:LOH:1Mb-10Mb	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5-8:LOH:10Mb-40Mb	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5-8:LOH:>40Mb	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9+:LOH:0-100kb	0	0	1	0	0	0	0	0	0	0	0	1	0	0
9+:LOH:100kb-1Mb	0	0	3	0	0	0	2	0	0	0	0	1	0	0
9+:LOH:1Mb-10Mb	0	0	0	0	0	0	0	0	0	0	1	0	0	0
9+:LOH:10Mb-40Mb	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9+:LOH:>40Mb	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2:het:0-100kb	1	3	3	2	3	23	3	0	4	2	1	0	0	0
2:het:100kb-1Mb	1	3	5	2	1	26	2	2	3	0	8	1	0	0
2:het:1Mb-10Mb	1	12	12	4	5	14	3	2	8	4	19	1	0	0
2:het:10Mb-40Mb	5	16	7	1	5	14	4	5	2	3	12	0	0	0
2:het:>40Mb	6	22	16	3	20	19	8	20	18	3	13	0	0	0
3-4:het:0-100kb	17	3	5	8	0	3	0	2	2	8	3	3	2	0
3-4:het:100kb-1Mb	24	1	13	11	0	9	0	2	10	8	18	12	10	2
3-4:het:1Mb-10Mb	14	5	7	11	2	6	4	1	4	14	12	13	16	4
3-4:het:10Mb-40Mb	7	3	1	11	1	0	0	0	0	12	4	10	16	10
3-4:het:>40Mb	8	3	1	10	0	2	0	2	0	7	0	21	17	18
5-8:het:0-100kb	59	0	1	17	0	0	0	1	1	5	3	1	7	1
5-8:het:100kb-1Mb	123	0	3	30	0	0	1	0	0	15	1	18	23	3
5-8:het:1Mb-10Mb	30	0	1	2	0	0	2	0	2	5	2	9	10	1
5-8:het:10Mb-40Mb	2	0	0	2	0	0	0	0	0	0	1	5	3	3
5-8:het:>40Mb	0	0	0	0	0	0	0	0	0	0	0	1	4	1
9+:het:0-100kb	1	0	1	14	0	0	0	0	1	2	0	9	2	0
9+:het:100kb-1Mb	2	0	3	3	0	0	0	0	1	1	1	19	4	0
9+:het:1Mb-10Mb	0	0	0	0	0	0	0	0	1	0	0	1	0	0
9+:het:10Mb-40Mb	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9+:het:>40Mb	0	0	0	0	0	0	0	0	0	0	0	0	0	0
