Mutation Types	1157a548-6770-4c89-a84c-bcf6f0e96ea8	1193a9c4-5aab-4cd7-a690-60c96bd1172d	132f7f2a-b902-4343-aa08-cf6a7af10b9a	26c301a6-a597-4c24-9f6c-2293e5ae41c7	278b2498-1d64-493b-ac43-3489ec86f313	4b91ece6-c9b2-4889-b18c-c63eb58eb061	513bafce-375c-49b0-ae75-6c607abd05d8	5f53bcda-2fd3-4574-9cc2-5efe353372b2	616ff577-c5c3-432e-a857-f29901de119c	79524d64-8f4a-4889-b345-33198808b9de	99e7016a-c3c1-431c-8838-beb78a3cc017	aeeb01b4-790e-4929-bd59-6aad837603b1	b7722577-f200-4dec-97f6-4fab3a9ba52d	bcd52bcb-6e35-4220-9775-96dabff926b4	c642b9cc-bdb1-4796-9692-8be92398be17	c9f87f0d-4967-4be2-8b92-a20f1980ea22	d1be624b-eb76-4ce3-a6ba-ffc5b23953d3	d5423a93-0a72-43cf-a7ae-9011f47553c7	dabdd983-a819-410e-bfb8-5c66a66cf5ab	eba6d269-27f8-4e50-b59a-5d639bdd5cff	ebc1a26b-9582-4756-acd5-b02d1152319d	fa9996c3-b874-4424-a5a6-f1c7c0f42b9b
0:homdel:0-100kb	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0:homdel:100kb-1Mb	0	0	0	2	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	1
0:homdel:>1Mb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1:LOH:0-100kb	1	1	0	1	2	0	0	0	2	1	0	0	0	0	1	1	0	0	0	0	0	0
1:LOH:100kb-1Mb	1	1	3	0	1	1	3	1	0	0	3	1	4	0	2	2	1	1	1	2	0	0
1:LOH:1Mb-10Mb	2	1	1	1	0	0	0	0	0	0	3	0	1	0	0	2	0	0	1	0	0	0
1:LOH:10Mb-40Mb	1	1	0	0	1	0	1	0	1	0	0	0	0	0	2	0	0	2	1	1	0	0
1:LOH:>40Mb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2
2:LOH:0-100kb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2:LOH:100kb-1Mb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2:LOH:1Mb-10Mb	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	2
2:LOH:10Mb-40Mb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0
2:LOH:>40Mb	0	0	0	1	0	0	0	0	0	0	1	0	2	0	0	0	1	0	0	0	1	0
3-4:LOH:0-100kb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3-4:LOH:100kb-1Mb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
3-4:LOH:1Mb-10Mb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3-4:LOH:10Mb-40Mb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3-4:LOH:>40Mb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5-8:LOH:0-100kb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5-8:LOH:100kb-1Mb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5-8:LOH:1Mb-10Mb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5-8:LOH:10Mb-40Mb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5-8:LOH:>40Mb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9+:LOH:0-100kb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9+:LOH:100kb-1Mb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9+:LOH:1Mb-10Mb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9+:LOH:10Mb-40Mb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9+:LOH:>40Mb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2:het:0-100kb	0	0	0	1	0	0	0	1	2	0	0	0	0	0	0	0	0	1	0	0	0	0
2:het:100kb-1Mb	0	1	0	0	0	0	1	1	0	0	0	0	1	0	0	1	0	1	0	0	0	0
2:het:1Mb-10Mb	2	0	0	0	1	1	2	0	1	0	1	0	0	0	2	0	0	1	0	0	0	0
2:het:10Mb-40Mb	4	4	3	4	4	2	2	4	2	2	4	3	3	2	3	3	2	7	4	4	3	1
2:het:>40Mb	21	16	18	20	20	19	14	17	19	21	22	17	22	20	20	20	22	19	20	22	20	21
3-4:het:0-100kb	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0
3-4:het:100kb-1Mb	2	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
3-4:het:1Mb-10Mb	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3-4:het:10Mb-40Mb	1	2	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	1	0	0	0	0
3-4:het:>40Mb	2	1	2	1	1	1	2	1	1	0	0	1	0	1	2	1	0	0	1	1	0	1
5-8:het:0-100kb	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5-8:het:100kb-1Mb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
