Mutation Types	05780d48-80e7-4d70-b00c-081f8a9519f2	0980e7fd-051d-45e9-9ca6-2baf073da4e8	154f80bd-984c-4792-bb89-20c4da0c08e0	2df02f2b-9f1c-4249-b3b4-b03079cd97d9	303abbe5-4155-4a0d-bc3b-f8995261ca52	4cfb0aee-6661-478a-8694-9d8ba15e46b7	8da641e4-9b12-4163-bd1e-9d5af91e5186	93ff786e-0165-4b02-8d27-806d422e93fc	ec43c4b5-fb72-4a4a-af03-10c2d05ff159
0:homdel:0-100kb	1	0	0	0	0	0	2	0	1
0:homdel:100kb-1Mb	0	0	0	0	0	0	0	0	0
0:homdel:>1Mb	0	0	0	0	0	0	0	0	0
1:LOH:0-100kb	5	2	0	1	5	2	5	0	2
1:LOH:100kb-1Mb	1	0	0	1	3	3	7	1	2
1:LOH:1Mb-10Mb	0	0	0	0	0	2	2	0	0
1:LOH:10Mb-40Mb	0	1	0	0	2	0	1	0	0
1:LOH:>40Mb	0	0	0	0	0	0	0	0	0
2:LOH:0-100kb	0	0	0	0	0	0	7	0	0
2:LOH:100kb-1Mb	1	0	0	0	0	1	3	0	0
2:LOH:1Mb-10Mb	0	0	0	0	0	1	4	0	0
2:LOH:10Mb-40Mb	0	0	0	0	0	1	3	1	1
2:LOH:>40Mb	0	0	1	1	1	1	1	1	0
3-4:LOH:0-100kb	0	0	0	0	0	2	0	0	0
3-4:LOH:100kb-1Mb	0	0	0	0	0	0	3	0	0
3-4:LOH:1Mb-10Mb	0	0	0	0	0	0	5	0	0
3-4:LOH:10Mb-40Mb	0	0	0	0	0	1	4	0	0
3-4:LOH:>40Mb	0	0	0	0	0	1	0	0	0
5-8:LOH:0-100kb	0	0	0	0	0	0	0	0	0
5-8:LOH:100kb-1Mb	0	0	0	0	0	0	0	0	0
5-8:LOH:1Mb-10Mb	0	0	0	0	0	2	0	0	0
5-8:LOH:10Mb-40Mb	0	0	0	0	0	1	0	0	0
5-8:LOH:>40Mb	0	0	0	0	0	0	0	0	0
9+:LOH:0-100kb	0	0	0	0	0	0	0	0	0
9+:LOH:100kb-1Mb	0	0	0	0	0	0	0	0	0
9+:LOH:1Mb-10Mb	0	0	0	0	0	0	0	0	0
9+:LOH:10Mb-40Mb	0	0	0	0	0	0	0	0	0
9+:LOH:>40Mb	0	0	0	0	0	0	0	0	0
2:het:0-100kb	10	1	0	0	1	0	7	0	1
2:het:100kb-1Mb	3	0	0	0	3	0	2	0	0
2:het:1Mb-10Mb	4	1	0	0	3	0	0	0	2
2:het:10Mb-40Mb	9	5	2	3	5	1	0	4	1
2:het:>40Mb	1	18	21	25	24	1	0	21	23
3-4:het:0-100kb	0	1	0	0	9	1	8	0	0
3-4:het:100kb-1Mb	2	0	0	1	6	4	5	1	1
3-4:het:1Mb-10Mb	2	1	0	0	6	1	9	0	0
3-4:het:10Mb-40Mb	0	2	0	0	1	7	15	0	0
3-4:het:>40Mb	3	2	0	0	2	23	21	0	2
5-8:het:0-100kb	0	0	0	0	1	1	2	0	0
5-8:het:100kb-1Mb	0	0	0	0	2	1	0	0	0
5-8:het:1Mb-10Mb	0	0	0	0	4	0	10	0	0
5-8:het:10Mb-40Mb	0	0	0	0	0	1	5	0	0
5-8:het:>40Mb	0	0	0	0	0	0	3	0	0
9+:het:0-100kb	0	0	0	0	0	0	0	0	0
9+:het:100kb-1Mb	0	0	0	0	0	0	0	0	0
9+:het:1Mb-10Mb	0	0	0	0	0	0	0	0	0
9+:het:10Mb-40Mb	0	0	0	0	0	0	0	0	0
9+:het:>40Mb	0	0	0	0	0	0	0	0	0
