Mutation Types	1db83e80-bdf7-4d8d-8008-bd8406d641fc	1fdab6a6-7346-4229-aa8d-5dbd258f0c60	21205681-a0c7-48d0-81d4-0b7ef31158cf	46d35b82-e1b7-4d35-be5e-3a70fd47e421	5046f1b4-9d95-4841-ba30-691fa44719a2	5193a482-6ed9-4504-bd7c-c8b9e4103577	9650640f-154d-4696-aa96-3611c6fcee7b	ab923db7-54e8-4a50-b7fd-c2b4b300041e	d25a4c65-9cb4-4611-909e-e68f93408d84	dfa20d2d-1ba3-476a-b4b9-21d21470bee2	e2b5c926-491d-430d-8d9c-5c73d7752d1b	e2e6a409-b64d-463c-ac3b-e7987a3124f0
0:homdel:0-100kb	0	1	1	0	0	1	0	0	2	1	2	1
0:homdel:100kb-1Mb	0	2	1	0	1	0	1	0	1	0	1	0
0:homdel:>1Mb	0	0	0	0	1	0	0	0	0	0	0	0
1:LOH:0-100kb	1	4	5	2	4	1	5	2	2	4	5	3
1:LOH:100kb-1Mb	2	3	1	3	2	3	15	0	2	4	2	7
1:LOH:1Mb-10Mb	1	0	1	3	1	3	0	1	0	4	8	1
1:LOH:10Mb-40Mb	2	0	0	1	0	10	0	0	0	6	10	2
1:LOH:>40Mb	5	0	1	0	0	7	0	0	0	4	6	0
2:LOH:0-100kb	1	4	6	0	3	1	2	1	0	0	2	0
2:LOH:100kb-1Mb	2	9	6	0	7	1	1	2	2	0	2	0
2:LOH:1Mb-10Mb	1	0	5	2	2	2	3	0	0	0	1	0
2:LOH:10Mb-40Mb	3	2	8	4	4	2	6	0	3	0	2	5
2:LOH:>40Mb	1	0	11	2	2	1	5	2	3	2	3	5
3-4:LOH:0-100kb	2	2	2	0	2	0	1	2	1	2	1	0
3-4:LOH:100kb-1Mb	0	11	2	0	3	0	1	0	0	0	1	1
3-4:LOH:1Mb-10Mb	1	7	1	1	4	0	0	2	1	0	2	0
3-4:LOH:10Mb-40Mb	2	7	2	0	6	0	0	2	1	0	0	0
3-4:LOH:>40Mb	0	1	3	2	1	0	0	2	1	1	1	1
5-8:LOH:0-100kb	0	1	0	0	0	0	0	0	0	0	0	0
5-8:LOH:100kb-1Mb	0	3	1	0	1	0	0	0	0	1	2	0
5-8:LOH:1Mb-10Mb	0	6	2	0	1	0	0	0	0	1	0	0
5-8:LOH:10Mb-40Mb	0	0	0	0	1	0	0	1	0	1	0	0
5-8:LOH:>40Mb	0	0	0	0	0	0	0	1	0	0	0	0
9+:LOH:0-100kb	0	0	0	0	0	0	0	0	0	0	0	0
9+:LOH:100kb-1Mb	0	0	2	0	0	0	0	0	0	0	0	0
9+:LOH:1Mb-10Mb	0	1	3	0	0	0	0	0	0	0	1	0
9+:LOH:10Mb-40Mb	0	0	0	0	0	0	0	0	0	0	0	0
9+:LOH:>40Mb	0	0	0	0	0	0	0	0	0	0	0	0
2:het:0-100kb	0	1	1	1	0	3	4	1	0	6	0	1
2:het:100kb-1Mb	0	0	0	1	0	2	2	0	0	3	4	1
2:het:1Mb-10Mb	5	0	1	3	0	8	3	1	0	3	10	1
2:het:10Mb-40Mb	5	0	3	4	0	6	10	2	0	10	10	6
2:het:>40Mb	16	0	0	8	0	18	17	2	0	15	8	19
3-4:het:0-100kb	3	11	8	0	4	3	3	5	1	3	2	3
3-4:het:100kb-1Mb	6	6	14	2	3	4	1	3	2	3	10	3
3-4:het:1Mb-10Mb	1	7	20	2	4	2	0	3	6	2	9	2
3-4:het:10Mb-40Mb	5	12	17	2	17	4	0	5	3	2	4	0
3-4:het:>40Mb	2	18	10	12	15	1	2	19	16	1	1	1
5-8:het:0-100kb	0	10	10	0	9	0	0	6	1	0	9	1
5-8:het:100kb-1Mb	0	8	10	1	8	0	1	3	3	0	20	1
5-8:het:1Mb-10Mb	0	11	4	0	5	0	0	2	0	0	5	0
5-8:het:10Mb-40Mb	0	9	0	0	3	0	0	2	0	0	0	0
5-8:het:>40Mb	0	4	0	1	2	0	0	2	1	0	0	0
9+:het:0-100kb	4	1	11	0	1	0	0	0	7	0	3	0
9+:het:100kb-1Mb	5	3	2	0	2	0	0	0	2	0	12	0
9+:het:1Mb-10Mb	4	3	1	0	0	0	0	0	4	0	1	0
9+:het:10Mb-40Mb	2	0	0	0	0	0	0	0	1	0	0	0
9+:het:>40Mb	0	0	0	0	0	0	0	0	0	0	0	0
