Mutation Types	01c8e465-2b4e-4519-bdef-c3ac06b43eeb	0363fe2c-d765-450e-8b1a-d13a23d9af2a	051cb117-16fd-459e-81e5-002eca2b7eea	0e7ac212-0469-4f17-9432-205ab1831257	2660825c-68f0-4631-948e-6da158edbe9e	29127cde-548f-4c42-96cf-6f0020c3db9a	3189bc97-afd8-4daf-80c9-2d78a08228d3	33b99e90-741d-43f2-804b-75721199a0dc	3728982b-4547-4249-bd42-72a91d3fda8c	3ad44032-01fb-4f84-b880-f01bb13a4359	3ae3ce4a-54ec-4c3b-83f2-845696ea0fa1	44406493-37f4-48c7-961b-8714be50773a	48b15122-b1e9-4c30-8fc5-70a07686779a	5174f450-0bf7-4237-a53e-844064f0e701	559c30f2-8ae7-43c8-819c-800261065e06	589e0aea-9057-4b8c-8af1-74c74fe46a38	5935dd9d-d411-48f8-8512-aa73a63878b0	59e2d6d1-debd-4796-ab0c-6a5673a990fc	5f13e9b8-6c8e-4fd7-aef1-da4e5d5e2a5e	606d7f5e-ff98-4245-a9ac-281f5074f97a	63a907ff-1042-4f9c-a385-55a32b3e103b	69fe982d-6ab8-49b7-9efa-8349d60eb076	6e776415-ddf4-4060-953f-08ef22441234	7243992d-0763-4b75-8066-e8e5309d0193	7c477f01-8000-49dc-a692-e47fc15e0b4f	8c4ebff2-8318-4046-98f5-da8f6b1a9e3b	8cbd1752-7eea-46d3-8623-09e96dfb1fdf	a4beedc3-0e96-4e1c-90b4-3674dfc01786	aa215f18-ae1f-4f0e-89dd-ac59ee8c8c44	b27b569a-2c79-4453-8a2d-41fd0b4dd28d	b499032c-6cb8-4646-a95b-10af2a21a289	b4e5626b-44fe-4cdb-a7d5-42028e0dbc4d	b5cc4a6d-93a9-497c-a7bb-a5db82edc176	bf91afc4-aa2b-4365-80c5-b98c9d118e10	c9e7cff0-aec2-4ff2-8091-7cbea2bf5991	dc4ba4bc-6333-4fe9-8805-e058cc9e6e18	dc57c2e7-4c5b-4e2b-93c6-f032fcebc2fa	dc7faf84-4438-447b-abcf-a3af87043654	df2d41c4-7e79-4a46-aa4a-2a11c051ac40	e07affb1-b6b2-40a4-9c54-0e72f5ea5045	ee368301-b2f7-428f-9330-67c054c1a09d	fbea74b5-b1a8-4767-af7c-e179ce8da071
0:homdel:0-100kb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
0:homdel:100kb-1Mb	1	0	0	0	1	0	0	0	0	2	0	0	0	0	0	3	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	1	0	2	0	0	0	0
0:homdel:>1Mb	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1:LOH:0-100kb	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	6	0	0	0	0	0	0	4	0	0	0	0	0	0	4	0	0	0	0	10	1	0	0	0	0	0	0
1:LOH:100kb-1Mb	0	0	1	1	0	4	1	0	0	0	0	0	2	0	0	5	0	0	0	0	0	0	8	0	1	0	1	0	0	6	0	0	0	0	4	2	0	0	8	0	0	0
1:LOH:1Mb-10Mb	2	0	0	0	0	7	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	16	0	0	0	0	0	0	1	0	0	0	0	2	4	0	1	3	2	0	0
1:LOH:10Mb-40Mb	0	1	0	0	1	1	1	0	0	3	0	0	0	0	0	2	0	0	2	2	1	1	16	0	0	1	0	0	0	2	0	3	0	0	10	1	2	0	1	0	0	0
1:LOH:>40Mb	6	2	1	0	1	1	2	0	1	11	0	0	0	0	0	11	0	1	2	13	0	0	11	0	2	0	0	1	0	1	1	9	2	0	7	0	12	0	12	2	0	2
2:LOH:0-100kb	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0
2:LOH:100kb-1Mb	0	0	0	0	5	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	25	0	0	0	0	0	1	0	0	0	0	0	0	4	0	1	1	0	0	0
2:LOH:1Mb-10Mb	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	10	0	0	0	1	0	1	0	0	0	0	0	1	6	0	1	0	0	0	1
2:LOH:10Mb-40Mb	0	0	2	4	3	0	0	0	0	0	3	0	3	2	0	1	0	0	0	0	0	0	1	0	1	0	3	0	1	0	0	0	0	0	1	13	0	4	0	1	0	0
2:LOH:>40Mb	0	0	5	7	9	0	1	6	2	0	4	3	11	1	14	1	4	0	0	1	2	0	0	0	2	10	13	3	4	0	0	1	1	1	0	10	0	13	2	1	0	0
3-4:LOH:0-100kb	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
3-4:LOH:100kb-1Mb	0	0	1	0	2	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	4	0	0	0	0	0	1	0	0	0	0	0	0	1	0	2	0	0	0	0
3-4:LOH:1Mb-10Mb	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
3-4:LOH:10Mb-40Mb	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	3	0	0	0	0	0	0
3-4:LOH:>40Mb	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
5-8:LOH:0-100kb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
5-8:LOH:100kb-1Mb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5-8:LOH:1Mb-10Mb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5-8:LOH:10Mb-40Mb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5-8:LOH:>40Mb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9+:LOH:0-100kb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9+:LOH:100kb-1Mb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9+:LOH:1Mb-10Mb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9+:LOH:10Mb-40Mb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9+:LOH:>40Mb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2:het:0-100kb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2:het:100kb-1Mb	1	0	0	0	0	3	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	13	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	1	0	0
2:het:1Mb-10Mb	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	1	0	0	0	0	2	0	0	1	0	11	0	0	0	3	2	0	0
2:het:10Mb-40Mb	2	1	2	0	0	6	2	1	1	1	1	0	0	0	0	6	1	1	1	0	0	1	23	1	3	2	0	0	0	5	1	1	1	0	10	2	1	0	4	3	1	2
2:het:>40Mb	10	16	0	0	0	19	13	4	8	11	6	4	0	0	0	14	5	6	14	10	9	20	13	7	13	4	0	4	0	20	14	12	12	9	16	1	8	0	12	15	10	20
3-4:het:0-100kb	0	0	0	1	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	1	1	0	0	0	0	0	0	0	2	8	0	0	0	0	0	0
3-4:het:100kb-1Mb	0	0	0	1	0	0	0	0	1	1	1	0	0	1	0	0	0	1	0	1	1	0	48	0	0	1	0	0	1	2	0	0	0	0	0	13	0	1	0	0	0	0
3-4:het:1Mb-10Mb	0	0	0	2	1	0	0	1	0	0	0	0	0	4	2	0	0	0	1	0	1	0	5	0	0	0	1	0	1	3	0	1	0	0	0	12	0	11	0	1	0	0
3-4:het:10Mb-40Mb	0	0	0	7	6	0	0	2	0	0	0	2	2	13	5	0	1	1	1	0	2	0	3	1	0	3	1	2	3	0	1	0	0	2	4	5	0	9	0	0	1	0
3-4:het:>40Mb	1	2	17	16	11	1	5	11	5	1	10	14	12	20	8	0	13	12	3	0	10	2	0	15	5	9	10	11	12	3	6	0	5	12	1	11	1	9	0	0	13	1
5-8:het:0-100kb	0	0	0	0	2	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5-8:het:100kb-1Mb	0	0	0	1	1	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
5-8:het:1Mb-10Mb	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
5-8:het:10Mb-40Mb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5-8:het:>40Mb	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	7	0	1	0	0	0	0	1	0	0	0	0	0	0
9+:het:0-100kb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9+:het:100kb-1Mb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9+:het:1Mb-10Mb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
9+:het:10Mb-40Mb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9+:het:>40Mb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
