Mutation Types	153a64ee-6322-4f2e-b3df-77ef7d3a4cf0	1d0617e8-2725-4411-b50f-e46ea1d43242	25f07374-313a-4100-9a60-3d21d2988fca	388a8875-c3f5-494e-8456-28be8d3626e1	4dc9b032-7f7b-486d-a12b-8461af89501d	5dc6f055-c4f6-49a1-a68c-94cf87cbd363	65be412d-46c3-4cbf-9b46-b35351e53065	7e305f31-fbb0-4bce-894b-1dd85e303421	7eb0f792-858f-45d1-a908-125b02ea1506	8867bdef-3a8d-433e-b10f-d752e2cbb022	bc0dee07-de20-44d6-be65-05af7e63ac96	d7f8e1f3-a9a7-4929-92df-1283bac815d2	dc107863-2c7d-4b19-8afb-666c7798f0da	eda1d8d9-e8f5-46f2-bb16-15d0b10c2cf9	f50fb278-1f0f-406e-b341-eb3d1b97afe6	ffb4f42b-58e9-40c3-8963-11804f041375
0:homdel:0-100kb	1	0	1	0	0	0	0	0	2	3	0	1	1	5	0	0
0:homdel:100kb-1Mb	0	0	2	1	0	1	0	0	1	4	0	1	0	3	0	1
0:homdel:>1Mb	0	0	1	0	0	0	0	0	0	2	0	1	0	2	0	0
1:LOH:0-100kb	6	2	11	3	2	8	6	4	8	8	8	1	2	3	6	10
1:LOH:100kb-1Mb	1	6	8	4	1	11	1	2	6	11	5	8	4	9	7	14
1:LOH:1Mb-10Mb	0	0	7	2	1	3	0	0	4	8	6	5	0	11	1	1
1:LOH:10Mb-40Mb	0	0	7	0	0	1	0	0	1	2	0	8	0	14	0	0
1:LOH:>40Mb	0	1	3	0	0	0	0	0	0	0	0	8	0	8	0	2
2:LOH:0-100kb	4	0	5	0	0	0	4	0	6	9	9	0	0	3	7	1
2:LOH:100kb-1Mb	9	0	6	0	0	2	2	0	6	8	8	2	0	5	5	2
2:LOH:1Mb-10Mb	7	0	13	0	0	1	6	0	9	8	16	0	0	5	8	1
2:LOH:10Mb-40Mb	10	0	12	0	1	0	7	0	3	6	10	0	0	9	8	1
2:LOH:>40Mb	4	1	4	0	0	1	3	0	6	0	0	0	1	3	1	0
3-4:LOH:0-100kb	8	1	7	0	1	0	7	0	1	9	9	0	3	3	5	0
3-4:LOH:100kb-1Mb	2	0	11	0	0	0	10	0	6	9	27	0	2	0	26	0
3-4:LOH:1Mb-10Mb	3	0	0	0	0	0	10	0	6	29	11	0	3	0	15	0
3-4:LOH:10Mb-40Mb	2	0	0	0	0	0	11	0	2	13	2	0	2	0	12	0
3-4:LOH:>40Mb	1	2	0	0	0	0	2	0	7	1	0	0	1	0	3	0
5-8:LOH:0-100kb	2	0	0	0	0	0	3	0	0	6	2	0	0	0	12	0
5-8:LOH:100kb-1Mb	2	0	2	0	0	0	2	0	2	23	8	0	0	0	3	0
5-8:LOH:1Mb-10Mb	1	0	5	0	0	0	3	0	1	13	6	0	0	0	0	0
5-8:LOH:10Mb-40Mb	0	0	0	0	0	0	3	0	0	6	0	0	0	0	1	0
5-8:LOH:>40Mb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9+:LOH:0-100kb	0	0	5	0	0	0	3	0	2	5	0	0	0	0	1	0
9+:LOH:100kb-1Mb	0	0	3	0	0	0	0	0	11	14	0	0	0	0	0	0
9+:LOH:1Mb-10Mb	0	0	3	0	0	0	0	0	0	4	0	0	0	0	0	0
9+:LOH:10Mb-40Mb	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
9+:LOH:>40Mb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2:het:0-100kb	2	0	15	0	8	2	2	0	7	4	17	3	0	1	0	2
2:het:100kb-1Mb	0	3	11	0	10	3	0	1	0	1	15	6	1	4	4	2
2:het:1Mb-10Mb	0	2	13	2	13	3	3	1	1	1	39	6	1	5	6	5
2:het:10Mb-40Mb	0	8	6	9	16	13	2	9	7	1	22	2	5	11	3	13
2:het:>40Mb	0	18	2	24	11	24	1	21	4	1	0	5	20	13	2	30
3-4:het:0-100kb	8	0	16	2	12	3	15	1	7	14	57	0	2	1	21	2
3-4:het:100kb-1Mb	3	1	20	0	11	2	7	0	9	17	95	2	0	3	36	6
3-4:het:1Mb-10Mb	14	0	7	0	20	4	15	0	9	7	39	0	1	0	18	2
3-4:het:10Mb-40Mb	12	0	2	0	19	1	12	0	17	12	0	1	0	3	20	1
3-4:het:>40Mb	6	1	0	1	7	4	1	2	7	0	0	1	1	2	3	0
5-8:het:0-100kb	12	0	1	0	1	0	15	0	2	15	22	0	0	0	27	0
5-8:het:100kb-1Mb	6	0	1	0	0	0	13	0	0	13	43	0	0	2	41	0
5-8:het:1Mb-10Mb	6	0	0	0	4	0	11	0	2	10	17	0	0	0	14	0
5-8:het:10Mb-40Mb	5	0	0	0	4	0	10	0	3	1	0	0	0	0	4	0
5-8:het:>40Mb	2	0	0	0	1	0	2	0	1	0	0	0	0	0	0	0
9+:het:0-100kb	3	0	5	0	0	1	0	0	2	3	1	0	0	0	18	0
9+:het:100kb-1Mb	8	0	3	0	0	3	0	0	1	21	4	0	0	0	2	0
9+:het:1Mb-10Mb	3	0	0	0	0	1	0	0	0	10	0	0	0	0	0	0
9+:het:10Mb-40Mb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9+:het:>40Mb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
