ttype	signature	n_samples	median_early	median_all	median_delta	p_value	p_adj	significant	direction
BOCA	SBS.SBS5	10	0.5385413935576613	0.5385413935576613	0	1	1	FALSE	ns
BOCA	SBS.SBS8	10	0.24024575080167632	0.24024575080167632	0	1	1	FALSE	ns
BOCA	SBS.SBS1	10	0	0	0	NA	NA	FALSE	ns
BOCA	SBS.SBS16	10	0	0	0	NA	NA	FALSE	ns
BOCA	SBS.SBS25	10	0.028019406673056458	0.028019406673056458	0	NA	NA	FALSE	ns
BOCA	SBS.SBS30	10	0	0	0	NA	NA	FALSE	ns
BOCA	SBS.SBS32	10	0	0	0	NA	NA	FALSE	ns
BOCA	SBS.SBS35	10	0	0	0	NA	NA	FALSE	ns
BOCA	SBS.SBS46	10	0	0	0	NA	NA	FALSE	ns
BOCA	SBS.SBS96	10	0	0	0	NA	NA	FALSE	ns
BOCA	SBS.SBS99	10	0	0	0	NA	NA	FALSE	ns
