ttype	sample	cosine_distance
BRCA	S_HM2	0.02357998775841963
BRCA	S_HM3	0.043157575591237674
BRCA	S_WGD12	0.17692116219918974
BRCA	S_WGD14	7.875541198965053e-6
BRCA	S_WGD15	0.0029673543278710968
BRCA	S_WGD17	0.003716558234822309
BRCA	S_WGD21	0.04277457166687504
BRCA	S_WGD22	0.03439180079581261
BRCA	S_WGD25	0.011722250300786774
BRCA	S_WGD26	0.05049610713996866
BRCA	S_WGD27	0.0011795904499714016
BRCA	S_WGD28	0.2156239814365648
BRCA	S_WGD30	0.001645565798294668
BRCA	S_WGD32	0.018307489988401593
BRCA	S_WGD33	0.0012459337006640592
BRCA	S_WGD35	0.007495278682806972
BRCA	S_WGD38	0.02501685189833991
BRCA	S_WGD4	0.02450088863255051
BRCA	S_WGD6	0.02521239803456632
BRCA	S_WGD7	0.002648107484799933
BRCA	S_WGD9	0.05597299344944817
