ttype	signature	n_samples	median_early	median_all	median_delta	p_value	p_adj	significant	direction
MALY	SBS.SBS5	12	0.27135962242349576	0.27693691458372494	0.06649885949352564	0.016728700389704677	0.3011166070146842	FALSE	ns
MALY	SBS.SBS1	12	0.09444355960435505	0.08140123828750433	-0.03644181430524521	0.03763288352014077	0.31147778961010963	FALSE	ns
MALY	SBS.SBS18	12	0.07216304778729764	0.03081353632239712	-0.0013328313267997396	0.05191296493501828	0.31147778961010963	FALSE	ns
MALY	SBS.SBS19	12	0	0	0	0.10564542920187692	0.4754044314084461	FALSE	ns
MALY	SBS.SBS50	12	0	0	0	0.1814492077214203	0.544347623164261	FALSE	ns
MALY	SBS.SBS58	12	0	0	0	0.1814492077214203	0.544347623164261	FALSE	ns
MALY	SBS.SBS85	12	0	0.05750494281582408	0.010085105733865535	0.2339528334705896	0.6015930003529447	FALSE	ns
MALY	SBS.SBS10d	12	0	0	0	0.41849223344681974	0.8043710772794955	FALSE	ns
MALY	SBS.SBS30	12	0	0.029305060984934447	0	0.44687282071083084	0.8043710772794955	FALSE	ns
MALY	SBS.SBS6	12	0	0	0	0.37109336952269756	0.8043710772794955	FALSE	ns
MALY	SBS.SBS9	12	0.14096932296778256	0.1942266547910525	-0.005986612830597746	0.5049031767231309	0.8262051982742142	FALSE	ns
MALY	SBS.SBS93	12	0.04214913772732841	0.029312400340287585	0	0.5541131300694455	0.8311696951041683	FALSE	ns
MALY	SBS.SBS8	12	0.09583145862204086	0.10628364471387317	0	0.6834809022014257	0.9463581722788971	FALSE	ns
MALY	SBS.SBS16	12	0	0	0	1	1	FALSE	ns
MALY	SBS.SBS17b	12	0	0	0	0.7874064906662693	1	FALSE	ns
MALY	SBS.SBS32	12	0	0	0	1	1	FALSE	ns
MALY	SBS.SBS57	12	0	0	0	1	1	FALSE	ns
MALY	SBS.SBS7d	12	0	0	0	1	1	FALSE	ns
