ttype	signature	n_samples	median_early	median_all	median_delta	p_value	p_adj	significant	direction
MELA	SBS.SBS1	19	0	0	0	0.05191296493501828	0.23623291636214694	FALSE	ns
MELA	SBS.SBS7d	19	0	0	0	0.036031686218233556	0.23623291636214694	FALSE	ns
MELA	SBS.SBS94	19	0	0	0	0.059058229090536735	0.23623291636214694	FALSE	ns
MELA	SBS.SBS2	19	0	0	0	0.20124262095772402	0.4829822902985376	FALSE	ns
MELA	SBS.SBS38	19	0	0	0	0.1814492077214203	0.4829822902985376	FALSE	ns
MELA	SBS.SBS7a	19	0.49471165521937127	0.45136446977894024	0	0.2634941841411999	0.5269883682823998	FALSE	ns
MELA	SBS.SBS18	19	0	0	0	0.37109336952269756	0.5974568900933814	FALSE	ns
MELA	SBS.SBS5	19	0	0.05726648786575749	0	0.3983045933955876	0.5974568900933814	FALSE	ns
MELA	SBS.SBS7b	19	0.13633255369627828	0.18968061917107998	0	0.48464167878831416	0.6461889050510855	FALSE	ns
MELA	SBS.SBS40a	19	0	0.08523430885131789	0	0.8240981682459778	0.9889178018951733	FALSE	ns
MELA	SBS.SBS19	19	0	0	0	1	1	FALSE	ns
MELA	SBS.SBS58	19	0	0	0	1	1	FALSE	ns
