ttype	signature	n_samples	median_early	median_all	median_delta	p_value	p_adj	significant	direction
RECA	SBS.SBS35	8	0.12812936159305402	0	-0.12812936159305402	0.036031686218233556	0.2522218035276349	FALSE	ns
RECA	SBS.SBS92	8	0.09798450326561225	0	-0.09798450326561225	0.036031686218233556	0.2522218035276349	FALSE	ns
RECA	SBS.SBS94	8	0	0.09288569882614692	0.09288569882614692	0.059058229090536735	0.27560506908917143	FALSE	ns
RECA	SBS.SBS40a	8	0.18583084736543581	0.28257202321763125	0.07517034467022093	0.08005791998443475	0.2802027199455216	FALSE	ns
RECA	SBS.SBS44	8	0	0.029866810463189095	0.029866810463189095	0.10034824646229079	0.2809750900944142	FALSE	ns
RECA	SBS.SBS7c	8	0	0	0	0.1814492077214203	0.4233814846833141	FALSE	ns
RECA	SBS.SBS40b	8	0.3766776825523601	0.29380508382250586	-0.026592133625377767	0.2339528334705896	0.4679056669411792	FALSE	ns
RECA	SBS.SBS12	8	0	0	0	0.37109336952269756	0.5195307173317766	FALSE	ns
RECA	SBS.SBS16	8	0	0	0	0.37109336952269756	0.5195307173317766	FALSE	ns
RECA	SBS.SBS22a	8	0	0	0	0.37109336952269756	0.5195307173317766	FALSE	ns
RECA	SBS.SBS1	8	0	0	0	1	1	FALSE	ns
RECA	SBS.SBS5	8	0	0.0797891807189563	0	0.7874064906662693	1	FALSE	ns
RECA	SBS.SBS84	8	0	0	0	1	1	FALSE	ns
RECA	SBS.SBS97	8	0	0	0	1	1	FALSE	ns
