ttype	signature	n_samples	median_early	median_all	median_delta	p_value	p_adj	significant	direction
OV	SBS.SBS3	31	0.21489421665472583	0.09171256082368243	-0.07963802154400197	4.543994580080787e-4	0.005452793496096944	TRUE	early-acting
OV	SBS.SBS39	31	0	0.07312279796008714	0.07312279796008714	3.2104840068844444e-4	0.005452793496096944	TRUE	late-acting
OV	SBS.SBS8	31	0.11104546621695473	0.14360982464477512	0.006261436928378772	0.017788447670082055	0.12517549399659306	FALSE	ns
OV	SBS.SBS94	31	0	0	0	0.020862582332765507	0.12517549399659306	FALSE	ns
OV	SBS.SBS15	31	0	0	0	0.10034824646229079	0.48167158301899576	FALSE	ns
OV	SBS.SBS1	31	0.10801395870358776	0.10213933341907289	0	0.30656198305521637	0.7245909842925179	FALSE	ns
OV	SBS.SBS16	31	0	0	0	0.40167816646977295	0.7245909842925179	FALSE	ns
OV	SBS.SBS30	31	0	0	0	0.37109336952269756	0.7245909842925179	FALSE	ns
OV	SBS.SBS50	31	0	0	0	0.266402424640499	0.7245909842925179	FALSE	ns
OV	SBS.SBS6	31	0	0	0	0.3669855718549245	0.7245909842925179	FALSE	ns
OV	SBS.SBS7b	31	0	0	0	0.37109336952269756	0.7245909842925179	FALSE	ns
OV	SBS.SBS88	31	0	0	0	0.42267807417063546	0.7245909842925179	FALSE	ns
OV	SBS.SBS92	31	0	0	0	0.2300242450602736	0.7245909842925179	FALSE	ns
OV	SBS.SBS97	31	0	0	0	0.1814492077214203	0.7245909842925179	FALSE	ns
OV	SBS.SBS11	31	0	0	0	1	1	FALSE	ns
OV	SBS.SBS13	31	0	0	0	0.7874064906662693	1	FALSE	ns
OV	SBS.SBS18	31	0	0	0	0.9687124153929956	1	FALSE	ns
OV	SBS.SBS19	31	0	0	0	1	1	FALSE	ns
OV	SBS.SBS23	31	0	0	0	1	1	FALSE	ns
OV	SBS.SBS32	31	0	0	0	1	1	FALSE	ns
OV	SBS.SBS40a	31	0.1029991230823433	0.08575556945832626	0	0.9851072844923568	1	FALSE	ns
OV	SBS.SBS45	31	0	0	0	1	1	FALSE	ns
OV	SBS.SBS5	31	0.23202161259890783	0.1948264202558896	0	0.9142910652076613	1	FALSE	ns
OV	SBS.SBS7c	31	0	0	0	0.7892680261342813	1	FALSE	ns
MALY	SBS.SBS5	12	0.27135962242349576	0.27693691458372494	0.06649885949352564	0.016728700389704677	0.3011166070146842	FALSE	ns
MALY	SBS.SBS1	12	0.09444355960435505	0.08140123828750433	-0.03644181430524521	0.03763288352014077	0.31147778961010963	FALSE	ns
MALY	SBS.SBS18	12	0.07216304778729764	0.03081353632239712	-0.0013328313267997396	0.05191296493501828	0.31147778961010963	FALSE	ns
MALY	SBS.SBS19	12	0	0	0	0.10564542920187692	0.4754044314084461	FALSE	ns
MALY	SBS.SBS50	12	0	0	0	0.1814492077214203	0.544347623164261	FALSE	ns
MALY	SBS.SBS58	12	0	0	0	0.1814492077214203	0.544347623164261	FALSE	ns
MALY	SBS.SBS85	12	0	0.05750494281582408	0.010085105733865535	0.2339528334705896	0.6015930003529447	FALSE	ns
MALY	SBS.SBS10d	12	0	0	0	0.41849223344681974	0.8043710772794955	FALSE	ns
MALY	SBS.SBS30	12	0	0.029305060984934447	0	0.44687282071083084	0.8043710772794955	FALSE	ns
MALY	SBS.SBS6	12	0	0	0	0.37109336952269756	0.8043710772794955	FALSE	ns
MALY	SBS.SBS9	12	0.14096932296778256	0.1942266547910525	-0.005986612830597746	0.5049031767231309	0.8262051982742142	FALSE	ns
MALY	SBS.SBS93	12	0.04214913772732841	0.029312400340287585	0	0.5541131300694455	0.8311696951041683	FALSE	ns
MALY	SBS.SBS8	12	0.09583145862204086	0.10628364471387317	0	0.6834809022014257	0.9463581722788971	FALSE	ns
MALY	SBS.SBS16	12	0	0	0	1	1	FALSE	ns
MALY	SBS.SBS17b	12	0	0	0	0.7874064906662693	1	FALSE	ns
MALY	SBS.SBS32	12	0	0	0	1	1	FALSE	ns
MALY	SBS.SBS57	12	0	0	0	1	1	FALSE	ns
MALY	SBS.SBS7d	12	0	0	0	1	1	FALSE	ns
LIRI	SBS.SBS16	16	0.056346143150270735	0	0	0.05802401994622144	0.522216179515993	FALSE	ns
LIRI	SBS.SBS1	16	0	0	0	1	1	FALSE	ns
LIRI	SBS.SBS12	16	0.2430148597630363	0.22089652537426097	-2.8040532327132384e-4	0.5520768865168131	1	FALSE	ns
LIRI	SBS.SBS15	16	0	0	0	1	1	FALSE	ns
LIRI	SBS.SBS40a	16	0.13936978419334362	0.13957199192414754	0.0023362141110730636	0.8506184036252973	1	FALSE	ns
LIRI	SBS.SBS46	16	0	0.03167714428967933	0	0.9056954420343094	1	FALSE	ns
LIRI	SBS.SBS5	16	0.2500100334712112	0.25256139036636505	0.007847285172703528	0.26625058679445684	1	FALSE	ns
LIRI	SBS.SBS8	16	0.15680917291573562	0.1572300062735006	3.5066586916055603e-4	0.776105215665758	1	FALSE	ns
LIRI	SBS.SBS92	16	0.09712927930843138	0.076687672213328	-0.005567666626132138	0.8424296456125092	1	FALSE	ns
