Mutation Types	01658141-8398-4585-9f0f-8355dd9b0604	7cdbe0e8-f614-4f54-b864-fd6b39e8ef1c	98bb3025-0637-4106-8621-12df7b5d662f	db45d81f-695c-4f99-beea-6dbec1ff47fc	ddc7377d-82c3-480a-be3c-3d1da52c77d4	f221cbb5-eefa-187f-e040-11ac0c481708	f393ba16-9361-5df4-e040-11ac0d4844e8	f393baf9-2710-9203-e040-11ac0d484504	f393bafd-1baa-e5f4-e040-11ac0d48450b	f393bafe-7503-5c45-e040-11ac0d484511	f393bb00-888d-710f-e040-11ac0d484518	f393bb01-6ed7-9533-e040-11ac0d484521	f393bb05-53c2-f80a-e040-11ac0d484528	f393bb05-ec1c-17be-e040-11ac0d48452f	f393bb07-270c-2c93-e040-11ac0d484533	f393bb08-4121-cad8-e040-11ac0d484535	f393bb0a-df7d-645c-e040-11ac0d484550	f393bb0b-08ed-3335-e040-11ac0d484554	f7b847e5-0f5d-69b4-e040-11ac0c4845fe	f7b84b5d-8f28-e6b7-e040-11ac0c484704	f7b84c09-15d4-3046-e040-11ac0c4847ff	f7c6486a-bb08-f77a-e040-11ac0c482953	f7c6a336-3126-7580-e040-11ac0c485971	f7d70fac-c76f-399e-e040-11ac0c482f9c	f7d77a03-28a0-f446-e040-11ac0c4866fb	f7d7b3db-02af-61cb-e040-11ac0c480c03	f7e4a2a8-093d-9e36-e040-11ac0d480c7d	f7e7b258-b4b2-e6c5-e040-11ac0d486773	f7ed28a6-8f5f-e87b-e040-11ac0c48120e	f7f66114-e321-1d4c-e040-11ac0d48541a	f809247c-2bab-ab06-e040-11ac0d482b8a	fc447d4f-2532-c8ea-e040-11ac0c48469f	fc447d53-24d1-c83d-e040-11ac0c4846a6	fc447d55-95d8-0b34-e040-11ac0d483afa	fc5dc6d8-62d2-76d8-e040-11ac0d4863c3	fc639186-8302-798e-e040-11ac0c484cec	fc63cbab-d27a-5ebb-e040-11ac0c48724f	fc68e599-6a40-61dc-e040-11ac0d48700d	fc7eb420-5c13-20bd-e040-11ac0d484574	fc7f8eeb-9c40-123e-e040-11ac0c484061	fc8130df-1bc2-c537-e040-11ac0d485de6	fc8130df-1cdd-cade-e040-11ac0d485dec	fc8130df-1e8f-c879-e040-11ac0d485df4	fc8130df-2211-cfcc-e040-11ac0d485dde	fc8130df-24d9-32f1-e040-11ac0d485df0	fc8130df-2628-304a-e040-11ac0d485dfa	fc8130df-297f-34a3-e040-11ac0d485e02	fc8130df-2ca4-39d2-e040-11ac0d485e00	fc8130df-2d5f-3b53-e040-11ac0d485dee	fc8130df-2e39-3814-e040-11ac0d485de0	fc8130df-3147-3e94-e040-11ac0d485df8	fc8130df-3361-3c8a-e040-11ac0d485dea	fc8130df-34f8-22c6-e040-11ac0d485de8	fc8130df-35ac-2304-e040-11ac0d485dda	fc8130df-6860-7677-e040-11ac0d485ddc	fc8130df-6977-7704-e040-11ac0d485de4	fc8130df-6bec-7627-e040-11ac0d485e04	fc8130df-897d-5404-e040-11ac0d485e0a	fc8130df-8ec8-5b1e-e040-11ac0d485e06	fc8130df-90ba-5d94-e040-11ac0d485e0c	fc8130df-e399-e34d-e040-11ac0c483279	fc8130e0-08dd-b996-e040-11ac0c48327b	fc8130e0-0b9c-bbc9-e040-11ac0c483266	fc8130e0-0bfa-bba4-e040-11ac0c48328d	fc8130e0-0c53-b432-e040-11ac0c483283	fc8130e0-0dcf-b558-e040-11ac0c483285	fc8130e0-a39a-23b5-e040-11ac0c483270	fc8130e0-a538-dda3-e040-11ac0c483264	fc8130e0-a539-dda8-e040-11ac0c48326a	fc8130e0-a774-d834-e040-11ac0c483268	fc8130e0-a94d-d9d0-e040-11ac0c483262	fc8130e0-ad63-b804-e040-11ac0d485e10	fc8130e0-ad66-b82e-e040-11ac0d485e0e	fc8130e0-ad8a-b832-e040-11ac0d485e14	fc8130e0-aed2-bb2f-e040-11ac0d485e12	fc8130e2-f2ef-d096-e040-11ac0c483293	fc8130e3-01ba-c740-e040-11ac0c483291	fc8130e3-023d-c7d4-e040-11ac0c483295	fc8130e5-18b8-ef38-e040-11ac0c483297	fc81312a-99ae-7672-e040-11ac0c4832a2	fc93b9ab-760a-5223-e040-11ac0c482177	fc9dbf68-4599-3c64-e040-11ac0d481623	fc9f6cb0-ceb9-790d-e040-11ac0c480ad1	fca07e09-1fd2-9ef5-e040-11ac0d485bbd	fca3f7d0-2231-661c-e040-11ac0c4832fd	fca6150f-d555-a29e-e040-11ac0d4873b2
0:homdel:0-100kb	1	0	0	0	0	0	1	1	0	0	2	1	0	0	3	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	3	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	5	0	0	0	0	0	0	0	2	1	0	0	6	0	0	0	0	2	0	1	0	2	0	0	11	1	1
0:homdel:100kb-1Mb	0	1	0	3	0	0	0	0	0	0	1	0	0	3	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	2	0	0	0	0	0	0	2	3	1	0	0	0	0	0	1	0	0	0	3	1	0	2	0	0
0:homdel:>1Mb	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1:LOH:0-100kb	4	1	1	2	3	6	0	5	16	6	5	5	0	6	6	0	3	5	0	4	0	0	4	1	0	0	10	4	0	2	0	7	1	1	0	4	12	4	5	10	1	0	0	27	0	7	1	0	4	1	2	1	7	23	0	0	6	5	3	1	1	5	0	0	0	0	2	2	3	6	3	1	0	1	4	0	9	0	6	0	5	1	11	18	0	13
1:LOH:100kb-1Mb	2	4	0	3	15	0	1	8	4	1	6	2	0	2	4	1	2	0	0	3	0	0	2	5	0	0	4	9	0	2	1	4	7	0	0	2	2	1	4	9	0	0	12	3	0	1	1	0	15	4	1	8	8	4	0	0	1	8	2	1	4	6	5	0	0	1	2	6	8	7	6	4	0	1	3	0	1	0	2	1	3	4	2	10	0	6
1:LOH:1Mb-10Mb	2	9	2	2	9	4	2	20	6	0	1	11	0	1	2	0	5	2	2	5	0	0	3	15	0	0	12	4	0	7	1	10	2	0	0	6	2	1	18	4	5	0	19	9	0	0	1	0	20	6	3	9	3	15	0	4	11	8	0	1	6	16	4	0	0	0	0	3	10	12	5	3	0	10	4	0	1	2	1	2	2	10	4	9	1	4
1:LOH:10Mb-40Mb	2	1	2	0	3	8	0	23	10	0	4	17	0	1	2	0	9	3	3	0	0	0	1	2	0	0	10	4	0	3	1	19	0	0	0	8	4	1	32	2	4	0	5	10	2	2	1	1	9	2	2	2	5	12	0	4	13	4	4	0	7	8	3	0	0	0	2	1	2	9	4	2	1	2	6	0	1	1	0	0	0	11	4	12	0	1
1:LOH:>40Mb	0	0	3	0	5	3	0	3	4	0	1	8	0	0	1	0	10	0	1	1	1	1	0	0	1	1	6	0	0	2	2	15	0	0	0	9	1	0	9	1	7	1	4	2	2	1	3	0	5	4	3	3	1	1	0	2	6	2	1	0	2	2	5	1	1	1	2	0	1	5	2	1	0	0	5	1	0	0	0	0	0	11	0	6	1	0
2:LOH:0-100kb	5	1	0	9	1	6	0	25	0	6	11	5	0	7	16	1	0	10	0	5	0	0	1	4	0	0	2	3	0	0	0	4	5	2	1	1	5	2	20	9	0	0	0	2	0	0	1	0	1	1	0	0	1	10	2	0	12	3	7	14	0	1	0	0	0	1	0	2	6	1	2	0	0	0	1	0	12	2	1	0	4	6	8	5	0	3
2:LOH:100kb-1Mb	4	0	2	15	2	1	3	4	1	2	12	4	0	2	3	1	1	1	0	4	0	0	0	13	0	0	1	11	0	0	0	1	15	7	1	0	7	2	7	26	0	0	0	0	0	0	0	0	2	1	0	0	1	3	0	0	3	3	5	3	1	0	0	0	0	0	0	5	9	4	7	0	1	0	0	0	4	8	1	4	4	6	8	3	5	6
2:LOH:1Mb-10Mb	6	3	1	10	2	13	2	11	0	1	16	3	0	5	11	6	0	2	0	6	0	0	0	22	0	0	3	17	0	0	1	4	11	10	2	4	14	6	5	28	2	0	0	2	0	1	0	0	4	0	0	0	1	9	2	0	4	4	16	10	0	0	0	0	0	2	0	9	12	2	6	0	4	0	2	0	9	7	6	4	12	8	39	6	8	4
2:LOH:10Mb-40Mb	7	3	0	9	1	16	2	5	2	8	16	4	0	4	14	13	0	4	0	2	0	0	0	7	0	0	1	5	0	0	1	5	9	9	0	1	20	11	2	6	1	0	0	4	0	2	0	0	1	0	0	0	0	3	7	0	7	0	28	2	2	3	0	1	0	2	0	6	2	0	0	0	4	0	0	3	15	5	6	6	12	3	21	5	5	5
