Mutation Types	0e872e0d-4711-4364-a5d0-6beeb6fd3ff2	0ef92ff8-829f-425a-91d8-c594b6e22a2b	134c9a92-e91e-4347-a9c4-727279edebb1	15e7d981-8c27-4b2b-b4f8-626e22021895	1bb2bdb7-8a89-4e7d-903d-03a6f8018efb	1f967003-82d6-4932-a445-24fc25723594	27b56bf2-7a9d-4061-98d4-61fe2761578c	293a2f0a-4846-4c7c-b8b1-bb741c8d3275	2b41746a-95c0-4875-afb5-c6d3d3ad30d9	33992441-4f34-42f2-ba87-6ddd227f2250	35dc84c1-476c-4d48-ae23-622bf6e043ac	3b590d75-ccfb-4da8-a2e9-10fb07e02cea	3bb4c27b-4d0d-4d13-b910-41a9ebf95880	42629ae0-9410-4fac-8df1-2c276467deb5	4283773c-c04b-4f33-a398-f3566f6d293a	526b3796-2cbd-4eec-8273-064b41456279	532bec86-b8d3-41a1-ba17-913a7d378f66	5fd632ea-085e-4e9b-8dcc-ec94e492d3bf	60525b38-c34b-479b-86d3-013c7e567b8f	64623aaa-a274-4baa-8b71-958d9c8df733	69c3c88c-d51e-4e03-b96b-ec4f1a0faa2d	6a0d0c42-1884-4c6a-936a-678a822c0936	77c022d3-2f29-49d3-a1df-cc2e9407fd7f	7866dfb2-46b3-42b4-905b-12f80593d6bd	7a4f6014-f7a2-459b-bc43-df164e73cbba	7adcea71-1aed-450c-b0ff-b9d9820c6153	7d2da7ba-f57c-4083-9572-6fa98008083b	8e48aa43-6cd1-4aef-83ce-2451b1b86e8e	9258860c-a336-4075-996d-2ee0c18b281c	9749a9a5-cb7f-4038-a5f9-5e2d6b97c689	9ae33a63-6b1a-43bf-9205-463c867bcbc4	9bb9164e-ea1b-49ab-bbcc-f59cf8c32345	9c00828e-e9ae-4b9c-959e-34837ee2b230	9de495d1-55b2-4535-9b0a-a999df35977c	a08c196e-4f96-4b16-94b4-aa6a0153ac50	a37a825c-d74e-46cc-92ef-b65016857b4a	a92023de-5c97-4bf2-aa3c-0e768d7c5ece	abe290ed-67c8-42bb-84f7-0d32a5f8f3db	ad4aa4dc-bea4-4f4a-8b1b-8f361112f84f	b53dcb4d-f894-47b8-8a4e-17c7998d8120	b8f3137e-5e92-4a56-90d4-884a4ed2ef9c	c9f91ded-3b04-4cd1-8ea6-bbc635a8a4f0	cb381d49-4546-400c-af02-f877083caa0a	cb753e6f-5ea3-4b58-9db3-7a62d15c8b2e	d4cf11be-3bd7-403b-9722-91d8e8761e4d	d707940e-0f9d-4da3-9380-90a422e44efd	da910f22-126e-41dc-be6b-47c8f69ad106	de581588-be15-4bf4-95d1-aa5478b53ab6	ded8b673-53df-4038-a375-7cd0fd2a1b9f	e7a0889c-dd8c-4230-9c63-384f1f6ee577	eb1531b0-8af1-4b2b-9192-644cb47101fc	ec474dfa-527c-44f3-9224-bf1c858cabfc	f2e639cc-c30c-459f-8afc-7ace7d0209c5	f37de4fa-52f6-4fe4-a3fa-41803032c93f	f48c3c82-bebe-4b8e-909e-e1a51a7142ec	fab0be4b-c84a-45cd-a76f-44d9a8bf1846
0:homdel:0-100kb	2	2	2	3	2	0	0	1	0	0	5	0	4	2	2	0	1	1	1	1	0	1	5	1	1	1	3	4	2	2	2	0	3	0	0	2	3	0	6	3	0	4	0	0	0	1	0	1	8	1	4	0	0	2	0	0
0:homdel:100kb-1Mb	0	1	0	1	2	0	0	2	0	1	4	1	2	2	3	1	1	3	2	2	2	1	4	2	0	0	1	2	0	1	1	1	4	0	2	2	1	0	7	4	1	1	3	0	0	2	0	1	4	0	1	0	0	1	1	0
0:homdel:>1Mb	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0
1:LOH:0-100kb	0	2	2	19	3	1	2	2	8	6	19	12	8	10	2	7	8	7	3	11	3	3	10	2	6	2	7	10	4	9	3	1	30	2	25	0	15	1	14	17	3	26	3	6	1	4	6	4	15	0	12	1	4	8	10	9
1:LOH:100kb-1Mb	0	1	7	18	2	4	2	1	3	9	15	7	1	6	1	0	11	2	13	5	13	2	16	1	2	14	14	15	0	6	3	0	22	4	5	0	6	3	21	10	1	11	8	3	2	3	8	2	44	4	15	4	4	4	7	4
1:LOH:1Mb-10Mb	0	0	5	12	1	0	0	0	2	8	8	0	4	4	1	1	0	1	1	7	10	3	47	1	0	18	14	4	0	0	4	0	11	4	2	0	2	0	12	11	3	5	7	2	4	6	9	10	19	0	3	2	15	0	0	4
1:LOH:10Mb-40Mb	0	1	6	5	1	0	1	0	2	14	0	3	3	2	0	0	1	2	0	3	8	0	19	0	0	8	7	2	0	4	0	0	5	2	0	0	1	0	3	2	5	3	5	3	6	3	6	4	7	0	2	6	7	0	1	0
1:LOH:>40Mb	0	0	5	1	0	0	0	0	1	4	0	0	2	0	1	2	1	0	0	0	3	0	8	1	0	5	6	0	0	1	1	0	3	1	0	0	0	0	0	0	1	1	5	0	2	1	1	2	5	0	0	6	2	0	0	0
2:LOH:0-100kb	1	3	3	7	4	1	2	4	1	4	9	2	5	6	1	0	8	1	3	15	1	1	12	1	4	1	0	9	8	2	1	5	4	1	6	2	3	3	3	9	3	7	3	2	0	0	3	0	1	2	3	0	0	7	4	2
2:LOH:100kb-1Mb	0	5	0	14	11	1	0	5	4	5	2	5	1	5	2	0	6	2	15	7	1	0	25	1	16	1	1	10	5	0	1	3	2	3	2	0	5	1	2	5	0	11	0	3	1	3	3	4	3	0	3	1	1	15	4	3
2:LOH:1Mb-10Mb	0	4	1	13	6	10	0	7	5	4	14	9	2	4	3	0	6	5	26	10	2	1	14	0	8	2	2	16	2	0	1	6	4	3	5	1	2	1	5	2	1	25	5	6	1	8	6	4	0	0	11	1	5	5	7	1
2:LOH:10Mb-40Mb	1	9	2	6	3	7	0	7	4	5	12	3	3	9	7	0	8	13	18	7	0	2	7	2	1	0	1	10	6	0	11	7	8	3	10	0	0	4	2	3	3	22	3	2	0	7	4	4	2	2	9	0	2	7	5	1
