Mutation Types	0bbc7ede-5022-4084-925c-d65baaf7abc2	2045c788-9ea8-4ea5-a5e3-65fc16a62adb	25224aa0-cfdd-48ec-92e5-8f3992a3e574	2fe2433b-9a55-431f-a869-2b5a63e8e8fc	448af8b4-e071-48b0-a65b-b4ad17afdc0c	45e16b70-c3ec-493e-86d1-505ffdf5056c	4c3840df-9824-40db-879e-6d24adc8c155	649f2c20-5b50-40a8-a6fd-9a51f3d5b9df	6962bc97-fbb8-4220-a600-e3c251e245cb	71a2b4a2-88dd-4911-a67e-70b3309c4a12	7ac0b303-d685-4fa5-bfec-34d2ba1dbc8e	7dc5f8ba-0080-43d3-8426-bd527a970761	84e601b7-dfa5-4cd5-9fef-07f03967a0d4	89c48e53-c8a9-4518-b3b8-509cdcaff52b	96dc785c-8417-4813-8d15-c32b22d78b74	a762dd44-a8ac-4269-8163-bbf6d0f8d4b3	a96eddfc-3afb-4bf8-a440-c91778113fbd	b88f014e-bc0f-4775-8228-39e0b471c3b0	c48d7f4a-e98a-4077-a749-eb9f56f05b84	d18c6e64-9598-488a-8ab3-3652072f9277	e9cb8877-8e83-46c0-93f0-ea20530c9400	ee6cc68e-8d2a-41ee-82c6-0fecdf7e6259	fb0c6353-a90c-45e2-9355-7cd16cf756ff
0:homdel:0-100kb	1	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
0:homdel:100kb-1Mb	3	1	0	1	1	1	0	2	0	0	1	3	0	0	0	1	1	3	0	0	0	0	1
0:homdel:>1Mb	0	0	0	0	0	0	0	0	1	1	1	0	0	0	1	0	0	1	0	0	0	0	1
1:LOH:0-100kb	2	7	2	7	3	18	0	8	2	9	6	1	1	0	2	0	1	4	6	1	1	9	3
1:LOH:100kb-1Mb	5	4	1	3	1	3	0	4	0	5	2	2	1	0	1	1	2	0	6	4	5	2	4
1:LOH:1Mb-10Mb	1	4	1	8	8	4	0	2	1	1	5	3	0	1	0	1	1	4	5	6	0	0	7
1:LOH:10Mb-40Mb	0	0	0	4	6	2	0	3	1	0	2	1	1	0	0	1	0	0	7	5	1	2	3
1:LOH:>40Mb	0	0	0	7	6	0	0	0	0	0	1	0	0	0	0	0	1	0	0	5	0	0	0
2:LOH:0-100kb	4	7	1	0	1	24	1	6	3	4	8	5	1	1	3	1	1	2	11	1	0	0	10
2:LOH:100kb-1Mb	5	2	4	0	0	14	0	3	4	4	3	5	1	1	1	4	1	3	14	3	1	3	7
2:LOH:1Mb-10Mb	9	9	7	0	1	20	5	7	4	7	8	9	9	0	6	12	1	7	19	4	1	6	5
2:LOH:10Mb-40Mb	10	11	5	4	1	20	7	12	1	9	6	13	5	5	2	5	7	7	15	2	5	6	7
2:LOH:>40Mb	8	4	3	1	2	4	12	7	5	8	3	7	5	7	8	6	6	6	9	0	9	10	8
3-4:LOH:0-100kb	0	7	11	0	1	27	3	9	0	8	3	14	1	1	2	3	0	3	10	2	0	3	6
3-4:LOH:100kb-1Mb	4	7	26	2	1	22	3	3	3	1	4	13	6	2	7	3	0	12	13	0	1	4	8
3-4:LOH:1Mb-10Mb	5	4	13	1	0	19	4	7	5	5	8	9	2	4	8	4	1	9	9	2	1	6	9
3-4:LOH:10Mb-40Mb	6	7	1	0	0	7	3	6	0	7	4	6	7	5	11	3	1	0	3	1	0	1	0
3-4:LOH:>40Mb	2	1	2	0	0	3	0	4	0	1	1	0	1	4	2	0	0	0	0	0	2	1	1
5-8:LOH:0-100kb	0	5	26	0	0	5	0	6	1	2	0	7	0	2	3	1	0	5	2	0	2	7	2
5-8:LOH:100kb-1Mb	2	2	20	1	0	7	1	3	0	1	4	5	1	0	3	2	0	7	10	1	0	4	2
