Mutation Types	19b6b9d6-6912-4b85-a4bf-52014bcb170b	35b951c0-edb0-47c4-9076-ede346ea7cb1	37c913e6-9ce5-4338-8849-b5bf7862d36a	3e1180a5-149c-4e6c-9a29-696e3ba567e3	3f3aff50-d71b-44af-85d4-f81e813ea420	49fa7e44-c86f-4b1f-8849-e5fe5b9de734	55c75a2a-f3d2-4469-9d23-604cf539d548	571ce258-b453-4cac-b05e-05755791be84	5a5a8409-a8f2-4c7b-85e5-b8bd85f2930c	5cbd429f-ffab-41ad-8016-422f1c922e99	5fa88c3a-dbc1-43f2-82b2-e0592f35ce57	70990332-7702-45e2-84cb-8bbff773f160	868c95ad-45df-4f8e-9553-b7c2c5679deb	90ab64be-2229-4a8e-b864-4260b6cb39e9	93be2990-bceb-45fd-aca5-3358d96e9d5a	96e62134-b8cc-4931-9c99-1193448c7c93	ac1bd179-8285-468c-ab9f-7f91151ca0f2	b68f18e1-0117-420c-9405-e8d3a1e8caff	bf24366f-fd91-4d84-8b3d-eed80064250d	c955387a-16e5-447c-8e69-e4c04a9861d5	cb89cea8-f78e-4024-97c2-8f24debee1bc	cc39b534-5ba1-4ea0-956b-676f6732beec	d609ce92-9edd-4286-bd5f-b93304cae9a2	e76128b3-8629-4ffd-b02a-e3f0aae8b1a9	f15989a1-e820-4879-a535-438277acad49	f663ff15-c8d3-4bff-8bf9-bf8e983579e0
0:homdel:0-100kb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0:homdel:100kb-1Mb	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
0:homdel:>1Mb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1:LOH:0-100kb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
1:LOH:100kb-1Mb	2	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	1	0	0	0	0	0	0	0
1:LOH:1Mb-10Mb	0	1	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0
1:LOH:10Mb-40Mb	1	0	0	0	0	1	0	1	0	0	0	1	0	0	1	1	2	2	0	0	0	0	0	1	0	1
1:LOH:>40Mb	0	1	2	0	0	0	0	1	0	0	1	0	0	0	1	1	1	0	1	0	0	1	0	0	1	0
2:LOH:0-100kb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2:LOH:100kb-1Mb	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2:LOH:1Mb-10Mb	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
2:LOH:10Mb-40Mb	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
2:LOH:>40Mb	0	1	0	1	1	1	0	1	1	0	1	0	1	1	1	0	1	0	1	1	1	0	0	0	0	0
3-4:LOH:0-100kb	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
3-4:LOH:100kb-1Mb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3-4:LOH:1Mb-10Mb	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
3-4:LOH:10Mb-40Mb	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
3-4:LOH:>40Mb	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
5-8:LOH:0-100kb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5-8:LOH:100kb-1Mb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5-8:LOH:1Mb-10Mb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5-8:LOH:10Mb-40Mb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5-8:LOH:>40Mb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9+:LOH:0-100kb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9+:LOH:100kb-1Mb	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
9+:LOH:1Mb-10Mb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
9+:LOH:10Mb-40Mb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9+:LOH:>40Mb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2:het:0-100kb	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2:het:100kb-1Mb	1	0	0	0	0	1	0	0	0	0	1	0	0	1	1	0	2	1	0	0	0	0	0	0	0	1
2:het:1Mb-10Mb	2	0	0	0	0	0	0	1	0	0	1	2	0	7	2	1	1	0	0	1	1	0	0	1	0	0
2:het:10Mb-40Mb	1	5	2	1	0	3	0	3	0	0	3	1	0	6	6	3	2	4	5	3	2	1	0	2	2	2
2:het:>40Mb	11	20	19	22	0	23	0	6	2	0	16	19	0	17	17	23	19	22	20	19	22	12	0	21	10	20
3-4:het:0-100kb	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
3-4:het:100kb-1Mb	4	0	0	0	2	12	0	0	1	3	0	0	1	2	1	0	0	2	0	0	1	3	0	0	0	0
