Mutation Types	04aa6b77-8074-480c-872e-a1a47afa5314	04c09376-8756-41d9-bbca-f464170a8cfb	08b5d0e4-4661-460e-a9f7-f2e687414711	0ab4d782-9a50-48b9-96e4-6ce42b2ea034	0dd0718d-5ddf-4c59-8c47-0f51303daeb5	10bb1a92-901e-4a14-80f4-5e88f997754b	13c62975-9f5e-4d40-a461-dceab08a31ec	142b6dbf-c943-4a7d-8ab6-13a975f48d7a	14630c19-9ee0-4ab3-9d8b-8c3309d1e7d0	16d5519e-ecb9-4fc8-81f1-e0e4adf722a8	1ac15380-04a2-42dd-8ade-28556a570e80	1cd0acf2-3116-4dfa-a063-0a435b9f6da3	1d4a091d-fe65-49c0-8810-5a95243b108a	1daefc49-5248-4948-87ce-0ec19a248ef9	20e02396-e676-412d-9724-44a428919cdb	22d67778-61fc-4f15-95b8-7e7c6cc7112b	22edd867-dcd6-42b5-92bb-025ceb84b106	25103371-28ac-4f43-b0e2-2d376d0dcb84	25e20393-752b-4796-9001-0e22ee04c586	2790b964-63e3-49aa-bf8c-9a00d3448c25	28839c75-90a8-493f-b658-8c63e0ebd324	2e76891c-b620-4cc0-9315-6f1217b09b1e	30600994-c1ec-44c9-a620-3f6c617eb928	351db483-a70e-496d-b70a-7449875121ee	35a74e53-16ff-4764-8397-6a9b02dfe733	3869ff3f-21b9-4817-8ff4-83c6fc75ab11	39c476fd-273b-4136-874c-53352f1be008	41a7b031-d928-4a1f-891b-82fb3f6d548f	4e8396f7-9506-4401-96b6-bb2e89557d59	51893d3f-e7f3-43f9-9fd0-c0f25ae96804	524bbd14-1e1f-479b-9a71-d27fce32d8bc	54a77010-2f16-4da9-8ca0-746a51801a00	561fd34c-7c7d-4df0-bbfc-3d31147ca562	56ddcb96-e90b-4fce-aa4c-c677bbfee488	58d3e932-b4a3-4cac-a6ac-73160e354a15	6507e084-c038-4ba6-a431-fb9a53190d5f	681e2301-2057-40e4-ab63-934775d63faa	6c884037-49f9-41c3-b0e5-9cbcd545aeb7	7117854b-6f0a-4a43-b66c-506a3e29377d	74e5905f-6350-498a-9454-9ea0593d2f56	75ba6722-1148-4a52-a9ed-68d890238205	7e22401d-f4cd-44c5-8a01-b08a439e5a31	7edc42d3-d08e-4360-a3e1-aeb57cfc6640	7f031d71-3cb7-4744-86bd-a3beecfe166e	88f2c496-3eb4-4c03-b3a5-8d5a55803aaf	897ba508-d74b-46bf-8554-1210a66a36d1	8ca665f8-fe78-48bf-8c0f-c606d92885d4	8ea666b7-2b6e-4df8-9a9d-b8265b9749b4	9e0009d1-c993-4247-9706-88ee84591dec	9fc5b5c7-3973-42b4-8710-454de0cb5b50	a6e24c2a-26b9-409c-bbcd-a8fcdd1e437c	a84915de-6562-4836-86f9-f2a05598296e	b07bad52-d44c-4b27-900a-960985bfadec	b35d9a68-29f4-49ab-b83e-b5151679e3af	b3befa40-8f44-4eb6-ada0-ec395f460656	b42d183c-bc9c-4652-9e56-10c54c5ee96e	bcefbf6a-80ff-4825-9d3a-492e2dceb35d	bcf76f1a-7109-422d-94c9-5e8364895fa0	c21a5d55-9790-429f-a4e6-420293c07b53	c95a2b1b-726c-4608-9fff-d57b6f1aa75a	ca004926-f3ac-4824-8ed5-d84e62efdfae	ca8fa9f5-3190-440d-9879-22e33d05ca6c	d2620dab-4319-499a-b8f1-9575aaf8f4f3	deb9fbb6-656b-41ce-8299-554efc2379bd	e04bcdff-3206-4c25-bae9-09f0222b074a	e2b2357c-da6f-4ca3-9c07-a22f0423e8fe	ead1bc2e-42c3-46d9-8f6f-8cb16ba9d2c3	eb9a8f12-6451-43cc-95b3-2e86cf704c96	eeddf701-93f9-4f10-85cb-9dce1760bae8	f07b9192-c86f-4ee4-a3b5-feb9c5098bf4	f24688a9-7952-49d8-ba80-2bbad472379c	f81693ba-09ee-4201-a389-0ceeda8a4636	fa4d35e3-fc38-4e26-a9e0-521a648acec1	fc009c3d-66fc-4b9c-ae43-014607e3723a	fc249113-83d4-4abe-8c80-a4f7305dcd91
0:homdel:0-100kb	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	2	1	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	1	3	0	0	0	1	0	0	0	0	0	0
0:homdel:100kb-1Mb	0	0	0	0	0	0	0	0	1	0	2	0	0	0	8	0	0	1	0	1	2	0	1	0	0	0	0	0	0	0	3	2	0	0	2	1	0	0	1	0	0	2	0	0	0	2	3	0	1	0	1	2	0	1	4	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	1	0	0	1
0:homdel:>1Mb	0	1	1	0	0	0	0	0	0	1	0	2	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0
1:LOH:0-100kb	2	3	0	3	0	2	3	0	4	3	10	3	0	1	2	2	6	0	1	1	6	4	2	5	8	2	1	2	0	9	7	4	0	4	4	3	1	2	11	10	0	3	4	2	3	3	2	0	0	0	4	0	1	13	0	0	1	1	2	3	10	1	3	7	8	12	0	1	2	2	1	3	6	1	2
1:LOH:100kb-1Mb	3	4	0	6	0	0	6	7	3	2	44	5	0	2	2	3	4	0	1	4	9	4	2	12	18	2	0	9	3	2	8	1	1	1	5	1	1	0	10	2	1	3	10	0	9	1	0	4	2	0	3	0	1	20	2	0	0	7	1	2	9	2	5	18	3	6	1	0	1	3	1	2	1	1	0
1:LOH:1Mb-10Mb	0	5	0	2	0	2	1	3	1	4	28	3	1	2	2	1	0	0	2	0	4	2	1	9	19	0	0	5	0	2	3	0	1	1	1	2	2	1	9	0	3	1	9	0	5	1	0	6	6	0	6	0	0	35	2	0	0	7	0	7	12	1	1	10	8	12	1	0	2	0	1	4	1	2	2
1:LOH:10Mb-40Mb	0	0	0	3	0	2	5	6	0	1	8	0	0	1	1	1	0	0	1	4	8	0	2	5	9	1	1	1	1	0	0	1	2	0	1	4	0	0	7	0	0	0	4	0	3	3	0	1	2	0	3	0	1	7	0	0	0	0	0	2	6	2	2	4	0	5	0	0	3	0	1	5	3	3	1
1:LOH:>40Mb	0	0	0	2	0	2	2	3	0	4	4	0	0	0	0	0	0	0	2	4	5	0	3	4	4	0	3	0	0	0	0	1	6	0	0	1	3	0	1	0	0	0	0	0	2	0	0	0	1	0	5	0	2	0	0	0	0	0	0	6	0	9	7	2	2	2	0	0	8	0	1	5	2	3	0
2:LOH:0-100kb	2	7	1	0	1	1	0	0	3	0	1	10	2	0	6	0	18	3	1	0	1	2	0	0	1	0	0	3	8	5	11	10	0	20	0	0	0	6	2	11	2	1	5	3	0	2	3	4	1	1	0	3	1	26	5	1	16	12	1	0	26	0	3	3	8	1	5	3	0	5	0	0	0	0	14
2:LOH:100kb-1Mb	2	8	8	1	1	1	0	0	1	0	7	10	1	3	18	0	10	3	0	0	4	3	2	1	0	0	0	6	7	1	5	8	0	29	5	0	0	4	0	5	5	2	3	2	2	0	3	1	5	4	0	2	0	31	8	0	3	26	1	1	27	0	0	3	6	0	6	3	1	3	0	2	0	0	25
2:LOH:1Mb-10Mb	2	8	10	0	0	2	0	2	3	2	2	14	1	2	14	0	3	9	2	0	2	4	0	0	0	1	0	12	4	2	11	5	1	9	8	0	0	3	1	7	4	2	5	2	0	3	1	4	1	1	2	3	0	31	4	1	4	42	1	0	43	0	0	6	14	1	11	10	0	5	0	1	0	0	24
2:LOH:10Mb-40Mb	2	4	4	1	2	0	0	2	3	6	6	5	5	4	19	0	2	4	0	2	2	6	1	0	0	0	0	11	6	2	6	17	1	3	4	0	0	3	0	2	12	6	4	3	1	4	14	3	7	4	0	0	0	17	3	0	1	1	3	0	15	0	0	1	13	0	4	5	0	3	1	0	0	0	8
