Mutation Types	0009b464-b376-4fbc-8a56-da538269a02f	01df36af-3617-40fc-9892-f54ce433cf71	09508a0d-ebe0-4fa1-b7b2-1710814181cd	0d0793c1-df1b-4db1-ba36-adcb960cc0f5	0ead45d8-d785-4404-8319-2ef951e02e03	123c9d1c-72ba-4d82-8e57-d5caa52a40ba	12874085-a596-41ae-b4cd-817cb1ebb278	1659bae5-3140-4d05-891c-81b48277b2fc	25f73b03-4ba8-47ba-ad80-6ccb82105c98	2a8d63eb-0174-4213-9214-413f391f512c	2b40a733-7a63-4bb8-a953-95a4ee28f962	2b4feb84-89e4-4c38-8561-5ffab02c8132	37522f18-77b2-4414-8df8-3c2c8048adba	3a6bce45-0431-49d8-82df-b1d9a738e5a6	3c2b1509-1eb9-4b79-9569-57810f291499	42465bbd-289b-4e96-98fe-76809c5e1520	4679f37a-4f09-449b-a1d8-1f02847996da	4e913899-eeb8-4630-ba9d-41a81ced8069	504cdfc5-6721-43ef-b31e-fdf52f0cd9cd	51b25b37-f75c-4380-a0f6-5273e0b7ee33	53bcbb68-addd-47fc-9910-cd1d3f38197d	5b560f4c-d2a3-43fa-b394-abef78bdefc1	5d922e48-aa70-454d-9417-c9af686feebc	669f0e01-28f6-4ed8-bdb5-73f84ea28f78	6821446e-8e76-46fe-b0b9-47feb46d2585	6c31d730-1734-44ac-92b3-760981528723	6ce42746-88aa-485f-a1c4-1759aad95914	6f981023-4269-4e8e-a4ab-2c92bb27273c	745b8756-0eab-423f-8cde-e0ff1aaa6596	7fdd07a4-4a27-40c3-af92-a0074e6391f5	86f23897-dba0-4e89-8381-d174eaa6fcc1	8888e808-594b-4c76-b2e4-62aa56736f7c	89dad92e-5b3f-479a-a6da-a94ee7df7f8a	8b28f6d2-4b7d-493b-826e-b119a4fb0cb4	941fcb56-e059-403d-aab1-0692a3ecc45e	9aecfc8f-62ea-4acf-aa00-d1f0fe6c6556	9e6806c4-d331-4025-abee-2f576e3bf182	a3135834-3af0-4e98-bc6f-ad8ddf33db80	a330a96e-9897-4605-b5f1-5b5ef45cd365	acd510de-b732-4a1a-8b72-6d22e763540b	ae82fead-2671-4335-a342-67bb69935ad9	b75b2663-dcc6-411c-bfcc-574aa33cf388	b97941dd-9844-4db2-9e25-42c725f47d70	bbb2cf2f-8f32-43d4-846c-d1020e6329ec	bbe59385-5f83-43f6-a485-517c860bef6f	bc9b66f5-fcb8-4545-ab2d-438bb810edc0	c2ec7f57-8510-4bbf-a2e9-dbd9ce8dcad1	c767254e-b289-4904-a80f-050cf01ff8ba	cd9efdef-a7fb-49e5-9515-63606ae8bbfc	cf6c7066-6611-43ec-aef1-295a976cce5b	d2e4dc23-992d-4e44-add4-2972718083cb	d4bf6034-aeae-48a6-907b-10e2cc904015	d8c2b4b2-e12b-43d2-bafc-87b29f027797	d9e66fc5-9018-4568-b388-c5eb756f7823	da43386c-47f8-4e03-b6ca-8b94e13792e7	dbbd54db-4470-4df6-b5be-3e175c7133b0	dce54d09-9827-4fe2-abe1-c5b7d528ba7f	e45f3391-2e74-4767-817a-280cebac7c57	e4aaca83-3ae9-47f6-a975-c144767ad705	e6f7344b-951f-4f3f-b140-7bf53164c462	e84debc4-b47d-48ed-a0d0-2859f0ebf987	efbec43c-0c16-4006-abe8-c3ec2ec42c05	efec3225-de07-4559-9a90-95223495cc61	f1504811-8363-41e6-b43c-62452b1262d3	f6189828-eeaa-4d21-b163-53bf3d47a640	f6c811ff-f22e-490b-9b23-b527d20e6e6d	f988e698-9b34-45ce-ba4c-74e06e9cae4a
0:homdel:0-100kb	0	1	1	2	1	0	0	1	0	0	0	0	0	0	1	0	0	2	0	1	0	0	0	1	0	0	0	1	1	0	0	0	0	7	1	0	1	0	0	0	1	1	0	0	0	0	2	3	1	0	0	0	2	0	2	2	0	0	0	0	0	3	1	1	0	1	0
0:homdel:100kb-1Mb	0	0	0	1	3	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	1	0	4	2	0	1	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	2	0
0:homdel:>1Mb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1:LOH:0-100kb	1	2	0	3	11	2	0	3	0	1	8	9	0	2	0	1	10	0	2	9	2	2	5	30	3	4	3	5	2	2	3	4	2	13	3	0	6	7	7	4	5	9	0	2	0	12	15	22	3	12	1	1	6	3	3	14	7	0	1	1	12	20	6	2	0	5	7
1:LOH:100kb-1Mb	1	3	1	3	4	1	2	4	0	6	3	2	2	3	3	1	1	5	1	2	3	6	4	8	8	3	0	8	2	1	2	3	2	17	2	1	1	1	3	3	3	1	4	1	1	5	1	9	0	1	1	1	8	5	4	2	9	3	2	1	2	3	3	2	0	6	6
1:LOH:1Mb-10Mb	3	3	0	2	0	1	0	3	1	13	10	8	2	1	2	0	7	3	1	5	0	5	6	14	5	2	1	20	4	1	2	1	20	14	0	7	0	3	0	1	3	5	2	0	0	14	11	11	1	2	3	1	15	9	4	5	11	9	0	2	7	2	10	2	11	6	9
1:LOH:10Mb-40Mb	2	2	0	6	1	0	3	1	0	1	11	16	1	0	5	0	21	0	2	12	0	5	4	13	1	0	0	16	3	1	3	3	21	3	0	1	0	1	2	0	2	8	4	0	0	22	9	10	3	6	0	1	8	17	3	13	20	1	1	2	12	11	21	1	17	12	14
1:LOH:>40Mb	0	0	0	0	0	0	1	1	0	1	4	5	0	0	7	0	8	0	1	7	1	12	9	5	2	2	0	9	7	3	0	0	1	1	0	6	0	0	1	1	1	5	3	0	0	7	8	1	1	0	0	0	0	8	0	4	4	0	0	0	2	4	10	2	2	3	4
2:LOH:0-100kb	1	2	3	4	11	0	1	7	1	5	4	9	5	6	1	6	10	1	1	4	5	1	2	6	3	2	1	11	0	1	4	7	2	7	2	0	22	2	2	4	3	0	0	2	1	6	2	13	1	8	5	4	14	1	10	3	9	2	4	3	3	1	10	1	3	3	3
2:LOH:100kb-1Mb	4	7	14	4	5	2	3	13	1	9	2	2	7	1	1	2	1	4	2	4	5	3	3	3	3	0	1	3	0	5	3	3	16	19	9	1	3	5	2	0	3	0	2	0	2	8	1	16	1	1	4	3	11	4	4	0	3	7	1	0	0	0	1	1	1	1	1
2:LOH:1Mb-10Mb	9	4	38	11	24	5	8	13	0	22	8	2	8	4	1	6	5	3	3	3	2	2	3	0	10	1	5	5	1	3	9	17	31	30	9	0	11	10	1	7	7	0	2	5	5	8	2	59	3	5	11	4	42	4	25	0	5	11	3	6	1	2	7	15	2	3	8
2:LOH:10Mb-40Mb	9	2	5	20	21	9	4	12	0	15	1	2	2	7	5	25	9	16	4	6	3	1	2	1	12	5	2	3	0	3	5	14	3	22	9	0	11	13	9	1	4	3	1	1	2	7	5	26	1	4	17	5	21	4	16	5	3	15	0	2	2	1	6	9	0	1	8
