Mutation Types	0c39c03a-ec84-42c6-be69-8e98bc7a9f5a	638e80c7-9a6e-4a32-a621-fc4168e72343	7364a112-61b9-41c6-b85f-18c97c54cefd	950486ad-14f8-480a-b079-9cc3cd842090	accfc45b-eae0-4991-a488-e217cdb46655	af96db5a-684f-41d1-a910-5a5193393d9c	b0a83df8-dd2c-4c1b-b238-9081d2c22258	bcf858fd-cc3b-4fde-ab10-eb96216f4366	f7187888-f261-4a39-99b4-966fd7207117
0:homdel:0-100kb	0	0	0	0	0	0	0	0	0
0:homdel:100kb-1Mb	1	0	0	0	0	0	0	0	0
0:homdel:>1Mb	0	0	0	0	0	0	0	0	0
1:LOH:0-100kb	0	0	0	0	0	0	0	0	0
1:LOH:100kb-1Mb	1	0	0	0	0	3	0	0	0
1:LOH:1Mb-10Mb	1	0	1	0	1	0	1	0	1
1:LOH:10Mb-40Mb	0	0	0	0	0	0	0	0	1
1:LOH:>40Mb	0	0	1	0	1	0	0	0	2
2:LOH:0-100kb	1	0	0	0	0	0	0	0	0
2:LOH:100kb-1Mb	1	0	0	0	0	2	0	0	0
2:LOH:1Mb-10Mb	12	0	0	0	0	3	0	0	0
2:LOH:10Mb-40Mb	10	0	0	0	1	6	0	0	0
2:LOH:>40Mb	7	1	0	1	0	16	1	1	0
3-4:LOH:0-100kb	2	0	0	0	0	1	0	0	0
3-4:LOH:100kb-1Mb	12	0	0	0	0	4	0	0	0
3-4:LOH:1Mb-10Mb	8	0	0	0	0	7	0	0	0
3-4:LOH:10Mb-40Mb	6	0	0	0	0	0	0	0	0
3-4:LOH:>40Mb	1	0	0	0	0	0	0	0	0
5-8:LOH:0-100kb	1	0	0	0	0	0	0	0	0
5-8:LOH:100kb-1Mb	5	0	0	0	0	0	0	0	0
5-8:LOH:1Mb-10Mb	0	0	0	0	0	0	0	0	0
5-8:LOH:10Mb-40Mb	0	0	0	0	0	0	0	0	0
5-8:LOH:>40Mb	0	0	0	0	0	0	0	0	0
9+:LOH:0-100kb	0	0	0	0	0	0	0	0	0
9+:LOH:100kb-1Mb	0	0	0	0	0	0	0	0	0
9+:LOH:1Mb-10Mb	0	0	0	0	0	0	0	0	0
9+:LOH:10Mb-40Mb	0	0	0	0	0	0	0	0	0
9+:LOH:>40Mb	0	0	0	0	0	0	0	0	0
2:het:0-100kb	1	0	0	0	0	0	0	0	0
2:het:100kb-1Mb	0	0	0	0	0	0	0	0	0
2:het:1Mb-10Mb	3	0	0	0	2	0	0	0	0
2:het:10Mb-40Mb	0	2	2	3	9	0	3	2	5
2:het:>40Mb	1	25	22	20	23	0	21	22	19
3-4:het:0-100kb	4	0	0	0	4	1	0	0	0
3-4:het:100kb-1Mb	10	0	0	0	5	1	0	1	0
3-4:het:1Mb-10Mb	26	0	0	0	2	4	0	0	1
3-4:het:10Mb-40Mb	24	0	0	0	1	4	0	0	0
3-4:het:>40Mb	6	1	1	1	1	12	0	1	1
5-8:het:0-100kb	22	0	0	0	0	0	0	0	0
5-8:het:100kb-1Mb	49	0	0	0	0	3	0	0	0
5-8:het:1Mb-10Mb	33	0	0	0	0	1	0	0	0
5-8:het:10Mb-40Mb	18	0	0	0	0	0	0	0	0
5-8:het:>40Mb	0	0	0	0	0	0	0	0	0
9+:het:0-100kb	5	0	0	0	0	0	0	0	0
9+:het:100kb-1Mb	13	0	0	0	0	0	0	0	0
9+:het:1Mb-10Mb	5	0	0	0	0	0	0	0	0
9+:het:10Mb-40Mb	0	0	0	0	0	0	0	0	0
9+:het:>40Mb	0	0	0	0	0	0	0	0	0
