ttype	signature	gained_in_all	lost_in_all	present_in_both	absent_in_both
BRCA	SBS.SBS1	0	1	15	5
BRCA	SBS.SBS13	0	0	6	15
BRCA	SBS.SBS16	0	2	5	14
BRCA	SBS.SBS18	0	9	0	12
BRCA	SBS.SBS2	0	0	3	18
BRCA	SBS.SBS29	4	0	3	14
BRCA	SBS.SBS3	1	1	10	9
BRCA	SBS.SBS30	0	2	1	18
BRCA	SBS.SBS32	0	1	1	19
BRCA	SBS.SBS35	0	0	2	19
BRCA	SBS.SBS39	0	1	8	12
BRCA	SBS.SBS40a	2	0	15	4
BRCA	SBS.SBS5	0	1	20	0
BRCA	SBS.SBS57	0	1	2	18
BRCA	SBS.SBS6	0	0	3	18
BRCA	SBS.SBS7a	0	0	2	19
BRCA	SBS.SBS8	0	0	12	9
BRCA	SBS.SBS86	0	0	1	20
