ttype	signature	n_samples	median_early	median_all	median_delta	p_value	p_adj	significant	direction
BRCA	SBS.SBS40a	21	0.1306556550934809	0.1840261709684698	0.033406270507505414	3.847075940359304e-4	0.006924736692646747	TRUE	late-acting
BRCA	SBS.SBS18	21	0	0	0	0.009151688852650072	0.08236519967385064	FALSE	ns
BRCA	SBS.SBS29	21	0	0	0	0.022494271222449663	0.13496562733469797	FALSE	ns
BRCA	SBS.SBS1	21	0.1392753926735317	0.12631916177061897	0	0.22430657119727154	0.6340171112559532	FALSE	ns
BRCA	SBS.SBS16	21	0	0	0	0.1507855650279713	0.6340171112559532	FALSE	ns
BRCA	SBS.SBS2	21	0	0	0	0.1814492077214203	0.6340171112559532	FALSE	ns
BRCA	SBS.SBS30	21	0	0	0	0.42267807417063546	0.6340171112559532	FALSE	ns
BRCA	SBS.SBS32	21	0	0	0	0.37109336952269756	0.6340171112559532	FALSE	ns
BRCA	SBS.SBS35	21	0	0	0	0.37109336952269756	0.6340171112559532	FALSE	ns
BRCA	SBS.SBS57	21	0	0	0	0.42267807417063546	0.6340171112559532	FALSE	ns
BRCA	SBS.SBS7a	21	0	0	0	0.37109336952269756	0.6340171112559532	FALSE	ns
BRCA	SBS.SBS8	21	0.08574634684320444	0.08840675889296472	0	0.32679956766896595	0.6340171112559532	FALSE	ns
BRCA	SBS.SBS3	21	0.06424856459791208	0.08987084213049956	0	0.6101201547975077	0.7816529318632951	FALSE	ns
BRCA	SBS.SBS39	21	0	0	0	0.6355861222787667	0.7816529318632951	FALSE	ns
BRCA	SBS.SBS5	21	0.26862610327055947	0.29362970825502277	-0.005783716458063692	0.6513774432194126	0.7816529318632951	FALSE	ns
BRCA	SBS.SBS13	21	0	0	0	0.833935414088552	0.938177340849621	FALSE	ns
BRCA	SBS.SBS6	21	0	0	0	1	1	FALSE	ns
BRCA	SBS.SBS86	21	0	0	0	1	1	FALSE	ns
