ttype	sample	cosine_distance
MELA	S_Classic1	0.005683947902615727
MELA	S_Classic10	0.02964537563457581
MELA	S_Classic15	0.010632573632504583
MELA	S_Classic17	0.01261302817498422
MELA	S_Classic19	0.004757350009425565
MELA	S_Classic4	0.007958159960745226
MELA	S_Classic5	0.10587791608911046
MELA	S_HM3	0.068212682756281
MELA	S_HM6	0.009328577747278688
MELA	S_WGD12	2.9133443357975963e-5
MELA	S_WGD13	0.03851262193866756
MELA	S_WGD14	0.030787348969062323
MELA	S_WGD16	0.01335492730171628
MELA	S_WGD2	0.010294078947799878
MELA	S_WGD20	0.022793139627933834
MELA	S_WGD23	0.15634312829329655
MELA	S_WGD30	0.0028463423837779
MELA	S_WGD31	2.9255363700864123e-4
MELA	S_WGD9	0.03303482008929015
