ttype	signature	gained_in_all	lost_in_all	present_in_both	absent_in_both
OV	SBS.SBS1	1	0	24	6
OV	SBS.SBS11	1	0	2	28
OV	SBS.SBS13	3	2	0	26
OV	SBS.SBS15	0	4	0	27
OV	SBS.SBS16	1	3	2	25
OV	SBS.SBS18	1	0	11	19
OV	SBS.SBS19	0	0	2	29
OV	SBS.SBS23	1	1	1	28
OV	SBS.SBS3	0	5	17	9
OV	SBS.SBS30	2	0	0	29
OV	SBS.SBS32	1	0	1	29
OV	SBS.SBS39	17	0	0	14
OV	SBS.SBS40a	4	2	14	11
OV	SBS.SBS45	0	1	0	30
OV	SBS.SBS5	4	1	20	6
OV	SBS.SBS50	1	3	7	20
OV	SBS.SBS6	4	2	6	19
OV	SBS.SBS7b	0	2	0	29
OV	SBS.SBS7c	1	0	2	28
OV	SBS.SBS8	3	0	19	9
OV	SBS.SBS88	0	0	3	28
OV	SBS.SBS92	3	1	7	20
OV	SBS.SBS94	6	0	2	23
OV	SBS.SBS97	0	1	2	28
