ttype	signature	n_samples	median_early	median_all	median_delta	p_value	p_adj	significant	direction
OV	SBS.SBS3	31	0.21489421665472583	0.09171256082368243	-0.07963802154400197	4.543994580080787e-4	0.005452793496096944	TRUE	early-acting
OV	SBS.SBS39	31	0	0.07312279796008714	0.07312279796008714	3.2104840068844444e-4	0.005452793496096944	TRUE	late-acting
OV	SBS.SBS8	31	0.11104546621695473	0.14360982464477512	0.006261436928378772	0.017788447670082055	0.12517549399659306	FALSE	ns
OV	SBS.SBS94	31	0	0	0	0.020862582332765507	0.12517549399659306	FALSE	ns
OV	SBS.SBS15	31	0	0	0	0.10034824646229079	0.48167158301899576	FALSE	ns
OV	SBS.SBS1	31	0.10801395870358776	0.10213933341907289	0	0.30656198305521637	0.7245909842925179	FALSE	ns
OV	SBS.SBS16	31	0	0	0	0.40167816646977295	0.7245909842925179	FALSE	ns
OV	SBS.SBS30	31	0	0	0	0.37109336952269756	0.7245909842925179	FALSE	ns
OV	SBS.SBS50	31	0	0	0	0.266402424640499	0.7245909842925179	FALSE	ns
OV	SBS.SBS6	31	0	0	0	0.3669855718549245	0.7245909842925179	FALSE	ns
OV	SBS.SBS7b	31	0	0	0	0.37109336952269756	0.7245909842925179	FALSE	ns
OV	SBS.SBS88	31	0	0	0	0.42267807417063546	0.7245909842925179	FALSE	ns
OV	SBS.SBS92	31	0	0	0	0.2300242450602736	0.7245909842925179	FALSE	ns
OV	SBS.SBS97	31	0	0	0	0.1814492077214203	0.7245909842925179	FALSE	ns
OV	SBS.SBS11	31	0	0	0	1	1	FALSE	ns
OV	SBS.SBS13	31	0	0	0	0.7874064906662693	1	FALSE	ns
OV	SBS.SBS18	31	0	0	0	0.9687124153929956	1	FALSE	ns
OV	SBS.SBS19	31	0	0	0	1	1	FALSE	ns
OV	SBS.SBS23	31	0	0	0	1	1	FALSE	ns
OV	SBS.SBS32	31	0	0	0	1	1	FALSE	ns
OV	SBS.SBS40a	31	0.1029991230823433	0.08575556945832626	0	0.9851072844923568	1	FALSE	ns
OV	SBS.SBS45	31	0	0	0	1	1	FALSE	ns
OV	SBS.SBS5	31	0.23202161259890783	0.1948264202558896	0	0.9142910652076613	1	FALSE	ns
OV	SBS.SBS7c	31	0	0	0	0.7892680261342813	1	FALSE	ns
