ttype	signature	gained_in_all	lost_in_all	present_in_both	absent_in_both
PACA	SBS.SBS1	0	0	29	3
PACA	SBS.SBS12	1	0	9	22
PACA	SBS.SBS13	0	1	3	28
PACA	SBS.SBS15	4	2	6	20
PACA	SBS.SBS16	0	1	1	30
PACA	SBS.SBS2	1	0	1	30
PACA	SBS.SBS29	1	0	3	28
PACA	SBS.SBS3	0	1	18	13
PACA	SBS.SBS30	1	2	1	28
PACA	SBS.SBS32	0	0	0	32
PACA	SBS.SBS40a	1	0	26	5
PACA	SBS.SBS5	4	0	23	5
PACA	SBS.SBS50	2	1	1	28
PACA	SBS.SBS6	0	1	1	30
PACA	SBS.SBS7a	0	2	0	30
PACA	SBS.SBS8	0	3	19	10
PACA	SBS.SBS92	1	3	5	23
PACA	SBS.SBS96	3	1	12	16
