ttype	sample	cosine_distance
PRAD	S_HM1	0.13600133515081914
PRAD	S_HM10	0.1400383388946792
PRAD	S_HM12	0.022543888532814416
PRAD	S_HM15	0.12979708565514503
PRAD	S_HM17	0.06622305098102477
PRAD	S_HM18	0.3259643816961737
PRAD	S_HM3	0.010156195933211376
PRAD	S_HM4	0.1591231582989061
PRAD	S_HM5	0.025086708497786048
PRAD	S_HM6	0.18186155071834997
PRAD	S_HM7	0.1647614869850056
PRAD	S_HM8	0.237081197095123
PRAD	S_HM9	0.4156968757693693
PRAD	S_WGD1	0.1948271289137351
PRAD	S_WGD11	0.20752996899790466
PRAD	S_WGD14	0.18985515067410397
PRAD	S_WGD15	0.15942399262816465
PRAD	S_WGD16	0.15395274016610516
PRAD	S_WGD18	0.3153710577732072
PRAD	S_WGD19	0.19867389305841066
PRAD	S_WGD2	0.18595459911889234
PRAD	S_WGD20	0.3206303045144846
PRAD	S_WGD21	0.261434810044576
PRAD	S_WGD9	0.14059510900091077
