ttype	signature	n_samples	median_early	median_all	median_delta	p_value	p_adj	significant	direction
PRAD	SBS.SBS40a	24	0	0.27315951026984553	0.27315951026984553	2.8888470075022014e-5	1.2999811533759907e-4	TRUE	late-acting
PRAD	SBS.SBS5	24	0.5837336326977285	0.3657639024655456	-0.19185698975936236	1.94224739173131e-5	1.2999811533759907e-4	TRUE	early-acting
PRAD	SBS.SBS1	24	0.1637780405974385	0.16376336249681006	-0.02483093769484042	6.727742881565342e-5	2.0183228644696027e-4	TRUE	early-acting
PRAD	SBS.SBS94	24	0	0.09835565216595638	0.09835565216595638	2.1409202584601812e-4	4.817070581535408e-4	TRUE	late-acting
PRAD	SBS.SBS8	24	0.22203222896776836	0.14735653312174973	-0.06883426628838746	0.009138638700740397	0.016449549661332715	TRUE	early-acting
PRAD	SBS.SBS32	24	0	0	0	0.036031686218233556	0.04632645370915743	TRUE	ns
PRAD	SBS.SBS38	24	0	0	0	0.036031686218233556	0.04632645370915743	TRUE	ns
PRAD	SBS.SBS35	24	0	0	0	0.1814492077214203	0.20413035868659785	FALSE	ns
PRAD	SBS.SBS16	24	0	0	0	0.37109336952269756	0.37109336952269756	FALSE	ns
PRAD	SBS.SBS30	24	0	0	0	NA	NA	FALSE	ns
