ttype	sample	cosine_distance
OV	S_Classic7	0.06217096855590443
OV	S_HM1	0.09838800443362528
OV	S_HM10	0.18382481188816036
OV	S_HM4	0.22109250626384203
OV	S_HM7	0.23158406450271718
OV	S_HM9	0.062807660133682
OV	S_WGD1	4.985296965012154e-4
OV	S_WGD10	0.2504442362662411
OV	S_WGD11	0.007237842830847718
OV	S_WGD12	0.2914882066813853
OV	S_WGD17	0.13949953793997671
OV	S_WGD18	0.004901737364424119
OV	S_WGD19	0.21133097739312479
OV	S_WGD2	0.08005909293922964
OV	S_WGD20	0.0218312939031704
OV	S_WGD21	0.03587314584411694
OV	S_WGD23	0.16062234437993927
OV	S_WGD26	0.1327386790201004
OV	S_WGD27	0.03550854216737398
OV	S_WGD29	0.059262095210946164
OV	S_WGD30	0.1475521908933508
OV	S_WGD32	0.1021942876311932
OV	S_WGD33	0.11214957059909803
OV	S_WGD34	0.08872063147535947
OV	S_WGD37	0.08960448283933475
OV	S_WGD38	0.008229208242275354
OV	S_WGD39	0.02452118686151361
OV	S_WGD4	0.07771074324876515
OV	S_WGD41	0.005059661006227456
OV	S_WGD42	0.6589397067391005
OV	S_WGD9	0.10142806714256081
MALY	S_Classic17	0.24283462672947465
MALY	S_Classic22	0.4308634890215348
MALY	S_Classic27	0.2246582109984644
MALY	S_Classic28	0.13881492913075544
MALY	S_Classic31	0.09011513928655135
MALY	S_Classic44	0.027085998179602222
MALY	S_Classic49	0.15477831065720193
MALY	S_HM1	0.16191488433048062
MALY	S_WGD3	0.03011536453747876
MALY	S_WGD6	0.17471680110668186
MALY	S_WGD7	0.09591792218278283
MALY	S_WGD8	0.0245950240537548
LIRI	S_Classic104	0.014239454372312554
LIRI	S_Classic17	0.0012130612429059884
LIRI	S_Classic41	0.1791673538714751
LIRI	S_Classic47	0.022842757974768424
LIRI	S_Classic48	0.0779412485066322
LIRI	S_Classic50	0.0087900428517671
LIRI	S_Classic59	0.151205640927911
LIRI	S_Classic6	0.20477720215999862
LIRI	S_Classic76	2.2779297823405376e-4
LIRI	S_Classic77	0.02572811793401164
LIRI	S_Classic79	5.098534053682435e-5
LIRI	S_Classic88	0.002655713586810937
LIRI	S_WGD14	0.018683762482444854
LIRI	S_WGD24	0.012914605257649203
LIRI	S_WGD28	0.0022736258828420786
LIRI	S_WGD6	0.012864851269632105
RECA	S_Classic12	0.031140369132472534
RECA	S_Classic24	0.26157104551513255
RECA	S_Classic31	0.13423142339496674
RECA	S_Classic5	0.027547590952352374
