.y.,group1,group2,n1,n2,statistic,p,p.adj,p.adj.signif,metric,contrast,wgd_status
log_len,Classic,HM,70,55,-0.6700585422429015,0.5028204717485578,0.566156550802271,ns,seg_length,across_classes,NA
log_len,Classic,WGD,70,129,0.5737210952826253,0.566156550802271,0.566156550802271,ns,seg_length,across_classes,NA
log_len,HM,WGD,55,129,1.2786018739068832,0.2010372897582873,0.566156550802271,ns,seg_length,across_classes,NA
log_snv,Classic,HM,70,55,0.36580692623765027,0.7145091511884287,0.7145091511884287,ns,n_snvs,across_classes,NA
log_snv,Classic,WGD,70,129,2.1786617484177073,0.029356805360693555,0.08807041608208066,ns,n_snvs,across_classes,NA
log_snv,HM,WGD,55,129,1.5990496729126908,0.1098095658760977,0.16471434881414657,ns,n_snvs,across_classes,NA
log_len,1,2,58,10,0.6517465536076362,0.5145646852497279,0.5145646852497279,ns,seg_length,within_class_clock,Classic
log_len,1,3+,58,2,-1.5720826684666418,0.11593138038556289,0.17389707057834433,ns,seg_length,within_class_clock,Classic
log_len,2,3+,10,2,-1.74774232571491,0.08050865616461883,0.17389707057834433,ns,seg_length,within_class_clock,Classic
log_len,1,2,34,21,0.848874687627166,0.39595102508934177,0.39595102508934177,ns,seg_length,within_class_clock,HM
log_snv,1,2,58,10,-1.119003294597805,0.2631387335101882,0.2631387335101882,ns,n_snvs,within_class_clock,Classic
log_snv,1,3+,58,2,2.2097775350374556,0.027120605574896834,0.04068090836234525,*,n_snvs,within_class_clock,Classic
log_snv,2,3+,10,2,2.5463748674094644,0.010884822847446123,0.03265446854233837,*,n_snvs,within_class_clock,Classic
log_snv,1,2,34,21,4.564756786882197,5.000737529440364e-6,5.000737529440364e-6,****,n_snvs,within_class_clock,HM
