.y.,group1,group2,n1,n2,statistic,p,p.adj,p.adj.signif,metric,contrast,wgd_status
log_len,Classic,HM,87,390,-1.8371415299532894,0.06618900465684091,0.09928350698526137,ns,seg_length,across_classes,NA
log_len,Classic,WGD,87,1131,0.19666728269038455,0.8440879146600371,0.8440879146600371,ns,seg_length,across_classes,NA
log_len,HM,WGD,390,1131,4.082062465467448,4.4637794650416595e-5,1.339133839512498e-4,***,seg_length,across_classes,NA
log_snv,Classic,HM,87,392,10.780154553705549,4.27167437804339e-27,1.2815023134130169e-26,****,n_snvs,across_classes,NA
log_snv,Classic,WGD,87,1131,9.57074686081807,1.0613615286225966e-21,1.5920422929338949e-21,****,n_snvs,across_classes,NA
log_snv,HM,WGD,392,1131,-3.630065956782994,2.8334880616512115e-4,2.8334880616512115e-4,***,n_snvs,across_classes,NA
log_len,1,2,53,20,1.9879686177698639,0.04681516085805995,0.07022274128708993,ns,seg_length,within_class_clock,Classic
log_len,1,3+,53,14,2.741203913966826,0.00612145042404999,0.01836435127214997,*,seg_length,within_class_clock,Classic
log_len,2,3+,20,14,0.8667072606855716,0.3861024261921064,0.3861024261921064,ns,seg_length,within_class_clock,Classic
log_len,1,2,223,109,1.65887835755148,0.09714030656380195,0.2914209196914058,ns,seg_length,within_class_clock,HM
log_len,1,3+,223,58,0.9389150877226625,0.347774342139761,0.5216615132096415,ns,seg_length,within_class_clock,HM
log_len,2,3+,109,58,-0.34135804346860577,0.7328340566490787,0.7328340566490787,ns,seg_length,within_class_clock,HM
log_len,1,2,698,330,-2.033245434255555,0.04202773291724413,0.1260831987517324,ns,seg_length,within_class_clock,WGD
log_len,1,3+,698,103,0.037834135593059266,0.9698199275796959,0.9698199275796959,ns,seg_length,within_class_clock,WGD
log_len,2,3+,330,103,1.2388468336868177,0.21540222603585157,0.32310333905377736,ns,seg_length,within_class_clock,WGD
log_snv,1,2,53,20,-1.2829198261862775,0.1995201660458017,0.1995201660458017,ns,n_snvs,within_class_clock,Classic
log_snv,1,3+,53,14,-3.7090015766914513,2.0807813242288193e-4,6.242343972686458e-4,***,n_snvs,within_class_clock,Classic
log_snv,2,3+,20,14,-2.2322377515762075,0.025599253558238964,0.03839888033735844,*,n_snvs,within_class_clock,Classic
log_snv,1,2,224,110,0.3734082773550982,0.7088445998687074,0.7088445998687074,ns,n_snvs,within_class_clock,HM
log_snv,1,3+,224,58,3.880737925204478,1.04140011695575e-4,3.1242003508672497e-4,***,n_snvs,within_class_clock,HM
log_snv,2,3+,110,58,3.255444065685014,0.0011321519471005795,0.0016982279206508692,**,n_snvs,within_class_clock,HM
log_snv,1,2,698,330,5.297796917059382,1.1720821853635955e-7,3.5162465560907865e-7,****,n_snvs,within_class_clock,WGD
log_snv,1,3+,698,103,2.8123659439803306,0.004917851811351638,0.007376777717027457,**,n_snvs,within_class_clock,WGD
log_snv,2,3+,330,103,-0.5056242340353155,0.6131204657499927,0.6131204657499927,ns,n_snvs,within_class_clock,WGD
