.y.,group1,group2,n1,n2,statistic,p,p.adj,p.adj.signif,metric,contrast,wgd_status
log_len,Classic,HM,241,277,-14.68809699147374,7.684163095560259e-49,1.152624464334039e-48,****,seg_length,across_classes,NA
log_len,Classic,WGD,241,284,-0.07143269792999267,0.9430533868842114,0.9430533868842114,ns,seg_length,across_classes,NA
log_len,HM,WGD,277,284,15.247357205509319,1.714326529881315e-52,5.142979589643945e-52,****,seg_length,across_classes,NA
log_snv,Classic,HM,242,277,17.304452460889202,4.354006548696989e-67,1.3062019646090969e-66,****,n_snvs,across_classes,NA
log_snv,Classic,WGD,242,284,3.184494942695224,0.0014500684463039611,0.0014500684463039611,**,n_snvs,across_classes,NA
log_snv,HM,WGD,277,284,-14.731644530376087,4.0375946082591145e-49,6.056391912388672e-49,****,n_snvs,across_classes,NA
log_len,1,2,132,85,-2.555344381616125,0.010608278418533386,0.010608278418533386,*,seg_length,within_class_clock,Classic
log_len,1,3+,132,24,-4.785139657495501,1.708684805959568e-6,5.1260544178787036e-06,****,seg_length,within_class_clock,Classic
log_len,2,3+,85,24,-3.0563450632032687,0.002240532426064189,0.0033607986390962836,**,seg_length,within_class_clock,Classic
log_len,1,2,107,78,3.4931257646579397,4.774016143765378e-4,7.161024215648066e-4,***,seg_length,within_class_clock,HM
log_len,1,3+,107,92,-2.258718058469803,0.023900928425362167,0.023900928425362167,*,seg_length,within_class_clock,HM
log_len,2,3+,78,92,-5.46542338934021,4.6180320990909815e-8,1.3854096297272945e-7,****,seg_length,within_class_clock,HM
log_len,1,2,209,75,0.7276924070948528,0.466801899348575,0.466801899348575,ns,seg_length,within_class_clock,WGD
log_snv,1,2,133,85,4.621772811255285,3.8047456075675207e-6,5.707118411351281e-6,****,n_snvs,within_class_clock,Classic
log_snv,1,3+,133,24,6.196471749267657,5.77428880630536e-10,1.7322866418916081e-9,****,n_snvs,within_class_clock,Classic
log_snv,2,3+,85,24,3.168639165406311,0.0015315440762455577,0.0015315440762455577,**,n_snvs,within_class_clock,Classic
log_snv,1,2,107,78,-6.993801315105043,2.6753636981768666e-12,4.0130455472653e-12,****,n_snvs,within_class_clock,HM
log_snv,1,3+,107,92,2.1175846755950416,0.03421025713730296,0.03421025713730296,*,n_snvs,within_class_clock,HM
log_snv,2,3+,78,92,8.721271444495768,2.750950616518265e-18,8.252851849554795e-18,****,n_snvs,within_class_clock,HM
log_snv,1,2,209,75,4.538058121186612,5.677461428282369e-6,5.677461428282369e-6,****,n_snvs,within_class_clock,WGD
