.y.,group1,group2,n1,n2,statistic,p,p.adj,p.adj.signif,metric,contrast,wgd_status
log_len,Classic,HM,109,213,-0.07194428988448531,0.9426462431168456,0.9426462431168456,ns,seg_length,across_classes,NA
log_len,Classic,WGD,109,2054,-0.1589099253297401,0.8737398407831912,0.9426462431168456,ns,seg_length,across_classes,NA
log_len,HM,WGD,213,2054,-0.09928273870829264,0.9209137832132717,0.9426462431168456,ns,seg_length,across_classes,NA
log_snv,Classic,HM,109,213,4.4739465112095935,7.6788958631894e-6,7.6788958631894e-6,****,n_snvs,across_classes,NA
log_snv,Classic,WGD,109,2056,9.04838577963422,1.45097346257544e-19,4.35292038772632e-19,****,n_snvs,across_classes,NA
log_snv,HM,WGD,213,2056,5.035663098567824,4.761974618859441e-7,7.142961928289161e-7,****,n_snvs,across_classes,NA
log_len,1,2,70,39,1.1568153604710558,0.24734780478060367,0.24734780478060367,ns,seg_length,within_class_clock,Classic
log_len,1,2,105,101,1.4961836756553235,0.13460579734726777,0.13460579734726777,ns,seg_length,within_class_clock,HM
log_len,1,3+,105,7,2.7116264735106905,0.00669539935729635,0.02008619807188905,*,seg_length,within_class_clock,HM
log_len,2,3+,101,7,2.1747440511358707,0.02964930183501881,0.04447395275252822,*,seg_length,within_class_clock,HM
log_len,1,2,1718,287,-5.720061063853415,1.0648577616765448e-8,3.194573285029635e-8,****,seg_length,within_class_clock,WGD
log_len,1,3+,1718,49,-1.0181803805476086,0.3085922414400194,0.3085922414400194,ns,seg_length,within_class_clock,WGD
log_len,2,3+,287,49,1.4054580403783752,0.15988511813126705,0.23982767719690057,ns,seg_length,within_class_clock,WGD
log_snv,1,2,70,39,0.07936924608625748,0.9367389295191971,0.9367389295191971,ns,n_snvs,within_class_clock,Classic
log_snv,1,2,105,101,0.40660819012512217,0.6842957809337149,0.6842957809337149,ns,n_snvs,within_class_clock,HM
log_snv,1,3+,105,7,-3.3837184646086667,7.151129032269846e-4,0.001072669354840477,**,n_snvs,within_class_clock,HM
log_snv,2,3+,101,7,-3.524533185063988,4.242296734118729e-4,0.001072669354840477,**,n_snvs,within_class_clock,HM
log_snv,1,2,1720,287,1.2247632439392748,0.22066443749514278,0.22066443749514278,ns,n_snvs,within_class_clock,WGD
log_snv,1,3+,1720,49,3.2789185684438307,0.0010420570069621612,0.0031261710208864836,**,n_snvs,within_class_clock,WGD
log_snv,2,3+,287,49,2.5680454695953263,0.010227373980639104,0.015341060970958657,*,n_snvs,within_class_clock,WGD
