.y.,group1,group2,n1,n2,statistic,p,p.adj,p.adj.signif,metric,contrast,wgd_status
log_len,Classic,HM,462,65,-3.1769517413207295,0.0014883179937686668,0.0014883179937686668,**,seg_length,across_classes,NA
log_len,Classic,WGD,462,2183,5.603297202500511,2.1031215169023364e-8,3.154682275353504e-8,****,seg_length,across_classes,NA
log_len,HM,WGD,65,2183,5.623457618306911,1.8717270021867355e-8,3.154682275353504e-8,****,seg_length,across_classes,NA
log_snv,Classic,HM,464,65,6.540001644199484,6.151815702522989e-11,9.227723553784483e-11,****,n_snvs,across_classes,NA
log_snv,Classic,WGD,464,2184,-3.112853597523368,0.0018528790678465148,0.0018528790678465148,**,n_snvs,across_classes,NA
log_snv,HM,WGD,65,2184,-8.145637748110163,3.772880665249799e-16,1.1318641995749397e-15,****,n_snvs,across_classes,NA
log_len,1,2,310,109,-1.1635912595189815,0.24458969520714646,0.24458969520714646,ns,seg_length,within_class_clock,Classic
log_len,1,3+,310,43,-2.328600718143458,0.019880227989334635,0.059640683968003906,ns,seg_length,within_class_clock,Classic
log_len,2,3+,109,43,-1.3847152643459606,0.16613954974255266,0.24458969520714646,ns,seg_length,within_class_clock,Classic
log_len,1,2,35,30,-0.3684529491774693,0.7125355222781107,0.7125355222781107,ns,seg_length,within_class_clock,HM
log_len,1,2,1964,214,-0.6178907912269049,0.5366473296651004,0.7129345629928521,ns,seg_length,within_class_clock,WGD
log_len,1,3+,1964,5,-0.47105171722155204,0.6376038033311457,0.7129345629928521,ns,seg_length,within_class_clock,WGD
log_len,2,3+,214,5,-0.36791775210286276,0.7129345629928521,0.7129345629928521,ns,seg_length,within_class_clock,WGD
log_snv,1,2,312,109,7.296413309022932,2.955401170482075e-13,4.4331017557231125e-13,****,n_snvs,within_class_clock,Classic
log_snv,1,3+,312,43,7.870257282445464,3.5391266100132826e-15,1.0617379830039848e-14,****,n_snvs,within_class_clock,Classic
log_snv,2,3+,109,43,2.6011255439642964,0.009291844291884715,0.009291844291884715,**,n_snvs,within_class_clock,Classic
log_snv,1,2,35,30,-0.04770739720567138,0.9619494386999894,0.9619494386999894,ns,n_snvs,within_class_clock,HM
log_snv,1,2,1965,214,-1.1984379328166064,0.23074657246904018,0.23074657246904018,ns,n_snvs,within_class_clock,WGD
log_snv,1,3+,1965,5,2.5059543658155725,0.012212138005876675,0.018318207008815014,*,n_snvs,within_class_clock,WGD
log_snv,2,3+,214,5,2.6710211209511705,0.007562088841605754,0.018318207008815014,*,n_snvs,within_class_clock,WGD
