.y.,group1,group2,n1,n2,statistic,p,p.adj,p.adj.signif,metric,contrast,wgd_status
log_len,Classic,HM,62,685,-7.454882910447581,8.994767594998623e-14,1.3492151392497934e-13,****,seg_length,across_classes,NA
log_len,Classic,WGD,62,928,0.04610231288588312,0.9632287025539901,0.9632287025539901,ns,seg_length,across_classes,NA
log_len,HM,WGD,685,928,19.7474218667833,8.441883738747407e-87,2.532565121624222e-86,****,seg_length,across_classes,NA
log_snv,Classic,HM,62,685,14.373673620143464,7.570658416106875e-47,1.1355987624160312e-46,****,n_snvs,across_classes,NA
log_snv,Classic,WGD,62,934,5.860782200047041,4.606918988462987e-9,4.606918988462987e-9,****,n_snvs,across_classes,NA
log_snv,HM,WGD,685,934,-22.61545469150968,3.053686256810344e-113,9.161058770431032e-113,****,n_snvs,across_classes,NA
log_len,1,2,472,197,-2.6914280138029985,0.007114685083399306,0.02134405525019792,*,seg_length,within_class_clock,HM
log_len,1,3+,472,16,0.34046830577299175,0.7335038869627601,0.7335038869627601,ns,seg_length,within_class_clock,HM
log_len,2,3+,197,16,1.2111377905630216,0.22584260003211357,0.33876390004817036,ns,seg_length,within_class_clock,HM
log_len,1,2,875,53,-1.9701571317310387,0.04882036486039491,0.04882036486039491,*,seg_length,within_class_clock,WGD
log_snv,1,2,472,197,10.764095243999243,5.085864038658915e-27,1.5257592115976744e-26,****,n_snvs,within_class_clock,HM
log_snv,1,3+,472,16,7.468673922579311,8.100699688608307e-14,1.215104953291246e-13,****,n_snvs,within_class_clock,HM
log_snv,2,3+,197,16,3.7911254141427184,1.4996619902679423e-4,1.4996619902679423e-4,***,n_snvs,within_class_clock,HM
log_snv,1,2,881,53,3.1968689926791756,0.0013892800863555671,0.0013892800863555671,**,n_snvs,within_class_clock,WGD
