.y.,group1,group2,n1,n2,statistic,p,p.adj,p.adj.signif,metric,contrast,wgd_status
log_len,Classic,HM,18,29,-1.9962612826172241,0.04590549002199081,0.04590549002199081,*,seg_length,across_classes,NA
log_len,Classic,WGD,18,192,-4.234478354372841,2.2908284806035704e-5,6.872485441810711e-5,****,seg_length,across_classes,NA
log_len,HM,WGD,29,192,-2.2326735676230975,0.025570478764504523,0.038355718146756784,*,seg_length,across_classes,NA
log_snv,Classic,HM,18,29,-1.6276985185954391,0.10358882738432003,0.15538324107648005,ns,n_snvs,across_classes,NA
log_snv,Classic,WGD,18,192,1.4089815038938616,0.15884063738333534,0.15884063738333534,ns,n_snvs,across_classes,NA
log_snv,HM,WGD,29,192,4.1948898796521785,2.7300418844642766e-5,8.19012565339283e-5,****,n_snvs,across_classes,NA
log_len,1,2,13,5,-0.04928640580901424,0.9606910529448905,0.9606910529448905,ns,seg_length,within_class_clock,Classic
log_len,1,2,18,11,1.2135597524338355,0.22491588401596194,0.22491588401596194,ns,seg_length,within_class_clock,HM
log_len,1,2,154,21,1.2834605412338853,0.1993307752548572,0.4076677216670001,ns,seg_length,within_class_clock,WGD
log_len,1,3+,154,17,-0.23471640991280793,0.814428850236883,0.814428850236883,ns,seg_length,within_class_clock,WGD
log_len,2,3+,21,17,-1.0989761222717638,0.2717784811113334,0.4076677216670001,ns,seg_length,within_class_clock,WGD
log_snv,1,2,13,5,1.0022070570845372,0.31624360012218844,0.31624360012218844,ns,n_snvs,within_class_clock,Classic
log_snv,1,2,18,11,3.0009745005941615,0.0026911710006410567,0.0026911710006410567,**,n_snvs,within_class_clock,HM
log_snv,1,2,154,21,1.9493364405347724,0.05125525949054132,0.15376577847162395,ns,n_snvs,within_class_clock,WGD
log_snv,1,3+,154,17,0.6474338866925946,0.5173511702886671,0.5173511702886671,ns,n_snvs,within_class_clock,WGD
log_snv,2,3+,21,17,-0.8827156511040074,0.3773899237210451,0.5173511702886671,ns,n_snvs,within_class_clock,WGD
