wgd_status,clock_rank,chr,density,row_median,p_value,p_adj,signif
Classic,1,chr1,0.010305003890231508,0.04673864996263043,1,1,
Classic,1,chr10,0.09511726205250559,0.04673864996263043,1,1,
Classic,1,chr11,0,0.04673864996263043,1,1,
Classic,1,chr12,0,0.04673864996263043,1,1,
Classic,1,chr13,0.1752417812878865,0.04673864996263043,1,1,
Classic,1,chr14,0.03914650216479735,0.04673864996263043,1,1,
Classic,1,chr15,0.11750166557119729,0.04673864996263043,1,1,
Classic,1,chr16,0,0.04673864996263043,1,1,
Classic,1,chr17,0,0.04673864996263043,1,1,
Classic,1,chr18,0.0951725112276596,0.04673864996263043,1,1,
Classic,1,chr19,0.14242127088101458,0.04673864996263043,1,1,
Classic,1,chr2,0.046319531815725914,0.04673864996263043,1,1,
Classic,1,chr20,0.047157768109534946,0.04673864996263043,1,1,
Classic,1,chr21,0,0.04673864996263043,1,1,
Classic,1,chr22,0.036192322160027254,0.04673864996263043,1,1,
Classic,1,chr3,0.04759498228366881,0.04673864996263043,1,1,
Classic,1,chr4,0.14270479171942324,0.04673864996263043,1,1,
Classic,1,chr5,0.32094720557490364,0.04673864996263043,1,1,
Classic,1,chr6,0,0.04673864996263043,1,1,
Classic,1,chr7,0.254875629766859,0.04673864996263043,1,1,
Classic,1,chr8,0,0.04673864996263043,1,1,
Classic,1,chr9,0.14763841576864764,0.04673864996263043,1,1,
Classic,2,chr1,0.16608374969705694,0,1,1,
Classic,2,chr10,0,0,NA,NA,
Classic,2,chr11,0.13294435544133293,0,1,1,
Classic,2,chr12,0,0,NA,NA,
Classic,2,chr13,0,0,NA,NA,
Classic,2,chr14,0,0,NA,NA,
Classic,2,chr15,0,0,NA,NA,
Classic,2,chr16,0,0,NA,NA,
Classic,2,chr17,0.0662830756888245,0,1,1,
Classic,2,chr18,0.036061955590442944,0,1,1,
Classic,2,chr19,0,0,NA,NA,
Classic,2,chr2,0,0,NA,NA,
Classic,2,chr20,0.06149266202008329,0,1,1,
Classic,2,chr21,0,0,NA,NA,
Classic,2,chr22,0,0,NA,NA,
Classic,2,chr3,0,0,NA,NA,
Classic,2,chr4,0.016589579194137408,0,1,1,
Classic,2,chr5,0,0,NA,NA,
Classic,2,chr6,0,0,NA,NA,
Classic,2,chr7,0,0,NA,NA,
Classic,2,chr8,0,0,NA,NA,
Classic,2,chr9,0,0,NA,NA,
Classic,3+,chr1,0,0,NA,NA,
Classic,3+,chr10,0,0,NA,NA,
Classic,3+,chr11,0,0,NA,NA,
Classic,3+,chr12,0,0,NA,NA,
Classic,3+,chr13,0,0,NA,NA,
Classic,3+,chr14,0,0,NA,NA,
Classic,3+,chr15,0,0,NA,NA,
Classic,3+,chr16,0,0,NA,NA,
Classic,3+,chr17,0,0,NA,NA,
Classic,3+,chr18,0,0,NA,NA,
Classic,3+,chr19,0,0,NA,NA,
Classic,3+,chr2,0,0,NA,NA,
Classic,3+,chr20,0,0,NA,NA,
Classic,3+,chr21,0,0,NA,NA,
Classic,3+,chr22,0,0,NA,NA,
Classic,3+,chr3,0,0,NA,NA,
Classic,3+,chr4,0,0,NA,NA,
Classic,3+,chr5,0,0,NA,NA,
Classic,3+,chr6,0,0,NA,NA,
Classic,3+,chr7,0.20554438112880208,0,1,1,
Classic,3+,chr8,0,0,NA,NA,
Classic,3+,chr9,0,0,NA,NA,
HM,1,chr1,0,0.5418079934948026,1,1,
HM,1,chr10,0.3994837869878488,0.5418079934948026,1,1,
HM,1,chr11,0.3287601525840427,0.5418079934948026,1,1,
HM,1,chr12,0.5995064335846719,0.5418079934948026,1,1,
HM,1,chr13,0.6756619261157852,0.5418079934948026,1,1,
HM,1,chr14,0.4846775645242635,0.5418079934948026,1,1,
HM,1,chr15,0,0.5418079934948026,1,1,
HM,1,chr16,0.5992971637031644,0.5418079934948026,1,1,
HM,1,chr17,0.5998552402290727,0.5418079934948026,1,1,
HM,1,chr18,0.5996660384341415,0.5418079934948026,1,1,
HM,1,chr19,0.5989384224653416,0.5418079934948026,1,1,
HM,1,chr2,0.19461377229784224,0.5418079934948026,1,1,
HM,1,chr20,0.7958095895123118,0.5418079934948026,1,1,
HM,1,chr21,0.41724991504760184,0.5418079934948026,1,1,
HM,1,chr22,0.15244087631498532,0.5418079934948026,1,1,
HM,1,chr3,0.2825157523821923,0.5418079934948026,1,1,
HM,1,chr4,0.9986699926084833,0.5418079934948026,1,1,
HM,1,chr5,0.9968449615582455,0.5418079934948026,1,1,
