wgd_status,clock_rank,chr,density,row_median,p_value,p_adj,signif
Classic,1,chr1,0.03163716949317909,0,1,1,
Classic,1,chr10,0,0,NA,NA,
Classic,1,chr11,0.06828261216242755,0,1,1,
Classic,1,chr12,0.10208713358682209,0,1,1,
Classic,1,chr13,0,0,NA,NA,
Classic,1,chr14,0,0,NA,NA,
Classic,1,chr15,0,0,NA,NA,
Classic,1,chr16,0,0,NA,NA,
Classic,1,chr17,0,0,NA,NA,
Classic,1,chr18,0,0,NA,NA,
Classic,1,chr19,0,0,NA,NA,
Classic,1,chr2,0,0,NA,NA,
Classic,1,chr20,0.10710508332860358,0,1,1,
Classic,1,chr21,0,0,NA,NA,
Classic,1,chr22,0,0,NA,NA,
Classic,1,chr3,0.06101167644782174,0,1,1,
Classic,1,chr4,0,0,NA,NA,
Classic,1,chr5,0,0,NA,NA,
Classic,1,chr6,0,0,NA,NA,
Classic,1,chr7,0,0,NA,NA,
Classic,1,chr8,0.31741963589541544,0,1,1,
Classic,1,chr9,0,0,NA,NA,
Classic,2,chr1,0.014502169150730689,0,1,1,
Classic,2,chr10,0,0,NA,NA,
Classic,2,chr11,0,0,NA,NA,
Classic,2,chr12,0,0,NA,NA,
Classic,2,chr13,0,0,NA,NA,
Classic,2,chr14,0,0,NA,NA,
Classic,2,chr15,0,0,NA,NA,
Classic,2,chr16,0,0,NA,NA,
Classic,2,chr17,0,0,NA,NA,
Classic,2,chr18,0,0,NA,NA,
Classic,2,chr19,0,0,NA,NA,
Classic,2,chr2,0,0,NA,NA,
Classic,2,chr20,0.25222340622232603,0,1,1,
Classic,2,chr21,0,0,NA,NA,
Classic,2,chr22,0,0,NA,NA,
Classic,2,chr3,0,0,NA,NA,
Classic,2,chr4,0,0,NA,NA,
Classic,2,chr5,0,0,NA,NA,
Classic,2,chr6,0,0,NA,NA,
Classic,2,chr7,0.33257602941320846,0,1,1,
Classic,2,chr8,0,0,NA,NA,
Classic,2,chr9,0.17365132924218804,0,1,1,
Classic,3+,chr1,0,0,NA,NA,
Classic,3+,chr10,0,0,NA,NA,
Classic,3+,chr11,0,0,NA,NA,
Classic,3+,chr12,0,0,NA,NA,
Classic,3+,chr13,0,0,NA,NA,
Classic,3+,chr14,0,0,NA,NA,
Classic,3+,chr15,0,0,NA,NA,
Classic,3+,chr16,0,0,NA,NA,
Classic,3+,chr17,0,0,NA,NA,
Classic,3+,chr18,0,0,NA,NA,
Classic,3+,chr19,0,0,NA,NA,
Classic,3+,chr2,0,0,NA,NA,
Classic,3+,chr20,0,0,NA,NA,
Classic,3+,chr21,0,0,NA,NA,
Classic,3+,chr22,0,0,NA,NA,
Classic,3+,chr3,0,0,NA,NA,
Classic,3+,chr4,0,0,NA,NA,
Classic,3+,chr5,0,0,NA,NA,
Classic,3+,chr6,0,0,NA,NA,
Classic,3+,chr7,0,0,NA,NA,
Classic,3+,chr8,0,0,NA,NA,
Classic,3+,chr9,0,0,NA,NA,
HM,1,chr1,0,0,NA,NA,
HM,1,chr10,0.34411137388997376,0,1,1,
HM,1,chr11,0.0934815249954306,0,1,1,
HM,1,chr12,0,0,NA,NA,
HM,1,chr13,0.12760117710639582,0,1,1,
HM,1,chr14,0,0,NA,NA,
HM,1,chr15,0,0,NA,NA,
HM,1,chr16,0.4647613667872016,0,1,1,
HM,1,chr17,0,0,NA,NA,
HM,1,chr18,0.077389388775588,0,1,1,
HM,1,chr19,0.11136795638781746,0,1,1,
HM,1,chr2,0,0,NA,NA,
HM,1,chr20,0.47309240764693417,0,1,1,
HM,1,chr21,0,0,NA,NA,
HM,1,chr22,0,0,NA,NA,
HM,1,chr3,0,0,NA,NA,
HM,1,chr4,0.05001158592968121,0,1,1,
HM,1,chr5,0.070724478963245,0,1,1,
HM,1,chr6,0,0,NA,NA,
HM,1,chr7,0,0,NA,NA,
HM,1,chr8,0.07276221543023736,0,1,1,
HM,1,chr9,0,0,NA,NA,
HM,2,chr1,0,0,NA,NA,
HM,2,chr10,0,0,NA,NA,
HM,2,chr11,0.7401223138000242,0,1,1,
HM,2,chr12,0.23144843784243768,0,1,1,
HM,2,chr13,0,0,NA,NA,
HM,2,chr14,0,0,NA,NA,
HM,2,chr15,0,0,NA,NA,
HM,2,chr16,0.05603915490754537,0,1,1,
HM,2,chr17,0.26497867300300104,0,1,1,
HM,2,chr18,0.03097963954877098,0,1,1,
HM,2,chr19,0,0,NA,NA,
HM,2,chr2,0.37578047127613273,0,1,1,
HM,2,chr20,0,0,NA,NA,
HM,2,chr21,0,0,NA,NA,
HM,2,chr22,0.7622043815749265,0,1,1,
HM,2,chr3,0.3813287918949383,0,1,1,
HM,2,chr4,0.17600008592012872,0,1,1,
HM,2,chr5,0,0,NA,NA,
HM,2,chr6,0,0,NA,NA,
HM,2,chr7,0,0,NA,NA,
HM,2,chr8,0,0,NA,NA,
HM,2,chr9,0,0,NA,NA,
HM,3+,chr1,0,0,NA,NA,
HM,3+,chr10,0,0,NA,NA,
HM,3+,chr11,0,0,NA,NA,
HM,3+,chr12,0,0,NA,NA,
HM,3+,chr13,0,0,NA,NA,
HM,3+,chr14,0,0,NA,NA,
HM,3+,chr15,0,0,NA,NA,
HM,3+,chr16,0,0,NA,NA,
HM,3+,chr17,0,0,NA,NA,
HM,3+,chr18,0,0,NA,NA,
HM,3+,chr19,0,0,NA,NA,
HM,3+,chr2,0,0,NA,NA,
HM,3+,chr20,0,0,NA,NA,
HM,3+,chr21,0,0,NA,NA,
HM,3+,chr22,0,0,NA,NA,
HM,3+,chr3,0,0,NA,NA,
HM,3+,chr4,0,0,NA,NA,
HM,3+,chr5,0,0,NA,NA,
HM,3+,chr6,0,0,NA,NA,
HM,3+,chr7,0,0,NA,NA,
