wgd_status,clock_rank,chr,density,row_median,p_value,p_adj,signif
Classic,1,chr1,0.05329672406885827,0.03012107419130078,1,1,
Classic,1,chr10,0.012609029645048458,0.03012107419130078,1,1,
Classic,1,chr11,0.04684129097887394,0.03012107419130078,1,1,
Classic,1,chr12,0.01796203184123766,0.03012107419130078,1,1,
Classic,1,chr13,0,0.03012107419130078,1,1,
Classic,1,chr14,0,0.03012107419130078,1,1,
Classic,1,chr15,0.03496740017228786,0.03012107419130078,1,1,
Classic,1,chr16,0.002789978139990994,0.03012107419130078,1,1,
Classic,1,chr17,0.07389299020401396,0.03012107419130078,1,1,
Classic,1,chr18,0,0.03012107419130078,1,1,
Classic,1,chr19,0.011029479884195347,0.03012107419130078,1,1,
Classic,1,chr2,0.03463920613925972,0.03012107419130078,1,1,
Classic,1,chr20,0.14076098516464894,0.03012107419130078,1,1,
Classic,1,chr21,0.0502062387628313,0.03012107419130078,1,1,
Classic,1,chr22,0.027300081968198643,0.03012107419130078,1,1,
Classic,1,chr3,0.0795557138942002,0.03012107419130078,1,1,
Classic,1,chr4,0.037926261194387294,0.03012107419130078,1,1,
Classic,1,chr5,0.040928633028050186,0.03012107419130078,1,1,
Classic,1,chr6,0.006126112453073128,0.03012107419130078,1,1,
Classic,1,chr7,0.029742648307371326,0.03012107419130078,1,1,
Classic,1,chr8,0.030499500075230234,0.03012107419130078,1,1,
Classic,1,chr9,0.009328532435619182,0.03012107419130078,1,1,
Classic,2,chr1,0.046811972780257526,0.032896198689719866,1,1,
Classic,2,chr10,0,0.032896198689719866,1,1,
Classic,2,chr11,0.05260502071935974,0.032896198689719866,1,1,
Classic,2,chr12,0.10489099804782633,0.032896198689719866,1,1,
Classic,2,chr13,0.09170340529491575,0.032896198689719866,1,1,
Classic,2,chr14,0.033799528690508195,0.032896198689719866,1,1,
Classic,2,chr15,0.1207033340300584,0.032896198689719866,1,1,
Classic,2,chr16,0,0.032896198689719866,1,1,
Classic,2,chr17,0.15638747479245213,0.032896198689719866,1,1,
Classic,2,chr18,0.031992868688931544,0.032896198689719866,1,1,
Classic,2,chr19,0,0.032896198689719866,1,1,
Classic,2,chr2,0,0.032896198689719866,1,1,
Classic,2,chr20,0,0.032896198689719866,1,1,
Classic,2,chr21,0,0.032896198689719866,1,1,
Classic,2,chr22,0,0.032896198689719866,1,1,
Classic,2,chr3,0.06246397513078261,0.032896198689719866,1,1,
Classic,2,chr4,0,0.032896198689719866,1,1,
Classic,2,chr5,0.08596520350387879,0.032896198689719866,1,1,
