wgd_status,clock_rank,chr,density,row_median,p_value,p_adj,signif
Classic,1,chr1,0.1551229554456776,0.031592565489598975,1,1,
Classic,1,chr10,0.04447802054704658,0.031592565489598975,1,1,
Classic,1,chr11,0,0.031592565489598975,1,1,
Classic,1,chr12,0.051230268527834605,0.031592565489598975,1,1,
Classic,1,chr13,0.02284671894271984,0.031592565489598975,1,1,
Classic,1,chr14,0.005308317154986456,0.031592565489598975,1,1,
Classic,1,chr15,0.012057526036235115,0.031592565489598975,1,1,
Classic,1,chr16,0.06871120653982747,0.031592565489598975,1,1,
Classic,1,chr17,0.07766221325476853,0.031592565489598975,1,1,
Classic,1,chr18,0.04080736536352159,0.031592565489598975,1,1,
Classic,1,chr19,0.0322714295546705,0.031592565489598975,1,1,
Classic,1,chr2,0.01047382154777732,0.031592565489598975,1,1,
Classic,1,chr20,0.07010556313424422,0.031592565489598975,1,1,
Classic,1,chr21,0.007859206048647352,0.031592565489598975,1,1,
Classic,1,chr22,0,0.031592565489598975,1,1,
Classic,1,chr3,0.04384963456147968,0.031592565489598975,1,1,
Classic,1,chr4,0.03091370142452745,0.031592565489598975,1,1,
Classic,1,chr5,0.0060651024973686326,0.031592565489598975,1,1,
Classic,1,chr6,0.011190422134675804,0.031592565489598975,1,1,
Classic,1,chr7,0.13949427759948774,0.031592565489598975,1,1,
Classic,1,chr8,0.17626639277838507,0.031592565489598975,1,1,
Classic,1,chr9,0.014595721456282048,0.031592565489598975,1,1,
Classic,2,chr1,0,0.03291348353457328,1,1,
Classic,2,chr10,0,0.03291348353457328,1,1,
Classic,2,chr11,0,0.03291348353457328,1,1,
Classic,2,chr12,0.10567884750529681,0.03291348353457328,1,1,
Classic,2,chr13,0.1021761185777336,0.03291348353457328,1,1,
Classic,2,chr14,0,0.03291348353457328,1,1,
Classic,2,chr15,0.07928052577952581,0.03291348353457328,1,1,
Classic,2,chr16,0.0623864665733498,0.03291348353457328,1,1,
Classic,2,chr17,0,0.03291348353457328,1,1,
Classic,2,chr18,0.033318518375829824,0.03291348353457328,1,1,
Classic,2,chr19,0,0.03291348353457328,1,1,
Classic,2,chr2,0.012414852456602893,0.03291348353457328,1,1,
Classic,2,chr20,0.16883054321134958,0.03291348353457328,1,1,
Classic,2,chr21,0.03250844869331675,0.03291348353457328,1,1,
Classic,2,chr22,0,0.03291348353457328,1,1,
Classic,2,chr3,0.07624035373725647,0.03291348353457328,1,1,
Classic,2,chr4,0.1110904396172417,0.03291348353457328,1,1,
Classic,2,chr5,0,0.03291348353457328,1,1,
Classic,2,chr6,0,0.03291348353457328,1,1,
Classic,2,chr7,0.12561560647689154,0.03291348353457328,1,1,
Classic,2,chr8,0.09857452309329588,0.03291348353457328,1,1,
Classic,2,chr9,0.06775685837166895,0.03291348353457328,1,1,
Classic,3+,chr1,0,0,NA,NA,
Classic,3+,chr10,0,0,NA,NA,
Classic,3+,chr11,0,0,NA,NA,
Classic,3+,chr12,0,0,NA,NA,
Classic,3+,chr13,0,0,NA,NA,
Classic,3+,chr14,0,0,NA,NA,
Classic,3+,chr15,0,0,NA,NA,
Classic,3+,chr16,0,0,NA,NA,
Classic,3+,chr17,0,0,NA,NA,
Classic,3+,chr18,0,0,NA,NA,
Classic,3+,chr19,0,0,NA,NA,
Classic,3+,chr2,0,0,NA,NA,
Classic,3+,chr20,0.1079678834859276,0,1,1,
Classic,3+,chr21,0,0,NA,NA,
Classic,3+,chr22,0,0,NA,NA,
Classic,3+,chr3,0,0,NA,NA,
Classic,3+,chr4,0,0,NA,NA,
Classic,3+,chr5,0,0,NA,NA,
Classic,3+,chr6,0.37699875955400225,0,1,1,
Classic,3+,chr7,0,0,NA,NA,
Classic,3+,chr8,0,0,NA,NA,
Classic,3+,chr9,0,0,NA,NA,
HM,1,chr1,0.15298337611764667,0.034678810348711106,1,1,
HM,1,chr10,0.022584400441607793,0.034678810348711106,1,1,
HM,1,chr11,0.0633463968015687,0.034678810348711106,1,1,
HM,1,chr12,0.019267411193543433,0.034678810348711106,1,1,
HM,1,chr13,0.05137741108544603,0.034678810348711106,1,1,
HM,1,chr14,0.00931250691277609,0.034678810348711106,1,1,
HM,1,chr15,0.03280757825531781,0.034678810348711106,1,1,
HM,1,chr16,0.010130269516646235,0.034678810348711106,1,1,
HM,1,chr17,0.2001708885700688,0.034678810348711106,1,1,
HM,1,chr18,0.11551131387212828,0.034678810348711106,1,1,
HM,1,chr19,0.03317722658390162,0.034678810348711106,1,1,
HM,1,chr2,0.005774934707582489,0.034678810348711106,1,1,
HM,1,chr20,0,0.034678810348711106,1,1,
HM,1,chr21,0.040712475409860484,0.034678810348711106,1,1,
HM,1,chr22,0.09333889177297267,0.034678810348711106,1,1,
HM,1,chr3,0.10409935800370357,0.034678810348711106,1,1,
HM,1,chr4,0.12996529916320923,0.034678810348711106,1,1,
HM,1,chr5,0.02948349041055649,0.034678810348711106,1,1,
HM,1,chr6,0.015847451157919756,0.034678810348711106,1,1,
