wgd_status,clock_rank,chr,density,row_median,p_value,p_adj,signif
Classic,1,chr1,0.14109851973715512,0,1,1,
Classic,1,chr10,0,0,NA,NA,
Classic,1,chr11,0,0,NA,NA,
Classic,1,chr12,0,0,NA,NA,
Classic,1,chr13,0,0,NA,NA,
Classic,1,chr14,0,0,NA,NA,
Classic,1,chr15,0,0,NA,NA,
Classic,1,chr16,0,0,NA,NA,
Classic,1,chr17,0.16576481543677268,0,1,1,
Classic,1,chr18,0,0,NA,NA,
Classic,1,chr19,0,0,NA,NA,
Classic,1,chr2,0,0,NA,NA,
Classic,1,chr20,0,0,NA,NA,
Classic,1,chr21,0,0,NA,NA,
Classic,1,chr22,0,0,NA,NA,
Classic,1,chr3,0,0,NA,NA,
Classic,1,chr4,0,0,NA,NA,
Classic,1,chr5,0,0,NA,NA,
Classic,1,chr6,0,0,NA,NA,
Classic,1,chr7,0.1381513701251426,0,1,1,
Classic,1,chr8,0,0,NA,NA,
Classic,1,chr9,0,0,NA,NA,
WGD,1,chr1,0.1305711812048003,0.0504998534618931,1,1,
WGD,1,chr10,0.12732318930731465,0.0504998534618931,1,1,
WGD,1,chr11,0.061008245335358494,0.0504998534618931,1,1,
WGD,1,chr12,0.2003565526659148,0.0504998534618931,1,1,
WGD,1,chr13,0,0.0504998534618931,1,1,
WGD,1,chr14,0.040658980001218446,0.0504998534618931,1,1,
WGD,1,chr15,0,0.0504998534618931,1,1,
WGD,1,chr16,0.031176487195975176,0.0504998534618931,1,1,
WGD,1,chr17,0.10907459319336694,0.0504998534618931,1,1,
WGD,1,chr18,0,0.0504998534618931,1,1,
WGD,1,chr19,0.10705723959432889,0.0504998534618931,1,1,
WGD,1,chr2,0.16385594485064728,0.0504998534618931,1,1,
WGD,1,chr20,0.0495156565150117,0.0504998534618931,1,1,
WGD,1,chr21,0,0.0504998534618931,1,1,
WGD,1,chr22,0,0.0504998534618931,1,1,
WGD,1,chr3,0,0.0504998534618931,1,1,
WGD,1,chr4,0.09319484697271432,0.0504998534618931,1,1,
WGD,1,chr5,0,0.0504998534618931,1,1,
WGD,1,chr6,0.0719660317814094,0.0504998534618931,1,1,
WGD,1,chr7,0.07186163804832267,0.0504998534618931,1,1,
WGD,1,chr8,0,0.0504998534618931,1,1,
WGD,1,chr9,0.0514840504087745,0.0504998534618931,1,1,
