wgd_status,clock_rank,chr,density,row_median,p_value,p_adj,signif
Classic,1,chr1,0.11172340567567923,0.03203016641650355,1,1,
Classic,1,chr10,0.013499245973839474,0.03203016641650355,1,1,
Classic,1,chr11,0.016949845757437215,0.03203016641650355,1,1,
Classic,1,chr12,0.025896214984327207,0.03203016641650355,1,1,
Classic,1,chr13,0.12192129777020276,0.03203016641650355,1,1,
Classic,1,chr14,0.017406080973558762,0.03203016641650355,1,1,
Classic,1,chr15,0.07391396375303999,0.03203016641650355,1,1,
Classic,1,chr16,0.020957912757641476,0.03203016641650355,1,1,
Classic,1,chr17,0.03445199814730199,0.03203016641650355,1,1,
Classic,1,chr18,0.035473323019473105,0.03203016641650355,1,1,
Classic,1,chr19,0.03753506300016722,0.03203016641650355,1,1,
Classic,1,chr2,0.015162293554573781,0.03203016641650355,1,1,
Classic,1,chr20,0.036193715090105,0.03203016641650355,1,1,
Classic,1,chr21,0.02295193993636748,0.03203016641650355,1,1,
Classic,1,chr22,0.01511921045413862,0.03203016641650355,1,1,
Classic,1,chr3,0.03192707420228371,0.03203016641650355,1,1,
Classic,1,chr4,0.010992670492956982,0.03203016641650355,1,1,
Classic,1,chr5,0.037620851850073626,0.03203016641650355,1,1,
Classic,1,chr6,0.017314014642031514,0.03203016641650355,1,1,
Classic,1,chr7,0.03213325863072339,0.03203016641650355,1,1,
Classic,1,chr8,0.0913051127456189,0.03203016641650355,1,1,
Classic,1,chr9,0.03906573749723999,0.03203016641650355,1,1,
Classic,2,chr1,0.03850521173018009,0.03514534508008542,1,1,
Classic,2,chr10,0.04101867550209551,0.03514534508008542,1,1,
Classic,2,chr11,0.027529573987138088,0.03514534508008542,1,1,
Classic,2,chr12,0.05836596365490139,0.03514534508008542,1,1,
Classic,2,chr13,0.08560062284968803,0.03514534508008542,1,1,
Classic,2,chr14,0.08731968453466996,0.03514534508008542,1,1,
Classic,2,chr15,0.01927345523162689,0.03514534508008542,1,1,
Classic,2,chr16,0.0025532155601191518,0.03514534508008542,1,1,
Classic,2,chr17,0.05070750538593467,0.03514534508008542,1,1,
Classic,2,chr18,0,0.03514534508008542,1,1,
Classic,2,chr19,0.03952874705968182,0.03514534508008542,1,1,
Classic,2,chr2,0.027586325100196436,0.03514534508008542,1,1,
Classic,2,chr20,0.0061213513960489295,0.03514534508008542,1,1,
Classic,2,chr21,0,0.03514534508008542,1,1,
Classic,2,chr22,0,0.03514534508008542,1,1,
Classic,2,chr3,0.03178547842999076,0.03514534508008542,1,1,
Classic,2,chr4,0.001118677058659187,0.03514534508008542,1,1,
Classic,2,chr5,0.01367277429294263,0.03514534508008542,1,1,
Classic,2,chr6,0.042974085102704035,0.03514534508008542,1,1,
Classic,2,chr7,0.07852110060609177,0.03514534508008542,1,1,
Classic,2,chr8,0.12404120513591348,0.03514534508008542,1,1,
Classic,2,chr9,0.038861049706315265,0.03514534508008542,1,1,
