wgd_status,clock_rank,chr,density,row_median,p_value,p_adj,signif
Classic,1,chr1,0,0.03383362910916472,1,1,
Classic,1,chr10,0.01252178683394241,0.03383362910916472,1,1,
Classic,1,chr11,0,0.03383362910916472,1,1,
Classic,1,chr12,0.044277594630755285,0.03383362910916472,1,1,
Classic,1,chr13,0,0.03383362910916472,1,1,
Classic,1,chr14,0,0.03383362910916472,1,1,
Classic,1,chr15,0.030875861953216805,0.03383362910916472,1,1,
Classic,1,chr16,0,0.03383362910916472,1,1,
Classic,1,chr17,0.28350228062131144,0.03383362910916472,1,1,
Classic,1,chr18,0,0.03383362910916472,1,1,
Classic,1,chr19,0,0.03383362910916472,1,1,
Classic,1,chr2,0.031682771259706984,0.03383362910916472,1,1,
Classic,1,chr20,0.05616023978524054,0.03383362910916472,1,1,
Classic,1,chr21,0.03598448695862246,0.03383362910916472,1,1,
Classic,1,chr22,0,0.03383362910916472,1,1,
Classic,1,chr3,0.10624786426041681,0.03383362910916472,1,1,
Classic,1,chr4,0.05261995097393974,0.03383362910916472,1,1,
Classic,1,chr5,0.10486826466944278,0.03383362910916472,1,1,
Classic,1,chr6,0.10505692793936079,0.03383362910916472,1,1,
Classic,1,chr7,0.19552056970989867,0.03383362910916472,1,1,
Classic,1,chr8,0.05263157822818104,0.03383362910916472,1,1,
Classic,1,chr9,0.1447574498625045,0.03383362910916472,1,1,
Classic,2,chr1,0.20411274722561273,0,1,1,
Classic,2,chr10,0,0,NA,NA,
Classic,2,chr11,0,0,NA,NA,
Classic,2,chr12,0.24972081269376123,0,1,1,
Classic,2,chr13,0,0,NA,NA,
Classic,2,chr14,0,0,NA,NA,
Classic,2,chr15,0,0,NA,NA,
Classic,2,chr16,0,0,NA,NA,
Classic,2,chr17,0,0,NA,NA,
Classic,2,chr18,0.24991194297729347,0,1,1,
Classic,2,chr19,0.10273091877802126,0,1,1,
Classic,2,chr2,0,0,NA,NA,
Classic,2,chr20,0,0,NA,NA,
Classic,2,chr21,0,0,NA,NA,
Classic,2,chr22,0,0,NA,NA,
Classic,2,chr3,0,0,NA,NA,
Classic,2,chr4,0.291251587016552,0,1,1,
Classic,2,chr5,0,0,NA,NA,
Classic,2,chr6,0.24964991101572606,0,1,1,
Classic,2,chr7,0,0,NA,NA,
Classic,2,chr8,0,0,NA,NA,
Classic,2,chr9,0,0,NA,NA,
HM,1,chr1,0.4266140544540509,0,1,1,
HM,1,chr10,0,0,NA,NA,
HM,1,chr11,0.9844154633247479,0,1,1,
HM,1,chr12,0,0,NA,NA,
HM,1,chr13,0.85846992909031306,0,1,1,
HM,1,chr14,0,0,NA,NA,
HM,1,chr15,0,0,NA,NA,
HM,1,chr16,0,0,NA,NA,
HM,1,chr17,0,0,NA,NA,
HM,1,chr18,0.9989749638716774,0,1,1,
HM,1,chr19,0,0,NA,NA,
HM,1,chr2,0.9731930970068743,0,1,1,
HM,1,chr20,0.9903131303002339,0,1,1,
HM,1,chr21,0,0,NA,NA,
HM,1,chr22,0.7622043815749265,0,1,1,
HM,1,chr3,0.998611248230819,0,1,1,
HM,1,chr4,0.9998431842560508,0,1,1,
HM,1,chr5,0,0,NA,NA,
HM,1,chr6,0.9984966373533898,0,1,1,
HM,1,chr7,0,0,NA,NA,
HM,1,chr8,0,0,NA,NA,
HM,1,chr9,0,0,NA,NA,
HM,2,chr1,0,0,NA,NA,
HM,2,chr10,0,0,NA,NA,
HM,2,chr11,0,0,NA,NA,
HM,2,chr12,0,0,NA,NA,
HM,2,chr13,0,0,NA,NA,
HM,2,chr14,0,0,NA,NA,
HM,2,chr15,0,0,NA,NA,
HM,2,chr16,0,0,NA,NA,
HM,2,chr17,0,0,NA,NA,
HM,2,chr18,0,0,NA,NA,
HM,2,chr19,0,0,NA,NA,
HM,2,chr2,0,0,NA,NA,
HM,2,chr20,0,0,NA,NA,
HM,2,chr21,0,0,NA,NA,
HM,2,chr22,0,0,NA,NA,
HM,2,chr3,0,0,NA,NA,
HM,2,chr4,0,0,NA,NA,
HM,2,chr5,0,0,NA,NA,
HM,2,chr6,0,0,NA,NA,
HM,2,chr7,0,0,NA,NA,
HM,2,chr8,0,0,NA,NA,
HM,2,chr9,0,0,NA,NA,
WGD,1,chr1,0.7680576297006163,0.665788275241624,1,1,
WGD,1,chr10,0.8983382406481097,0.665788275241624,1,1,
WGD,1,chr11,0.6650085318844906,0.665788275241624,1,1,
WGD,1,chr12,0.5788240353265076,0.665788275241624,1,1,
WGD,1,chr13,0.586450288387617,0.665788275241624,1,1,
WGD,1,chr14,0.5196764264973407,0.665788275241624,1,1,
WGD,1,chr15,0.8702475124236423,0.665788275241624,1,1,
WGD,1,chr16,0.3301487194591744,0.665788275241624,1,1,
WGD,1,chr17,0.447036087473633,0.665788275241624,1,1,
WGD,1,chr18,0.8614879117324081,0.665788275241624,1,1,
WGD,1,chr19,0.5176873102428748,0.665788275241624,1,1,
WGD,1,chr2,0.7278092132800577,0.665788275241624,1,1,
WGD,1,chr20,0.6602087535334893,0.665788275241624,1,1,
WGD,1,chr21,0.6690248856765635,0.665788275241624,1,1,
WGD,1,chr22,0.42073478736116127,0.665788275241624,1,1,
WGD,1,chr3,0.7347188371539527,0.665788275241624,1,1,
WGD,1,chr4,0.6665680185987574,0.665788275241624,1,1,
WGD,1,chr5,0.830532824225736,0.665788275241624,1,1,
WGD,1,chr6,0.9980983274060063,0.665788275241624,1,1,
WGD,1,chr7,0.6211414894610914,0.665788275241624,1,1,
WGD,1,chr8,0.5497608194086567,0.665788275241624,1,1,
WGD,1,chr9,0.7566993373786565,0.665788275241624,1,1,
WGD,2,chr1,0,0,NA,NA,
WGD,2,chr10,0,0,NA,NA,
WGD,2,chr11,0,0,NA,NA,
WGD,2,chr12,0,0,NA,NA,
WGD,2,chr13,0,0,NA,NA,
WGD,2,chr14,0,0,NA,NA,
WGD,2,chr15,0,0,NA,NA,
WGD,2,chr16,0,0,NA,NA,
WGD,2,chr17,0,0,NA,NA,
WGD,2,chr18,0,0,NA,NA,
WGD,2,chr19,0,0,NA,NA,
WGD,2,chr2,0,0,NA,NA,
WGD,2,chr20,0,0,NA,NA,
WGD,2,chr21,0,0,NA,NA,
WGD,2,chr22,0,0,NA,NA,
WGD,2,chr3,0,0,NA,NA,
WGD,2,chr4,0,0,NA,NA,
WGD,2,chr5,0,0,NA,NA,
WGD,2,chr6,0,0,NA,NA,
WGD,2,chr7,0,0,NA,NA,
WGD,2,chr8,0,0,NA,NA,
WGD,2,chr9,0,0,NA,NA,
