wgd_status,clock_rank,chr,density,row_median,p_value,p_adj,signif
Classic,1,chr1,0.11742603508565247,0,1,1,
Classic,1,chr10,0,0,NA,NA,
Classic,1,chr11,0,0,NA,NA,
Classic,1,chr12,0,0,NA,NA,
Classic,1,chr13,0,0,NA,NA,
Classic,1,chr14,0,0,NA,NA,
Classic,1,chr15,0,0,NA,NA,
Classic,1,chr16,0,0,NA,NA,
Classic,1,chr17,0.11370787554257612,0,1,1,
Classic,1,chr18,0,0,NA,NA,
Classic,1,chr19,0.16593341655591584,0,1,1,
Classic,1,chr2,0.09402690428263015,0,1,1,
Classic,1,chr20,0,0,NA,NA,
Classic,1,chr21,0,0,NA,NA,
Classic,1,chr22,0,0,NA,NA,
Classic,1,chr3,0.1494623959181459,0,1,1,
Classic,1,chr4,0,0,NA,NA,
Classic,1,chr5,0.16609580916502012,0,1,1,
Classic,1,chr6,0,0,NA,NA,
Classic,1,chr7,0,0,NA,NA,
Classic,1,chr8,0,0,NA,NA,
Classic,1,chr9,0.0332891033573145,0,1,1,
Classic,2,chr1,0.43534737472128504,0,1,1,
Classic,2,chr10,0,0,NA,NA,
Classic,2,chr11,0.25156393562515156,0,1,1,
Classic,2,chr12,0,0,NA,NA,
Classic,2,chr13,0,0,NA,NA,
Classic,2,chr14,0,0,NA,NA,
Classic,2,chr15,0,0,NA,NA,
Classic,2,chr16,0,0,NA,NA,
Classic,2,chr17,0,0,NA,NA,
Classic,2,chr18,0,0,NA,NA,
Classic,2,chr19,0,0,NA,NA,
Classic,2,chr2,0,0,NA,NA,
Classic,2,chr20,0,0,NA,NA,
Classic,2,chr21,0,0,NA,NA,
Classic,2,chr22,0,0,NA,NA,
Classic,2,chr3,0,0,NA,NA,
Classic,2,chr4,0,0,NA,NA,
Classic,2,chr5,0.4968253230821989,0,1,1,
Classic,2,chr6,0,0,NA,NA,
Classic,2,chr7,0,0,NA,NA,
Classic,2,chr8,0,0,NA,NA,
Classic,2,chr9,0,0,NA,NA,
Classic,3+,chr1,0,0,NA,NA,
Classic,3+,chr10,0,0,NA,NA,
Classic,3+,chr11,0,0,NA,NA,
Classic,3+,chr12,0.9998318962910461,0,1,1,
Classic,3+,chr13,0,0,NA,NA,
Classic,3+,chr14,0,0,NA,NA,
Classic,3+,chr15,0,0,NA,NA,
Classic,3+,chr16,0,0,NA,NA,
Classic,3+,chr17,0,0,NA,NA,
Classic,3+,chr18,0,0,NA,NA,
Classic,3+,chr19,0,0,NA,NA,
Classic,3+,chr2,0,0,NA,NA,
Classic,3+,chr20,0,0,NA,NA,
Classic,3+,chr21,0,0,NA,NA,
Classic,3+,chr22,0,0,NA,NA,
Classic,3+,chr3,0,0,NA,NA,
Classic,3+,chr4,0,0,NA,NA,
Classic,3+,chr5,0,0,NA,NA,
Classic,3+,chr6,0,0,NA,NA,
Classic,3+,chr7,0,0,NA,NA,
Classic,3+,chr8,0,0,NA,NA,
Classic,3+,chr9,0,0,NA,NA,
WGD,1,chr1,0.2193306156965068,0.1052211803640723,1,1,
WGD,1,chr10,0.1660974276458666,0.1052211803640723,1,1,
WGD,1,chr11,0.17494251783620085,0.1052211803640723,1,1,
WGD,1,chr12,0.16638144968611265,0.1052211803640723,1,1,
WGD,1,chr13,0,0.1052211803640723,1,1,
WGD,1,chr14,0.23428359823432873,0.1052211803640723,1,1,
WGD,1,chr15,0.1403209809148012,0.1052211803640723,1,1,
WGD,1,chr16,0,0.1052211803640723,1,1,
WGD,1,chr17,0.0770565899146021,0.1052211803640723,1,1,
WGD,1,chr18,0.1665680997533793,0.1052211803640723,1,1,
WGD,1,chr19,0.624241727614358,0.1052211803640723,1,1,
WGD,1,chr2,0.10016191461699753,0.1052211803640723,1,1,
WGD,1,chr20,0,0.1052211803640723,1,1,
WGD,1,chr21,0.11714788698375511,0.1052211803640723,1,1,
WGD,1,chr22,0,0.1052211803640723,1,1,
WGD,1,chr3,0.07338847085824234,0.1052211803640723,1,1,
