wgd_status,clock_rank,chr,density,row_median,p_value,p_adj,signif
Classic,1,chr1,0.14572655500198253,0.033248673975605936,1,1,
Classic,1,chr10,0.03272753735728133,0.033248673975605936,1,1,
Classic,1,chr11,0.0038458514750180813,0.033248673975605936,1,1,
Classic,1,chr12,0.023556006207945113,0.033248673975605936,1,1,
Classic,1,chr13,0.028133809432358697,0.033248673975605936,1,1,
Classic,1,chr14,0.019891246288809762,0.033248673975605936,1,1,
Classic,1,chr15,0.07454105491651894,0.033248673975605936,1,1,
Classic,1,chr16,0.011813345481044901,0.033248673975605936,1,1,
Classic,1,chr17,0.07527909707545768,0.033248673975605936,1,1,
Classic,1,chr18,0.01399837192675822,0.033248673975605936,1,1,
Classic,1,chr19,0.03376981059393055,0.033248673975605936,1,1,
Classic,1,chr2,0.014666504667059462,0.033248673975605936,1,1,
Classic,1,chr20,0.05175376384456439,0.033248673975605936,1,1,
Classic,1,chr21,0.0021388631923997597,0.033248673975605936,1,1,
Classic,1,chr22,0.039389701307185464,0.033248673975605936,1,1,
Classic,1,chr3,0.03421798056346225,0.033248673975605936,1,1,
Classic,1,chr4,0.007169089636950809,0.033248673975605936,1,1,
Classic,1,chr5,0.10058978695810165,0.033248673975605936,1,1,
Classic,1,chr6,0.03628585258159747,0.033248673975605936,1,1,
Classic,1,chr7,0.16690960604479935,0.033248673975605936,1,1,
Classic,1,chr8,0.15557068151744224,0.033248673975605936,1,1,
Classic,1,chr9,0.017501462732677317,0.033248673975605936,1,1,
Classic,2,chr1,0.11822742024095384,0.027551741245429886,1,1,
Classic,2,chr10,0.01754427382585304,0.027551741245429886,1,1,
Classic,2,chr11,0.01060547921998076,0.027551741245429886,1,1,
Classic,2,chr12,0.011677743203731685,0.027551741245429886,1,1,
Classic,2,chr13,0.029064361528876256,0.027551741245429886,1,1,
Classic,2,chr14,0.005317373240989867,0.027551741245429886,1,1,
Classic,2,chr15,0.021121279060145236,0.027551741245429886,1,1,
Classic,2,chr16,0.026039120961983516,0.027551741245429886,1,1,
Classic,2,chr17,0.10847237909723983,0.027551741245429886,1,1,
Classic,2,chr18,0,0.027551741245429886,1,1,
Classic,2,chr19,0.05331986080087227,0.027551741245429886,1,1,
Classic,2,chr2,0.055224215095794206,0.027551741245429886,1,1,
Classic,2,chr20,0.11012968669562062,0.027551741245429886,1,1,
Classic,2,chr21,0,0.027551741245429886,1,1,
Classic,2,chr22,0.0227105611947733,0.027551741245429886,1,1,
Classic,2,chr3,0.034913236127558166,0.027551741245429886,1,1,
Classic,2,chr4,0.020945792347478388,0.027551741245429886,1,1,
Classic,2,chr5,0.04942884562166208,0.027551741245429886,1,1,
Classic,2,chr6,0.09990729838619562,0.027551741245429886,1,1,
Classic,2,chr7,0.08854678962764513,0.027551741245429886,1,1,
Classic,2,chr8,0.03528505893925997,0.027551741245429886,1,1,
Classic,2,chr9,0.01899008135321875,0.027551741245429886,1,1,
Classic,3+,chr1,0.1448369703359736,0,1,1,
