wgd_status,clock_rank,chr,density,row_median,p_value,p_adj,signif
Classic,1,chr1,0.020441511647115305,0.004019297350589976,1,1,
Classic,1,chr10,0,0.004019297350589976,1,1,
Classic,1,chr11,0,0.004019297350589976,1,1,
Classic,1,chr12,0.030927763688200136,0.004019297350589976,1,1,
Classic,1,chr13,0.021741371568624143,0.004019297350589976,1,1,
Classic,1,chr14,0,0.004019297350589976,1,1,
Classic,1,chr15,0,0.004019297350589976,1,1,
Classic,1,chr16,0.02532802563247558,0.004019297350589976,1,1,
Classic,1,chr17,0,0.004019297350589976,1,1,
Classic,1,chr18,0.027767993664143717,0.004019297350589976,1,1,
Classic,1,chr19,0,0.004019297350589976,1,1,
Classic,1,chr2,0.014832052698863936,0.004019297350589976,1,1,
Classic,1,chr20,0.008038594701179952,0.004019297350589976,1,1,
Classic,1,chr21,0,0.004019297350589976,1,1,
Classic,1,chr22,0,0.004019297350589976,1,1,
Classic,1,chr3,0.05357111481428308,0.004019297350589976,1,1,
Classic,1,chr4,0,0.004019297350589976,1,1,
Classic,1,chr5,0.3605492553683851,0.004019297350589976,1,1,
Classic,1,chr6,0,0.004019297350589976,1,1,
Classic,1,chr7,0.1384721098019195,0.004019297350589976,1,1,
Classic,1,chr8,0.01485840822882613,0.004019297350589976,1,1,
Classic,1,chr9,0,0.004019297350589976,1,1,
Classic,2,chr1,0.017601084198168023,0,1,1,
Classic,2,chr10,0,0,NA,NA,
Classic,2,chr11,0,0,NA,NA,
Classic,2,chr12,0.16643222097577823,0,1,1,
Classic,2,chr13,0,0,NA,NA,
Classic,2,chr14,0,0,NA,NA,
Classic,2,chr15,0,0,NA,NA,
Classic,2,chr16,0,0,NA,NA,
Classic,2,chr17,0,0,NA,NA,
Classic,2,chr18,0,0,NA,NA,
Classic,2,chr19,0,0,NA,NA,
Classic,2,chr2,0,0,NA,NA,
Classic,2,chr20,0,0,NA,NA,
Classic,2,chr21,0,0,NA,NA,
Classic,2,chr22,0,0,NA,NA,
Classic,2,chr3,0,0,NA,NA,
Classic,2,chr4,0,0,NA,NA,
Classic,2,chr5,0.25711713963027033,0,1,1,
Classic,2,chr6,0,0,NA,NA,
Classic,2,chr7,0.498841874774328,0,1,1,
Classic,2,chr8,0,0,NA,NA,
