wgd_status,clock_rank,chr,density,row_median,p_value,p_adj,signif
Classic,1,chr1,0.0714975408408128,0.03491386232457276,1,1,
Classic,1,chr10,0,0.03491386232457276,1,1,
Classic,1,chr11,0.022783434326303857,0.03491386232457276,1,1,
Classic,1,chr12,0.08406795408937888,0.03491386232457276,1,1,
Classic,1,chr13,0.006624370369418358,0.03491386232457276,1,1,
Classic,1,chr14,0,0.03491386232457276,1,1,
Classic,1,chr15,0.035786222251017345,0.03491386232457276,1,1,
Classic,1,chr16,0.04924321760512547,0.03491386232457276,1,1,
Classic,1,chr17,0.059797796401581275,0.03491386232457276,1,1,
Classic,1,chr18,0.1612253411577025,0.03491386232457276,1,1,
Classic,1,chr19,0.015496383251140678,0.03491386232457276,1,1,
Classic,1,chr2,0.04566466692180314,0.03491386232457276,1,1,
Classic,1,chr20,0.014255319836386046,0.03491386232457276,1,1,
Classic,1,chr21,0.012561298204294101,0.03491386232457276,1,1,
Classic,1,chr22,0,0.03491386232457276,1,1,
Classic,1,chr3,0.04306747105733058,0.03491386232457276,1,1,
Classic,1,chr4,0,0.03491386232457276,1,1,
Classic,1,chr5,0.05879557765432181,0.03491386232457276,1,1,
Classic,1,chr6,0.03404150239812818,0.03491386232457276,1,1,
Classic,1,chr7,0.15109012458010795,0.03491386232457276,1,1,
Classic,1,chr8,0.09036369023430185,0.03491386232457276,1,1,
Classic,1,chr9,0.01286726910687283,0.03491386232457276,1,1,
Classic,2,chr1,0.05444691452971151,0.03624632303201448,1,1,
Classic,2,chr10,0.023674432310323984,0.03624632303201448,1,1,
Classic,2,chr11,0.022922148343541983,0.03624632303201448,1,1,
Classic,2,chr12,0.08966538412209375,0.03624632303201448,1,1,
Classic,2,chr13,0.007529508265929541,0.03624632303201448,1,1,
Classic,2,chr14,0.031146544811133017,0.03624632303201448,1,1,
Classic,2,chr15,0,0.03624632303201448,1,1,
Classic,2,chr16,0.057470583255744265,0.03624632303201448,1,1,
Classic,2,chr17,0.03781127149042731,0.03624632303201448,1,1,
Classic,2,chr18,0.08545866879707846,0.03624632303201448,1,1,
Classic,2,chr19,0.0033839248048298837,0.03624632303201448,1,1,
Classic,2,chr2,0.042922821027545674,0.03624632303201448,1,1,
Classic,2,chr20,0,0.03624632303201448,1,1,
Classic,2,chr21,0.0842021910270784,0.03624632303201448,1,1,
